Date,AUSTRIA IMI GROWTH
1998-12-31,518.3055621004258
1999-01-01,518.3016918648859
1999-01-04,518.0728906140869
1999-01-05,523.8408708059625
1999-01-06,524.2826106150369
1999-01-07,526.8692381361799
1999-01-08,524.750199406011
1999-01-11,521.5758197263434
1999-01-12,524.8715892036439
1999-01-13,519.9348034015555
1999-01-14,518.3846296115663
1999-01-15,510.9646274217718
1999-01-18,512.0517953869128
1999-01-19,510.99999614565536
1999-01-20,505.07476457044027
1999-01-21,501.9079427150808
1999-01-22,493.66685315751363
1999-01-25,499.39081177237216
1999-01-26,520.0216085174371
1999-01-27,512.3493057852024
1999-01-28,516.7523811313498
1999-01-29,526.4129189508029
1999-02-01,524.9908728257273
1999-02-02,523.9969819402155
1999-02-03,518.3888628328514
1999-02-04,521.6016173380684
1999-02-05,525.7207469063819
1999-02-08,525.7238339148668
1999-02-09,530.7365217081887
1999-02-10,521.0512311941628
1999-02-11,520.3291744923098
1999-02-12,525.8776650167357
1999-02-15,527.4592453221369
1999-02-16,529.7954418395376
1999-02-17,534.387294533333
1999-02-18,534.9838330217225
1999-02-19,531.3455113612464
1999-02-22,534.9079785229866
1999-02-23,541.6896460649833
1999-02-24,543.300565861913
1999-02-25,542.9648395382377
1999-02-26,542.8303176485996
1999-03-01,543.8491828999516
1999-03-02,542.9127721034516
1999-03-03,543.4155158243688
1999-03-04,539.7303519349667
1999-03-05,538.920686230639
1999-03-08,542.7177718180818
1999-03-09,539.3016136514315
1999-03-10,535.8588068758124
1999-03-11,539.2921754302062
1999-03-12,540.7333394700267
1999-03-15,539.416980040473
1999-03-16,538.4231457687223
1999-03-17,542.7709736459607
1999-03-18,539.9911409556267
1999-03-19,541.3625935564166
1999-03-22,537.622300218046
1999-03-23,538.9100862883279
1999-03-24,532.0092251734707
1999-03-25,532.6885256995097
1999-03-26,535.2097082287188
1999-03-29,534.8731323454307
1999-03-30,537.7752150268586
1999-03-31,536.1437001454759
1999-04-01,534.50212336668
1999-04-02,534.5021799072206
1999-04-05,534.5020922799786
1999-04-06,536.069277093597
1999-04-07,534.9966889418693
1999-04-08,531.5783352913808
1999-04-09,531.8374001589635
1999-04-12,529.2065130954959
1999-04-13,533.8156446085604
1999-04-14,538.3041776621855
1999-04-15,540.6283719750853
1999-04-16,536.8601216306763
1999-04-19,540.1410064758971
1999-04-20,538.2611893204713
1999-04-21,537.8876362538276
1999-04-22,539.6076195632182
1999-04-23,543.8377289227575
1999-04-26,541.5799143782057
1999-04-27,544.1548392631464
1999-04-28,542.2880582521612
1999-04-29,544.4585933862118
1999-04-30,542.962513069096
1999-05-03,546.4026028466866
1999-05-04,543.8347548056523
1999-05-05,536.0082031026927
1999-05-06,530.8504723369163
1999-05-07,528.5120569526493
1999-05-10,523.4663383538126
1999-05-11,522.3059652837987
1999-05-12,518.9265337404044
1999-05-13,518.9263414026522
1999-05-14,513.5585780406799
1999-05-17,509.4510993290318
1999-05-18,508.9829830738301
1999-05-19,507.0698093586912
1999-05-20,506.4717306620469
1999-05-21,506.7341471944365
1999-05-24,506.7342513015025
1999-05-25,499.352853407154
1999-05-26,494.4093226858606
1999-05-27,495.17949307112355
1999-05-28,488.78397345031783
1999-05-31,491.90359139908384
