Date,JAPAN IMI GROWTH
1998-12-31,960.3305607293122
1999-01-01,960.3305607293122
1999-01-04,939.7626742940778
1999-01-05,934.0439890728503
1999-01-06,938.5414733787059
1999-01-07,966.0716180627995
1999-01-08,965.1958057499196
1999-01-11,982.1749431312707
1999-01-12,959.5318410902806
1999-01-13,929.544557284343
1999-01-14,944.243656007885
1999-01-15,948.8819368016071
1999-01-18,952.172610111375
1999-01-19,956.4393186846247
1999-01-20,975.174520873512
1999-01-21,989.9508755594188
1999-01-22,976.2093718286148
1999-01-25,979.2720315398844
1999-01-26,986.9337828200336
1999-01-27,988.8075845723421
1999-01-28,983.9997529078156
1999-01-29,1004.9388718645024
1999-02-01,1015.6496212855309
1999-02-02,1029.19265040316
1999-02-03,1017.9576750979099
1999-02-04,1017.554855252302
1999-02-05,1006.333882494495
1999-02-08,1008.1348294956204
1999-02-09,994.0920821954188
1999-02-10,989.6241740299007
1999-02-11,993.6127772005686
1999-02-12,1001.4370431272088
1999-02-15,998.3986195548085
1999-02-16,986.2108281997316
1999-02-17,974.437182590846
1999-02-18,965.337044777835
1999-02-19,972.5084470827484
1999-02-22,994.4019588674868
1999-02-23,1000.5906958537732
1999-02-24,1003.1215838091471
1999-02-25,1013.3800353184051
1999-02-26,1030.4381511246834
1999-03-01,1015.03970098252
1999-03-02,996.1055445017092
1999-03-03,995.0712454940895
1999-03-04,992.9914769626718
1999-03-05,1037.535831119655
1999-03-08,1041.7538172920842
1999-03-09,1060.0228139773128
1999-03-10,1086.8270470308628
1999-03-11,1100.0460585814837
1999-03-12,1095.5934581325428
1999-03-15,1121.247845425813
1999-03-16,1153.95176288685
1999-03-17,1155.8809051487683
1999-03-18,1139.9101698330487
1999-03-19,1189.6908106248693
1999-03-22,1183.8276167053104
1999-03-23,1182.4416720707172
1999-03-24,1155.853994007207
1999-03-25,1174.9830266493
1999-03-26,1193.1374958396468
1999-03-29,1200.2447044353858
1999-03-30,1192.632614079389
1999-03-31,1201.688119260328
1999-04-01,1221.5059898198688
1999-04-02,1221.7322000647239
1999-04-05,1220.1080826667096
1999-04-06,1235.2429222370056
1999-04-07,1231.340573140009
1999-04-08,1246.9753017300222
1999-04-09,1257.0696914511568
1999-04-12,1234.3107008059837
1999-04-13,1257.2391212817704
1999-04-14,1281.2237009871924
1999-04-15,1275.4296445688271
1999-04-16,1288.8278794703406
1999-04-19,1284.627993398211
1999-04-20,1269.261862437933
1999-04-21,1243.3955235958092
1999-04-22,1257.5935001234234
1999-04-23,1277.5239977530634
1999-04-26,1294.8825133282987
1999-04-27,1282.5980065277831
1999-04-28,1295.9505788847473
1999-04-29,1301.4079120820263
1999-04-30,1290.1905948509223
