Date,GERMANY IMI GROWTH
1998-12-31,668.0312183496385
1999-01-01,667.957775338089
1999-01-04,695.4711873174294
1999-01-05,692.3622455871915
1999-01-06,716.3454344188285
1999-01-07,706.0286616056173
1999-01-08,714.6912598304687
1999-01-11,704.0786166060061
1999-01-12,700.1221984707238
1999-01-13,667.6315262986443
1999-01-14,672.1745366437106
1999-01-15,675.0616654265277
1999-01-18,683.5490150974985
1999-01-19,684.171825222638
1999-01-20,695.3974745654438
1999-01-21,696.5853143792215
1999-01-22,680.419554598838
1999-01-25,678.2191890541553
1999-01-26,681.7822251447637
1999-01-27,690.4192407136235
1999-01-28,689.4651384624286
1999-01-29,695.0855195356166
1999-02-01,708.8572978874985
1999-02-02,700.0624798620744
1999-02-03,688.2445375360343
1999-02-04,686.3933531798202
1999-02-05,691.3936644435731
1999-02-08,684.8312566932716
1999-02-09,662.9298827626641
1999-02-10,653.9764778903516
1999-02-11,660.6495829239105
1999-02-12,665.0657943404917
1999-02-15,664.2518814064784
1999-02-16,663.3607741790514
1999-02-17,654.3669154903242
1999-02-18,657.9748653901825
1999-02-19,653.7078141342093
1999-02-22,658.5170282557538
1999-02-23,674.0521945233493
1999-02-24,679.2635618931866
1999-02-25,661.3842673084519
1999-02-26,657.0358288161248
1999-03-01,645.0025875997899
1999-03-02,641.3189188769792
1999-03-03,627.9836580663939
1999-03-04,633.4729598034063
1999-03-05,648.5545208097865
1999-03-08,640.6924504951256
1999-03-09,639.6958251918762
1999-03-10,625.6277295673467
1999-03-11,629.4115590641276
1999-03-12,660.1381922653871
1999-03-15,660.0584439730102
1999-03-16,664.9616876012531
1999-03-17,661.3459671757437
1999-03-18,658.2399329940099
1999-03-19,665.638157219151
1999-03-22,657.0616141740823
1999-03-23,639.0153097338957
1999-03-24,627.9921680402355
1999-03-25,636.9141520497903
1999-03-26,630.753800755587
1999-03-29,639.1265265067005
1999-03-30,637.5507142684379
1999-03-31,640.1983880239659
1999-04-01,641.7166075085149
1999-04-02,641.7165747348263
1999-04-05,641.7165162432641
1999-04-06,654.3329724257362
1999-04-07,652.4582182335258
1999-04-08,656.6067831960585
1999-04-09,662.6423886619401
1999-04-12,668.8743391353522
1999-04-13,678.5500341285486
1999-04-14,672.0261152236309
1999-04-15,669.9700239324892
1999-04-16,665.9698354141614
1999-04-19,678.8040675929342
1999-04-20,660.0290081656367
1999-04-21,670.019867791544
1999-04-22,675.7091295628377
1999-04-23,671.8126458938141
1999-04-26,684.7304002606871
1999-04-27,690.3750707723401
1999-04-28,689.9352316128055
1999-04-29,686.2751809121428
1999-04-30,689.6530608747646
1999-05-03,693.5708937464046
1999-05-04,696.0511788223681
1999-05-05,688.2216643696588
1999-05-06,683.3680914458395
