Date,COLOMBIA IMI MOMENTUM
1996-05-31,1000.0
1996-06-28,966.9240892596126
1996-07-31,967.5180196261514
1996-08-30,969.5790154476878
1996-09-30,1030.2200819519273
1996-10-31,1062.2609222790045
1996-11-29,1047.172324580644
1996-12-31,1046.5280470454775
1997-01-01,1046.5280470454775
1997-01-02,1042.8333451717406
1997-01-03,1030.0045082538857
1997-01-06,1030.0045082538857
1997-01-07,1049.5736814464572
1997-01-08,1075.9202449443023
1997-01-09,1096.6107496047287
1997-01-10,1126.0920410077392
1997-01-13,1171.6989435219741
1997-01-14,1221.1463945783873
1997-01-15,1228.8762378566262
1997-01-16,1223.6338724788802
1997-01-17,1216.0214365568913
1997-01-20,1204.6588130473665
1997-01-21,1178.7013964512582
1997-01-22,1142.2742637823037
1997-01-23,1131.0683038911955
1997-01-24,1129.8955271004243
1997-01-27,1115.416437952659
1997-01-28,1110.4901603038782
1997-01-29,1100.0785595033256
1997-01-30,1107.6611936136778
1997-01-31,1115.1754585554222
1997-02-03,1111.7764483463927
1997-02-04,1152.3724483437838
1997-02-05,1184.8185960621124
1997-02-06,1190.5502832263583
1997-02-07,1172.0331692678299
1997-02-10,1162.350581202589
1997-02-11,1164.9257926053638
1997-02-12,1169.1368102510635
1997-02-13,1176.0141099696632
1997-02-14,1174.852662964632
1997-02-17,1178.6026809974594
1997-02-18,1186.181432515774
1997-02-19,1185.8159860966368
1997-02-20,1198.4593086662715
1997-02-21,1209.1114811249436
1997-02-24,1208.264224692814
1997-02-25,1208.8666638991804
1997-02-26,1200.902415808781
1997-02-27,1211.5448181681109
1997-02-28,1217.0047405629325
1997-03-03,1218.460695468063
1997-03-04,1222.297428626724
1997-03-05,1232.5659178779945
1997-03-06,1236.1235052562874
1997-03-07,1244.433929691224
1997-03-10,1251.8041265726702
1997-03-11,1242.5852240368758
1997-03-12,1245.339420780074
1997-03-13,1258.4049355710042
1997-03-14,1256.863833648564
1997-03-17,1255.090006962348
1997-03-18,1244.4230264545847
1997-03-19,1250.1617842828045
1997-03-20,1246.5781211436104
1997-03-21,1246.8407171711333
1997-03-24,1247.1937631505116
1997-03-25,1246.7257615380138
1997-03-26,1245.3653463895496
1997-03-27,1246.4440524237693
1997-03-28,1246.4440524237693
1997-03-31,1247.2499800150379
1997-04-01,1248.0882313702718
1997-04-02,1256.004986027461
1997-04-03,1259.8116213179965
1997-04-04,1269.4855979177996
1997-04-07,1282.9129071011296
1997-04-08,1289.6756957167825
1997-04-09,1298.9637656646046
1997-04-10,1310.8766187816532
1997-04-11,1303.1936013981092
1997-04-14,1306.7066172538086
1997-04-15,1314.8322454099327
1997-04-16,1316.099465443523
1997-04-17,1319.7021278484563
1997-04-18,1313.629762887949
1997-04-21,1302.8513371735212
1997-04-22,1307.1241158054756
1997-04-23,1295.435550953545
1997-04-24,1310.2425357979798
1997-04-25,1312.6750399640578
1997-04-28,1312.093282640233
1997-04-29,1315.319425366054
1997-04-30,1317.088493677758
1997-05-01,1317.1692999549
1997-05-02,1307.2271444660257
1997-05-05,1312.033174004573
1997-05-06,1323.1602404133841
1997-05-07,1334.721656270241
