Date,BRAZIL IMI MOMENTUM
1995-05-31,1000.0
1995-06-30,960.3971328086848
1995-07-31,996.7953514962329
1995-08-31,1035.958889027617
1995-09-29,1057.6450013999945
1995-10-31,965.8571833471262
1995-11-30,933.8660237978343
1995-12-29,925.6877282140239
1996-01-31,1062.0617583774226
1996-02-29,1008.833801886818
1996-03-29,992.5067692986186
1996-04-30,1026.5717216750497
1996-05-31,1160.6855860334872
1996-06-28,1240.7770235587873
1996-07-31,1238.8969190163768
1996-08-30,1275.1780049204992
1996-09-30,1289.6664669293573
1996-10-31,1312.4603149504685
1996-11-29,1299.7233861198968
1996-12-31,1349.0973117223841
1997-01-01,1348.6929034856264
1997-01-02,1345.1023325159615
1997-01-03,1352.488934284806
1997-01-06,1368.466990888385
1997-01-07,1410.872948888473
1997-01-08,1424.0214939615018
1997-01-09,1426.664177629447
1997-01-10,1418.167540953001
1997-01-13,1409.3405172742832
1997-01-14,1443.428809154847
1997-01-15,1456.305990117461
1997-01-16,1451.629605494971
1997-01-17,1473.3078820469582
1997-01-20,1481.5496228133327
1997-01-21,1499.638637205441
1997-01-22,1501.314715285007
1997-01-23,1527.9135778913346
1997-01-24,1505.1654815776446
1997-01-27,1493.6544889695967
1997-01-28,1498.8265802764586
1997-01-29,1471.4960335534242
1997-01-30,1471.6908282592008
1997-01-31,1501.6305157320983
1997-02-03,1523.8507429065262
1997-02-04,1514.169720736595
1997-02-05,1524.6860054564947
1997-02-06,1523.7657209413676
1997-02-07,1558.1412246342757
1997-02-10,1558.1412246342757
1997-02-11,1558.3441157965722
1997-02-12,1633.8204454857444
1997-02-13,1635.678950155101
1997-02-14,1621.8559385950546
1997-02-17,1633.6301655532507
1997-02-18,1649.9140570575964
1997-02-19,1635.6153518083606
1997-02-20,1623.010198935895
1997-02-21,1614.891448541363
1997-02-24,1637.5310578098388
1997-02-25,1664.5631335447465
1997-02-26,1644.2967704447956
1997-02-27,1615.537515026769
1997-02-28,1613.445133193654
1997-03-03,1621.4462827244345
1997-03-04,1624.265243895341
1997-03-05,1635.0616386798722
1997-03-06,1648.2477073907294
1997-03-07,1657.656072034067
1997-03-10,1699.1824496340355
1997-03-11,1708.1409942420685
1997-03-12,1670.6796533027607
1997-03-13,1662.345756319619
1997-03-14,1683.748901749901
1997-03-17,1656.9798502071233
1997-03-18,1631.3643158865696
1997-03-19,1618.3418151433725
1997-03-20,1632.9955661921585
1997-03-21,1639.4289420287937
1997-03-24,1635.4987466731627
1997-03-25,1642.0706610036696
1997-03-26,1629.9145678017499
