Date,SAUDI ARABIA IMI MOMENTUM
2015-05-29,1000.0
2015-06-01,991.1219245496532
2015-06-02,991.900909115783
2015-06-03,986.9262930288942
2015-06-04,983.6925536120139
2015-06-05,983.6925536120139
2015-06-08,970.2540240491559
2015-06-09,962.789019282463
2015-06-10,966.113150130514
2015-06-11,960.5974233726428
2015-06-12,960.5974233726428
2015-06-15,967.6711367167096
2015-06-16,964.5623492208692
2015-06-17,963.2931416678052
2015-06-18,958.044338552063
2015-06-19,958.057112135948
2015-06-22,929.0959909296485
2015-06-23,928.5992957034421
2015-06-24,932.4416592114468
2015-06-25,939.7326767985721
2015-06-26,939.7326767985721
2015-06-29,903.8531486744672
2015-06-30,906.0401828105993
2015-07-01,914.0175153289122
2015-07-02,920.242141845041
2015-07-03,920.156262883944
2015-07-06,923.1475274994363
2015-07-07,915.6328296733074
2015-07-08,915.7940690180063
2015-07-09,951.0506948499544
2015-07-10,950.9872990777905
2015-07-13,952.758697296537
2015-07-14,953.1179507590484
2015-07-15,956.6691207833146
2015-07-16,956.7201383747811
2015-07-17,956.6818746710732
2015-07-20,956.6946288988951
2015-07-21,956.7201383747813
2015-07-22,964.8517675173739
2015-07-23,964.5401924089887
2015-07-24,964.5530520875756
2015-07-27,934.1069337853905
2015-07-28,937.9601670499937
2015-07-29,941.1289632139157
2015-07-30,945.8330432680667
2015-07-31,945.8204330015075
2015-08-03,926.160463087255
2015-08-04,920.5264732797649
2015-08-05,920.8206943831286
2015-08-06,907.5100440502808
2015-08-07,907.5342427048785
2015-08-10,929.0111303418008
2015-08-11,923.2562279218142
2015-08-12,921.0611647186969
2015-08-13,917.5304881835541
2015-08-14,917.5427171948453
2015-08-17,900.6950721451221
2015-08-18,877.5019307822331
2015-08-19,856.7758699346095
2015-08-20,860.4548576993908
2015-08-21,860.546628538378
2015-08-24,757.5686128825482
2015-08-25,817.0057369870145
2015-08-26,801.0489737511151
2015-08-27,815.1675069085663
2015-08-28,815.1566410509141
2015-08-31,803.1123426559167
2015-09-01,797.077425221415
2015-09-02,786.7526657227639
2015-09-03,790.0211245137473
2015-09-04,789.9158178496778
2015-09-07,798.0223654609857
2015-09-08,804.387733724686
2015-09-09,821.9170189868637
2015-09-10,816.955801499356
2015-09-11,816.9231293660938
2015-09-14,802.6902098333765
2015-09-15,803.9716996421395
2015-09-16,799.0970547108922
2015-09-17,797.9861862903283
2015-09-18,797.9861862903283
2015-09-21,800.9648329820775
2015-09-22,800.9968694396332
2015-09-23,800.9541547323616
2015-09-24,800.9968694396333
2015-09-25,800.9968694396333
2015-09-28,800.975511516521
2015-09-29,788.566833224362
