Date,CHILE IMI MOMENTUM
1995-05-31,1000.0
1995-06-30,1022.599684281257
1995-07-31,1042.1294304624194
1995-08-31,1003.1029360606612
1995-09-29,963.7407011130106
1995-10-31,902.5657615808815
1995-11-30,833.0801276502563
1995-12-29,862.5808713743922
1996-01-31,859.7087883296479
1996-02-29,836.4292078393879
1996-03-29,784.518334583762
1996-04-30,814.3889361172269
1996-05-31,780.6856048904992
1996-06-28,774.1399689071095
1996-07-31,766.3706574512861
1996-08-30,732.7814822013421
1996-09-30,740.0890318222345
1996-10-31,733.519945102815
1996-11-29,684.8141391296878
1996-12-31,657.5148338979635
1997-01-01,657.5148338979635
1997-01-02,660.3218540950112
1997-01-03,666.2264639442398
1997-01-06,676.6144545493297
1997-01-07,684.2388710741252
1997-01-08,691.8454977007215
1997-01-09,692.8810985752086
1997-01-10,693.2313045665675
1997-01-13,696.4885203198414
1997-01-14,705.2241121618968
1997-01-15,707.6097611982351
1997-01-16,701.5154610777037
1997-01-17,707.5849037320222
1997-01-20,710.1786814200033
1997-01-21,711.7427237434149
1997-01-22,704.5339018792013
1997-01-23,710.861909519863
1997-01-24,705.9670751251446
1997-01-27,699.451613099003
1997-01-28,700.3880121957299
1997-01-29,700.4403616466896
1997-01-30,706.5908352806134
1997-01-31,706.3252067065978
1997-02-03,710.4415753459042
1997-02-04,709.233204329109
1997-02-05,709.7862653235421
1997-02-06,710.1496668364134
1997-02-07,724.3588765672506
1997-02-10,726.6246092895369
1997-02-11,724.7943183858132
1997-02-12,728.9554407715788
1997-02-13,736.3630336290773
1997-02-14,734.2460395278672
1997-02-17,734.0598000442027
1997-02-18,736.0976501198439
1997-02-19,738.0637401816078
1997-02-20,740.7191671263573
1997-02-21,739.4072935703497
1997-02-24,742.48208284549
1997-02-25,753.4915648914459
1997-02-26,756.4312358554698
1997-02-27,752.0217615384391
1997-02-28,744.5925493454276
1997-03-03,737.2623368557561
1997-03-04,732.6598603990502
1997-03-05,730.6204015037258
1997-03-06,734.7211774893464
1997-03-07,739.1066307231836
1997-03-10,740.1519118979204
1997-03-11,744.2522376309372
1997-03-12,745.8927919583346
1997-03-13,742.4021045127093
1997-03-14,738.040378468226
1997-03-17,733.8027240433108
1997-03-18,724.1142091685355
1997-03-19,721.6575821753537
1997-03-20,716.5261054134976
1997-03-21,715.7750197518293
1997-03-24,713.7067060495405
1997-03-25,716.3142666265593
1997-03-26,717.7773410207097
1997-03-27,723.8475219419053
1997-03-28,722.9963732862415
1997-03-31,718.4614647809658
1997-04-01,718.7554823954254
1997-04-02,720.4612527875081
1997-04-03,728.330817580757
1997-04-04,726.4797714361993
1997-04-07,727.8006977907467
1997-04-08,727.8456917156433
1997-04-09,728.9291868850072
1997-04-10,733.9052910805641
1997-04-11,730.3391480629489
1997-04-14,728.0114973189537
1997-04-15,726.9380793641235
1997-04-16,731.1977844664497
1997-04-17,731.000317498599
1997-04-18,731.7885726605952
1997-04-21,726.7899435355926
1997-04-22,727.6797430794275
1997-04-23,725.6396225011655
1997-04-24,724.2386697533765
1997-04-25,725.0224574448988
1997-04-28,724.1358498703556
1997-04-29,727.7382597389699
1997-04-30,728.9481490323998
