Date,ACWI ex JAPAN VALUE
2000-12-29,100.0
2001-01-01,100.0056581909186
2001-01-02,99.28754409340735
2001-01-03,100.42978363767776
2001-01-04,100.6943759882691
2001-01-05,99.77663503575107
2001-01-08,99.69727862151717
2001-01-09,99.17387517388303
2001-01-10,99.26722152746943
2001-01-11,99.82068318464086
2001-01-12,99.55995919078086
2001-01-15,99.46021598524784
2001-01-16,99.64868208200868
2001-01-17,99.85352134315575
2001-01-18,100.37591151337594
2001-01-19,99.7403744622357
2001-01-22,99.91720633967239
2001-01-23,100.72950721897762
2001-01-24,100.81617993778886
2001-01-25,101.05987219703519
2001-01-26,100.79049543980408
2001-01-29,101.21177580142458
2001-01-30,102.04657272237931
2001-01-31,102.14590438849135
2001-02-01,102.42582505138932
2001-02-02,101.42007039362814
2001-02-05,102.0190148432616
2001-02-06,101.74007616207491
2001-02-07,101.1436722337237
2001-02-08,100.8047715630473
2001-02-09,100.37334465303977
2001-02-12,101.32740173574538
2001-02-13,100.96204080032715
2001-02-14,100.1244968952404
2001-02-15,100.09430044616589
2001-02-16,99.53300776654694
2001-02-19,99.58551019528228
2001-02-20,98.25912037674372
2001-02-21,96.9460819696992
2001-02-22,96.70481569580107
2001-02-23,95.8671763224997
2001-02-26,97.18099303401112
2001-02-27,97.4270607581134
2001-02-28,96.73384539071579
2001-03-01,96.57043505349866
2001-03-02,96.94243079879678
2001-03-05,97.36431848204397
2001-03-06,98.38742596144611
2001-03-07,98.87693907515272
2001-03-08,99.41598096892209
2001-03-09,98.07426485302376
2001-03-12,95.13406800889884
2001-03-13,94.65726013329278
2001-03-14,92.34623385708217
2001-03-15,93.27300038245335
2001-03-16,91.14321442774146
2001-03-19,91.84161276856514
2001-03-20,91.30244100745293
2001-03-21,89.35319624014326
2001-03-22,86.54933735594106
2001-03-23,88.28336792368954
2001-03-26,90.56155659837302
2001-03-27,92.68051734811462
2001-03-28,90.83503312574808
2001-03-29,90.62671885319472
2001-03-30,91.50376574549206
2001-04-02,90.81635564566616
2001-04-03,88.34657892427308
2001-04-04,88.78515064500442
2001-04-05,91.04854746031633
2001-04-06,90.21759811135644
