Date,AC PACIFIC ex JAPAN ex HK VALUE
2000-12-29,100.00000000000001
2001-01-01,100.15873013863782
2001-01-02,101.56164104882716
2001-01-03,101.06162131628487
2001-01-04,104.49946678824769
2001-01-05,106.6955245416142
2001-01-08,106.13286800645959
2001-01-09,106.78948407828751
2001-01-10,105.5672302233681
2001-01-11,104.58802904718979
2001-01-12,105.35441715291678
2001-01-15,105.68537098017279
2001-01-16,106.52611502873775
2001-01-17,106.37729241348414
2001-01-18,107.56996319449773
2001-01-19,108.90300841490723
2001-01-22,109.95614559270267
2001-01-23,109.58262905537724
2001-01-24,108.93830214492726
2001-01-25,109.62054137052529
2001-01-26,108.64567777403693
2001-01-29,108.71870906904441
2001-01-30,109.4007923699112
2001-01-31,111.70560038908069
2001-02-01,112.23854902114616
2001-02-02,112.72119030290152
2001-02-05,109.98561593313516
2001-02-06,109.92046123581682
2001-02-07,108.74316711959469
2001-02-08,109.01839477851925
2001-02-09,109.43778468022005
2001-02-12,110.25977459262576
2001-02-13,110.66759560794526
2001-02-14,110.05488414049336
2001-02-15,110.0382723764431
2001-02-16,110.14227723910234
2001-02-19,108.94312655270707
2001-02-20,109.92590714703785
2001-02-21,109.36974992785336
2001-02-22,108.09067902972923
2001-02-23,108.24143225340983
2001-02-26,108.7648231169182
2001-02-27,108.48409512061804
2001-02-28,108.64917586796055
2001-03-01,107.7283589338193
2001-03-02,106.93431120544123
2001-03-05,106.61600096489168
2001-03-06,106.29955110601847
2001-03-07,106.26136004218979
2001-03-08,106.0649334408696
2001-03-09,105.4889638234721
2001-03-12,102.91798608634629
2001-03-13,100.40013431108243
2001-03-14,100.30820838182443
2001-03-15,99.93161954535827
2001-03-16,99.68396693281612
2001-03-19,98.62842932718793
2001-03-20,98.42686079055575
2001-03-21,97.77700745957274
2001-03-22,96.18266744142005
2001-03-23,96.87074145633498
2001-03-26,98.45304274720503
2001-03-27,97.90352635075845
2001-03-28,97.56340801620992
2001-03-29,96.6005206747418
2001-03-30,96.02969562013158
2001-04-02,95.02709935194484
2001-04-03,93.86331129932611
2001-04-04,92.89952672706748
2001-04-05,93.56600705397281
2001-04-06,94.86281113814667
2001-04-09,92.77561155419349
2001-04-10,93.05397390148893
2001-04-11,95.36989007621777
2001-04-12,96.16136676081196
2001-04-13,96.31504661393274
2001-04-16,95.83761601316354
2001-04-17,95.26877965217894
2001-04-18,96.1113199538641
2001-04-19,99.17779569389899
2001-04-20,98.87686651965353
2001-04-23,98.90465837863252
2001-04-24,98.64416232964061
2001-04-25,98.75815280496042
2001-04-26,99.00908477394111
2001-04-27,98.90785825206066
2001-04-30,100.0057888122813
2001-05-01,100.45975572412047
2001-05-02,101.4581955952231
2001-05-03,102.36044887464456
2001-05-04,101.01474985105187
2001-05-07,101.33165487416532
2001-05-08,100.46465504026744
2001-05-09,100.75783491012412
2001-05-10,101.33455433956632
