Date,ACWI ex AUSTRALIA VALUE
2000-12-29,1000.0
2001-01-01,1000.0511067193876
2001-01-02,993.0314992137435
2001-01-03,1003.4413873552865
2001-01-04,1003.738615853287
2001-01-05,995.9067857017446
2001-01-08,995.4593866640226
2001-01-09,988.9965070295206
2001-01-10,988.5002715272693
2001-01-11,990.2773735397345
2001-01-12,987.129787084879
2001-01-15,985.9299738280578
2001-01-16,990.0653574042691
2001-01-17,993.1195055538398
2001-01-18,998.7809786782317
2001-01-19,992.6830549812328
2001-01-22,994.7509444756059
2001-01-23,1002.1316590341011
2001-01-24,1002.0845503648098
2001-01-25,1004.6394082799183
2001-01-26,1001.810071583012
2001-01-29,1006.5408363160221
2001-01-30,1014.4499797913519
2001-01-31,1015.5840495966895
2001-02-01,1018.8842044667392
2001-02-02,1008.5034207994349
2001-02-05,1012.9365526641913
2001-02-06,1009.8864128119011
2001-02-07,1004.2777044857761
2001-02-08,1000.1767931766749
2001-02-09,996.7721573086828
2001-02-12,1005.2576349767025
2001-02-13,1002.2631799138942
2001-02-14,995.5677402503178
2001-02-15,996.4917712119586
2001-02-16,990.4453241427203
2001-02-19,989.6442068898323
2001-02-20,978.7993897242968
2001-02-21,965.7098461118209
2001-02-22,965.0594311893003
2001-02-23,958.7499253920811
2001-02-26,971.4535087819219
2001-02-27,973.2496508864558
2001-02-28,965.61516969489
2001-03-01,963.7303272176582
2001-03-02,963.4564548160737
2001-03-05,967.3166639697625
2001-03-06,978.5739342803923
2001-03-07,983.0013381108054
2001-03-08,988.4169994930106
2001-03-09,976.1406535923279
2001-03-12,946.6540125772781
2001-03-13,940.7083399108865
2001-03-14,917.3850785764945
2001-03-15,927.2223644707966
2001-03-16,907.1600836191062
2001-03-19,914.0561226211828
2001-03-20,908.80619889073
2001-03-21,896.4484854305082
2001-03-22,868.7072014033125
2001-03-23,886.2459659222785
2001-03-26,909.5928379879459
2001-03-27,928.9460268021876
2001-03-28,914.0608433526851
2001-03-29,908.5322047660852
2001-03-30,915.1381536175762
2001-04-02,907.1759731788171
2001-04-03,887.5877403477255
2001-04-04,893.2256940092169
2001-04-05,915.2372118363928
2001-04-06,906.9224869894298
2001-04-09,913.195313817857
2001-04-10,928.0423532780693
2001-04-11,927.0156893349845
2001-04-12,935.8469848919287
2001-04-13,935.6159197802928
2001-04-16,933.7151560069927
2001-04-17,935.5685822915353
2001-04-18,958.9488106802644
2001-04-19,967.6487400369429
2001-04-20,962.800540495397
2001-04-23,956.588721126377
2001-04-24,954.3867676567784
2001-04-25,962.1628851643476
2001-04-26,970.2774021574049
2001-04-27,976.8944551087851
2001-04-30,974.4587384209107
2001-05-01,984.6473066412148
2001-05-02,982.283340624674
2001-05-03,972.4240749367336
2001-05-04,980.9910024076415
2001-05-07,981.4286148597007
2001-05-08,972.231843926676
2001-05-09,970.3029156915989
2001-05-10,975.2937094078391
2001-05-11,968.6042690369092
2001-05-14,964.5272449922057
2001-05-15,970.3894729509626
2001-05-16,983.3934820307078
2001-05-17,988.6498168456253
2001-05-18,990.6274302075948
2001-05-21,998.3105454026232
2001-05-22,996.7035721386658
2001-05-23,987.717062107053
2001-05-24,987.8960862685134
2001-05-25,981.0065547336618
2001-05-28,980.7093579718593
2001-05-29,976.0216047498012
2001-05-30,966.5744714471848
2001-05-31,969.7595807887873
2001-06-01,968.3560103501976
2001-06-04,972.1691428620007
