Date,RUSSIA VALUE
2000-12-29,100.00000000000001
2001-01-01,100.00000000000001
2001-01-02,99.9300602680936
2001-01-03,89.41772348619611
2001-01-04,98.5251539975909
2001-01-05,101.00422552241002
2001-01-08,101.19073147416046
2001-01-09,101.8537091381318
2001-01-10,108.38111187930824
2001-01-11,111.76957629184804
2001-01-12,112.91967515472851
2001-01-15,116.13410723656138
2001-01-16,114.07698516791868
2001-01-17,119.77871099886524
2001-01-18,116.97073073298455
2001-01-19,121.11037983635993
2001-01-22,116.55927860700302
2001-01-23,119.36191195033845
2001-01-24,125.26310617368507
2001-01-25,126.83073327152597
2001-01-26,127.73432428560133
2001-01-29,125.34160194173417
2001-01-30,125.56818120043289
2001-01-31,125.05818351931039
2001-02-01,121.65177170860466
2001-02-02,123.0227206759742
2001-02-05,116.73991319831072
2001-02-06,120.38535907250422
2001-02-07,117.23931957618335
2001-02-08,120.73792312259289
2001-02-09,118.56732780585119
2001-02-12,118.99002258826408
2001-02-13,125.96409909779265
2001-02-14,125.84665391794609
2001-02-15,133.61218865331392
2001-02-16,127.12023439816505
2001-02-19,123.91351954130745
2001-02-20,122.62762082203977
2001-02-21,110.10901781819446
2001-02-22,114.72221920232438
2001-02-23,109.7312355968064
2001-02-26,114.18850653836373
2001-02-27,111.03827387388415
2001-02-28,112.88236310248837
2001-03-01,109.87827536785332
2001-03-02,110.79955789743178
2001-03-05,116.7049905254879
2001-03-06,123.3267832228627
2001-03-07,125.86268499296787
2001-03-08,126.01014498564273
2001-03-09,125.97327998747402
2001-03-12,119.1241934406651
2001-03-13,118.93745683424068
2001-03-14,113.64789946170606
2001-03-15,116.62369389405104
2001-03-16,117.49842707293682
2001-03-19,121.54817707378088
2001-03-20,120.89637295541027
2001-03-21,116.73905991602217
2001-03-22,115.68940150351678
2001-03-23,116.58489680321173
2001-03-26,118.3513933866314
2001-03-27,117.29795992138435
2001-03-28,115.64968935064906
2001-03-29,113.43337205585996
2001-03-30,115.07234772911869
2001-04-02,112.21699604124278
2001-04-03,107.06718595313785
2001-04-04,106.30697703457346
2001-04-05,112.37677737485896
2001-04-06,109.47954743455519
2001-04-09,111.02619885325095
2001-04-10,113.5890512699601
2001-04-11,116.81420474046125
2001-04-12,115.33502498736499
2001-04-13,117.1208466340968
2001-04-16,115.46802380029158
2001-04-17,113.47743899607545
2001-04-18,118.6402617479652
2001-04-19,120.46284251233205
2001-04-20,116.00818827614064
2001-04-23,111.63512255535976
