Date,VIETNAM
2006-11-30,581.9075713480098
2006-12-01,601.5627950870957
2006-12-04,626.1169587618476
2006-12-05,628.9546104179003
2006-12-06,645.708744236109
2006-12-07,675.6648666175907
2006-12-08,706.1688001316844
2006-12-11,741.4197409077404
2006-12-12,758.512628068012
2006-12-13,793.3867080393001
2006-12-14,828.8172749329462
2006-12-15,869.7462652253214
2006-12-18,900.4195909802913
2006-12-19,941.6364964362228
2006-12-20,967.8444889460511
2006-12-21,957.6633205190203
2006-12-22,913.2724141480072
2006-12-25,887.2037199173042
2006-12-26,865.820392269796
2006-12-27,890.0177783540023
2006-12-28,885.3927039016556
2006-12-29,861.277784072834
2007-01-01,861.4602777631203
2007-01-02,839.528129453589
2007-01-03,862.7335446065402
2007-01-04,902.3485835007133
2007-01-05,946.0780560264459
2007-01-08,949.652963005833
2007-01-09,960.2740670755114
2007-01-10,981.5194798045624
2007-01-11,999.9291734413744
2007-01-12,1047.1906197481803
2007-01-15,1098.1045982522692
2007-01-16,1150.8772449141075
2007-01-17,1103.4121074084221
2007-01-18,1095.6607586277314
2007-01-19,1148.8773251400487
2007-01-22,1196.047836819883
2007-01-23,1213.6402557026747
2007-01-24,1173.9151111743254
2007-01-25,1167.3468723660592
2007-01-26,1162.1507360573094
2007-01-29,1192.3644308697876
2007-01-30,1244.7557940246902
2007-01-31,1280.5334543288357
2007-02-01,1261.8718076702758
2007-02-02,1281.1841576652478
2007-02-05,1235.4332519462541
2007-02-06,1291.5347339655493
2007-02-07,1308.560407829317
2007-02-08,1243.7762119319586
2007-02-09,1183.519039415518
2007-02-12,1228.0984438155274
2007-02-13,1263.6179822190957
2007-02-14,1233.3904895856042
2007-02-15,1250.6466332090959
2007-02-16,1250.568374862734
2007-02-19,1250.6466332090959
2007-02-20,1250.6466332090959
2007-02-21,1304.52127972602
2007-02-22,1310.9156469385089
2007-02-23,1310.5877335755076
2007-02-26,1310.9156469385089
2007-02-27,1357.3349239857064
2007-02-28,1290.4138342326441
2007-03-01,1253.5733402062785
2007-03-02,1289.2607086731773
2007-03-05,1294.4821838381165
2007-03-06,1235.498441694585
2007-03-07,1230.5273500790092
2007-03-08,1221.8686588739045
2007-03-09,1226.6846192180967
2007-03-12,1223.6288232105558
