Date,SERBIA
2008-05-30,1000.0
2008-06-02,972.4495603348317
2008-06-03,969.298429444373
2008-06-04,976.9240438629975
2008-06-05,1023.5164213351374
2008-06-06,1052.830584212342
2008-06-09,1079.08471318476
2008-06-10,1062.8063326711517
2008-06-11,1033.72368984397
2008-06-12,1061.2678123593564
2008-06-13,1066.4591930013426
2008-06-16,1075.8069953432641
2008-06-17,1079.7955869684367
2008-06-18,1065.5947722008113
2008-06-19,1047.7625970465722
2008-06-20,1067.9787001158113
2008-06-23,1061.6831115813425
2008-06-24,1056.8314322523074
2008-06-25,1045.620764094253
2008-06-26,1049.5750780600122
2008-06-27,1051.772374106195
2008-06-30,1059.785479265775
2008-07-01,1048.8498074070305
2008-07-02,1047.531412879637
2008-07-03,1021.6295397510993
2008-07-04,1016.0946731398649
2008-07-07,997.9023480691291
2008-07-08,967.2913953355248
2008-07-09,976.2860902999814
2008-07-10,952.8898032471747
2008-07-11,968.6967233156224
2008-07-14,955.3592129095822
2008-07-15,953.5495025840765
2008-07-16,927.8210892038215
2008-07-17,932.1599931539595
2008-07-18,923.5533560474577
2008-07-21,915.9888065161282
2008-07-22,932.570922031102
2008-07-23,938.9221089441153
2008-07-24,933.5857793050548
2008-07-25,928.1597770636727
2008-07-28,930.1176897653596
2008-07-29,917.99715184481
2008-07-30,914.3570279623455
2008-07-31,907.7500094154055
2008-08-01,906.59054595069
2008-08-04,894.4303601608522
2008-08-05,863.0603016341805
2008-08-06,859.38237086843
2008-08-07,842.8076508722825
2008-08-08,824.0029121664364
2008-08-11,808.38538937961
2008-08-12,821.1788720678716
2008-08-13,804.4164142181372
2008-08-14,811.035721543127
2008-08-15,796.8856019208431
2008-08-18,801.180460051315
2008-08-19,799.2707606977436
2008-08-20,801.2638613931452
2008-08-21,812.9322109868652
2008-08-22,808.1931192688248
2008-08-25,802.1485864579472
2008-08-26,783.9477640304315
2008-08-27,770.6031717195156
2008-08-28,763.3636363174746
2008-08-29,777.8064042480614
2008-09-01,771.0768441493211
2008-09-02,752.542906562958
2008-09-03,737.8209603978892
2008-09-04,736.5805427709323
2008-09-05,715.9870688164235
2008-09-08,721.1634027255778
2008-09-09,715.5634516001204
2008-09-10,729.8695602223511
2008-09-11,712.1997439452466
2008-09-12,723.5381926349355
2008-09-15,710.4391559031735
2008-09-16,645.0420952940967
2008-09-17,631.6782502150741
2008-09-18,611.4448688114948
2008-09-19,653.7726358360685
2008-09-22,682.4241057264401
2008-09-23,659.6080139180181
2008-09-24,645.9998810926819
2008-09-25,631.716452941092
2008-09-26,615.2524875909091
2008-09-29,572.142064078779
2008-09-30,544.958444909738
2008-10-01,543.4668897873139
2008-10-02,538.068213276842
2008-10-03,528.3522803187875
2008-10-06,450.2184242044064
2008-10-07,382.8135938942619
2008-10-08,331.360229009654
2008-10-09,356.5910264898026
