Date,BULGARIA
2005-05-31,547.7813969184656
2005-06-01,524.8241308036545
2005-06-02,525.6239953380109
2005-06-03,516.1320128683267
2005-06-06,510.03272271396753
2005-06-07,509.45677610111613
2005-06-08,515.0791923035425
2005-06-09,507.2468207391022
2005-06-10,508.8806640705003
2005-06-13,510.06696228688037
2005-06-14,517.6398636277605
2005-06-15,516.0231167520653
2005-06-16,516.0361211832864
2005-06-17,522.8747662712211
2005-06-20,507.85533766454824
2005-06-21,496.87325050491035
2005-06-22,493.8492673846
2005-06-23,494.8354019587814
2005-06-24,505.90031112577253
2005-06-27,513.1356345745315
2005-06-28,511.98505714790633
2005-06-29,519.7054052516573
2005-06-30,534.8396923148707
2005-07-01,523.6003120761003
2005-07-04,515.4762445282119
2005-07-05,519.8462256936231
2005-07-06,517.4665465757513
2005-07-07,525.8235289040349
2005-07-08,523.9407658939222
2005-07-11,528.6158124619616
2005-07-12,536.1642151172911
2005-07-13,537.255155169072
2005-07-14,545.844417655504
2005-07-15,548.1477454931097
2005-07-18,550.2196571024988
2005-07-19,540.8048603886594
2005-07-20,534.5761328266954
2005-07-21,543.4375196826759
2005-07-22,547.6807156171702
2005-07-25,533.0068817228525
2005-07-26,548.5961911853044
2005-07-27,553.6542034925666
2005-07-28,555.7027618714252
2005-07-29,557.735380678831
2005-08-01,555.1384079983685
2005-08-02,554.4342987795154
2005-08-03,563.6865754045336
2005-08-04,569.7258012673642
2005-08-05,571.1748260993227
2005-08-08,566.8196597830461
2005-08-09,566.6596186878577
2005-08-10,564.0993066900335
2005-08-11,565.9379627084157
2005-08-12,564.2951527878676
2005-08-15,565.2904199081428
2005-08-16,557.8964317706217
2005-08-17,548.0756175917111
2005-08-18,541.1084360787859
2005-08-19,532.5585571060767
2005-08-22,535.8679132301584
2005-08-23,538.959485575847
2005-08-24,543.888952580652
2005-08-25,546.7964103319101
2005-08-26,551.6685585600342
2005-08-29,551.9445862267486
2005-08-30,541.1447736990654
2005-08-31,556.7803236626241
2005-09-01,561.8805589126247
2005-09-02,566.3182707794026
2005-09-05,565.0497584452514
2005-09-06,563.463097136876
2005-09-07,561.0189261204802
2005-09-08,560.0487156068654
2005-09-09,560.9395013442056
2005-09-12,555.9227745604114
2005-09-13,555.9005897776055
2005-09-14,556.0158665914298
2005-09-15,551.9733833786696
2005-09-16,560.095562606514
2005-09-19,553.12356618049
2005-09-20,549.1005389988791
2005-09-21,556.663911675323
2005-09-22,552.9651481425966
2005-09-23,549.4846973628893
2005-09-26,540.4086635048417
2005-09-27,545.9557988121549
2005-09-28,546.2646296510508
2005-09-29,546.6595126230548
2005-09-30,545.1474428259748
2005-10-03,531.9881472816035
2005-10-04,527.5651633620614
2005-10-05,524.4399765463667
2005-10-06,540.1552340141623
2005-10-07,537.1159048190367
2005-10-10,547.4062396598848
2005-10-11,535.8547196229229
2005-10-12,536.1178178477577
2005-10-13,525.9767135850482
2005-10-14,540.8899586001182
2005-10-17,528.5723904560127
2005-10-18,523.0434176306945
2005-10-19,526.4551683573466
2005-10-20,522.4075280336184
2005-10-21,527.1363029692097
2005-10-24,512.1498501220225
2005-10-25,512.5518500976278
2005-10-26,510.5811740123916
2005-10-27,513.712311740774
2005-10-28,509.1206560513037
2005-10-31,530.8977996575785
2005-11-01,512.3126341482615
2005-11-02,521.5494438375424
2005-11-03,514.8295574065718
2005-11-04,506.56298126810196
2005-11-07,508.597983813217
2005-11-08,500.8001186244682
2005-11-09,504.0630372565149
2005-11-10,508.2235557141911
2005-11-11,507.882183027569
2005-11-14,508.2399463530861
2005-11-15,503.12834198857325
2005-11-16,501.97561366777137
2005-11-17,504.3309372339283
2005-11-18,506.75900579700226
2005-11-21,506.09587766928337
2005-11-22,505.7393982499923
2005-11-23,508.76922490338217
2005-11-24,508.5545931566021
2005-11-25,500.80916622565104
2005-11-28,500.1814176506464
2005-11-29,498.8043160586553
2005-11-30,499.0703853149741
2005-12-01,491.9038641982415
2005-12-02,491.699502711977
2005-12-05,496.6781765205922
2005-12-06,494.4914598546926
2005-12-07,490.6048630228471
2005-12-08,493.05195258632176
2005-12-09,495.48855426684503
2005-12-12,492.4307767903953
2005-12-13,488.91249120406263
2005-12-14,490.6778963374557
2005-12-15,482.5871007670931
2005-12-16,488.3402825763305
2005-12-19,494.88708529738074
2005-12-20,490.34771872135184
2005-12-21,485.03265519663057
2005-12-22,486.9490576764769
2005-12-23,485.91925233649016
2005-12-26,485.91925233649016
2005-12-27,489.12366580379404
2005-12-28,495.08112488182337
2005-12-29,492.1732034119916
2005-12-30,490.1253877497112
2006-01-02,490.1253877497112
2006-01-03,497.7186471784291
2006-01-04,494.2577269547361
2006-01-05,493.6620620326107
2006-01-06,499.21272677761215
2006-01-09,493.6554427575478
2006-01-10,495.5014250945021
2006-01-11,500.6827418103318
2006-01-12,498.8385640847687
2006-01-13,505.6630312011986
2006-01-16,507.4961654470477
2006-01-17,516.0554460523317
2006-01-18,517.4232153327304
2006-01-19,517.787135323203
2006-01-20,516.6140149293562
2006-01-23,524.6981260847497
2006-01-24,522.4366767552889
2006-01-25,526.1031485548262
2006-01-26,526.1095277399452
2006-01-27,519.6236784379814
2006-01-30,514.74575242223
2006-01-31,535.1532813609551
2006-02-01,522.8601178385247
2006-02-02,525.3682800473315
2006-02-03,518.8847191924294
2006-02-06,523.3302124754201
2006-02-07,517.0049177494221
2006-02-08,516.6714512730109
2006-02-09,517.4598317002792
2006-02-10,516.248649241115
2006-02-13,526.4623110120174
2006-02-14,523.4112324963177
2006-02-15,519.6399019632988
2006-02-16,524.2242680551085
2006-02-17,524.6638836265405
2006-02-20,525.8336134467994
2006-02-21,525.006270598312
2006-02-22,526.8082598092495
2006-02-23,523.8881335535699
2006-02-24,521.8580424484428
2006-02-27,522.8893174519621
2006-02-28,537.1026281032321
2006-03-01,536.5112762159775
2006-03-02,529.6788447684188
2006-03-03,530.9801870564071
2006-03-06,540.2137348251717
2006-03-07,533.5699675094768
2006-03-08,537.8024456398599
2006-03-09,535.4547291304604
2006-03-10,533.3924828039509
2006-03-13,541.3085678081306
