Date,BOSNIA AND HERZEGOVINA
2010-05-26,1000.0
2010-05-27,1003.6371617596336
2010-05-28,1003.4334138899015
2010-05-31,999.3785206626993
2010-06-01,1018.359047730731
2010-06-02,1011.2434314511227
2010-06-03,1026.168541393179
2010-06-04,997.7805429339921
2010-06-07,1017.47633021
2010-06-08,1005.2274476827838
2010-06-09,1005.6828842230078
2010-06-10,1004.3445651804633
2010-06-11,1003.2888638505883
2010-06-14,1021.0951512476228
2010-06-15,1026.6313147115275
2010-06-16,1007.1783032026183
2010-06-17,1010.3276241974403
2010-06-18,1012.630438118179
2010-06-21,1012.3740516414582
2010-06-22,1004.3638076459279
2010-06-23,1015.2778828175416
2010-06-24,1023.7165446337083
2010-06-25,1033.8659362659719
2010-06-28,1006.12714266
2010-06-29,1042.88582225
2010-06-30,1037.66374468
2010-07-01,1066.94846597
2010-07-02,1072.48926269
2010-07-05,1038.49279168
2010-07-06,1046.55457179
2010-07-07,1041.98419241
2010-07-08,1048.92557152
2010-07-09,1040.69208223
2010-07-12,1027.81113453
2010-07-13,1033.30351556
2010-07-14,1052.27961681
2010-07-15,1065.84153026
2010-07-16,1082.04213792
2010-07-19,1071.95426305
2010-07-20,1080.49347293
2010-07-21,1075.28253669
2010-07-22,1090.67045661
2010-07-23,1081.84385179
2010-07-26,1091.47438687
2010-07-27,1098.27921477
2010-07-28,1097.70125497
2010-07-29,1054.59738335
2010-07-30,1073.92762482
2010-08-02,1075.98619411
2010-08-03,1088.30082144
2010-08-04,1087.30863427
2010-08-05,1086.33537069
2010-08-06,1097.55677581
2010-08-09,1114.01519445
2010-08-10,1108.08364522
2010-08-11,1099.43024567
2010-08-12,1100.64967857
2010-08-13,1098.17009495
2010-08-16,1103.81682322
2010-08-17,1109.13309392
2010-08-18,1101.90286745
2010-08-19,1102.49598103
2010-08-20,1086.70548938
2010-08-23,1069.12713649
2010-08-24,1086.83847188
2010-08-25,1080.7913753
2010-08-26,1087.1312834436696
2010-08-27,1096.311248449865
2010-08-30,1091.4186683637536
2010-08-31,1099.5007591861645
2010-09-01,1101.2008893457037
2010-09-02,1094.3942831122697
2010-09-03,1071.4321643209946
2010-09-06,1069.4834706062422
2010-09-07,1056.8525980193713
2010-09-08,1047.5175415764047
2010-09-09,1046.9035419102358
2010-09-10,1045.9498607060361
2010-09-13,1044.2428778781934
2010-09-14,1061.3819087998204
2010-09-15,1074.6664726050951
2010-09-16,1074.2480107616188
2010-09-17,1065.3736692398666
2010-09-20,1062.900013654637
2010-09-21,1065.7834311177285
2010-09-22,1088.40214212201
2010-09-23,1036.4412517836909
2010-09-24,1020.7576632337931
2010-09-27,1021.6834508836498
2010-09-28,1055.0916820220007
