Date,OMAN DOMESTIC
2005-05-31,1082.057998
2005-06-01,1058.49112
2005-06-02,1040.321998
2005-06-03,1040.321998
2005-06-06,1066.652242
2005-06-07,1095.148848
2005-06-08,1105.073498
2005-06-09,1095.628528
2005-06-10,1095.628528
2005-06-13,1109.661509
2005-06-14,1125.138957
2005-06-15,1164.158108
2005-06-16,1206.472026
2005-06-17,1206.472026
2005-06-20,1234.675434
2005-06-21,1215.778827
2005-06-22,1225.788648
2005-06-23,1234.665042
2005-06-24,1234.825409
2005-06-27,1236.492212
2005-06-28,1215.454176
2005-06-29,1201.712051
2005-06-30,1190.269207
2005-07-01,1190.269207
2005-07-04,1166.347082
2005-07-05,1172.822006
2005-07-06,1186.368889
2005-07-07,1185.342419
2005-07-08,1185.342419
2005-07-11,1180.450942
2005-07-12,1178.022439
2005-07-13,1178.864094
2005-07-14,1180.522348
2005-07-15,1180.522348
2005-07-18,1160.906016
2005-07-19,1166.219685
2005-07-20,1171.201203
2005-07-21,1165.550672
2005-07-22,1165.550672
2005-07-25,1139.336376
2005-07-26,1131.325302
2005-07-27,1141.874077
2005-07-28,1144.775143
2005-07-29,1144.775143
2005-08-01,1153.508213
2005-08-02,1153.508213
2005-08-03,1111.393846
2005-08-04,1080.618984
2005-08-05,1080.618984
2005-08-08,1144.834332
2005-08-09,1176.473826
2005-08-10,1161.069499
2005-08-11,1155.325954
2005-08-12,1155.325954
2005-08-15,1153.002884
2005-08-16,1149.032454
2005-08-17,1145.744727
2005-08-18,1128.306644
2005-08-19,1128.16011
2005-08-22,1152.378479
2005-08-23,1156.924683
2005-08-24,1148.293196
2005-08-25,1148.009793
2005-08-26,1148.158904
2005-08-29,1146.717499
2005-08-30,1145.644554
2005-08-31,1144.688896
2005-09-01,1144.848625
2005-09-02,1144.848625
2005-09-05,1124.739852
2005-09-06,1115.479135
2005-09-07,1114.721879
2005-09-08,1118.960431
2005-09-09,1118.960431
2005-09-12,1117.827862
2005-09-13,1114.74167
2005-09-14,1108.089371
2005-09-15,1102.853027
2005-09-16,1102.853027
2005-09-19,1101.584097
2005-09-20,1098.83171
2005-09-21,1091.39274
2005-09-22,1080.926661
2005-09-23,1080.926661
2005-09-26,1066.407953
2005-09-27,1078.037366
2005-09-28,1098.019518
2005-09-29,1104.638688
2005-09-30,1104.638688
2005-10-03,1112.01496
