Date,ZIMBABWE
2010-11-30,1000.0
2010-12-01,1005.8910096445264
2010-12-02,1009.818349407544
2010-12-03,1011.4854001331657
2010-12-06,1021.4019330347853
2010-12-07,1021.3037495407099
2010-12-08,1001.6670507256217
2010-12-09,1001.6670507256217
2010-12-10,1001.6670507256217
2010-12-13,1002.0096586180554
2010-12-14,1002.0096586180554
2010-12-15,992.1478244799597
2010-12-16,992.1478244799597
2010-12-17,992.1478244799597
2010-12-20,1002.0096586180554
2010-12-21,997.9159585329153
2010-12-22,997.9159585329153
2010-12-23,1012.7087097400588
2010-12-24,1002.0096586180553
2010-12-27,1002.0096586180553
2010-12-28,1009.3967957381872
2010-12-29,1011.0342757722432
2010-12-30,1026.6457669964147
2010-12-31,1031.558207098583
2011-01-03,1043.8762612877626
2011-01-04,1043.8762612877626
2011-01-05,1048.8071783568105
2011-01-06,1063.599929563954
2011-01-07,1084.2409561985542
2011-01-10,1108.7486529495525
2011-01-11,1121.0965004247125
2011-01-12,1125.1983879100228
2011-01-13,1099.7970165220863
2011-01-14,1145.0628352159458
2011-01-17,1135.0520346479484
2011-01-18,1125.1902005098527
2011-01-19,1115.3283663717568
2011-01-20,1115.3283663717568
2011-01-21,1095.6046980955653
2011-01-24,1129.2839005949925
2011-01-25,1130.1026406120207
2011-01-26,1132.9756214583706
2011-01-27,1133.7124874736958
2011-01-28,1135.6848543013148
2011-01-31,1135.6848543013148
2011-02-01,1134.0473742672586
2011-02-02,1130.1026406120204
2011-02-03,1130.1026406120204
2011-02-04,1129.2839005949925
2011-02-07,1119.4220664568966
2011-02-08,1129.2839005949922
2011-02-09,1118.6033264398684
2011-02-10,1118.6033264398684
2011-02-11,1108.7414923017727
2011-02-14,1104.480348819851
2011-02-15,1097.242178129621
2011-02-16,1097.242178129621
2011-02-17,1097.242178129621
2011-02-18,1095.604698095565
2011-02-21,1105.4665322336607
2011-02-22,1113.6908863377005
2011-02-23,1121.096500424712
2011-02-24,1121.096500424712
2011-02-25,1123.0688672523313
2011-02-28,1123.0688672523313
2011-03-01,1121.096500424712
2011-03-02,1121.096500424712
2011-03-03,1121.096500424712
2011-03-04,1121.392355448855
2011-03-07,1121.096500424712
2011-03-08,1127.6833744946957
2011-03-09,1125.5620412371748
2011-03-10,1125.5620412371748
2011-03-11,1128.9188753069895
2011-03-14,1138.41787706223
2011-03-15,1149.2082708083487
2011-03-16,1164.8831590673433
2011-03-17,1160.5438369770948
2011-03-18,1160.5438369770948
2011-03-21,1160.5438369770948
2011-03-22,1160.5438369770948
2011-03-23,1140.8201687009032
2011-03-24,1140.8201687009032
