Date,TRINIDAD AND TOBAGO
2008-11-25,1000.0
2008-11-26,998.8917877238016
2008-11-27,991.9210676816868
2008-11-28,991.0372976417881
2008-12-01,990.214866049133
2008-12-02,985.0546157897531
2008-12-03,987.1544782575767
2008-12-04,975.2775279911153
2008-12-05,977.9546091783361
2008-12-08,983.3766330185008
2008-12-09,980.5328782193833
2008-12-10,981.8710280300943
2008-12-11,979.8443327333036
2008-12-12,977.6078788205041
2008-12-15,977.8806523902488
2008-12-16,970.8853996103035
2008-12-17,973.3509926232094
2008-12-18,971.8679972074663
2008-12-19,971.0471692906184
2008-12-22,971.3567527343805
2008-12-23,971.813748798455
2008-12-24,960.064311721188
2008-12-25,960.064311721188
2008-12-26,961.3500198923903
2008-12-29,959.5972380652871
2008-12-30,954.3855236889591
2008-12-31,973.1413400432774
2009-01-01,973.1413400432774
2009-01-02,975.3209929646142
2009-01-05,976.441756356975
2009-01-06,975.9199698066807
2009-01-07,967.3540583542141
2009-01-08,964.7280992249587
2009-01-09,968.4208309834735
2009-01-12,970.3007552673702
2009-01-13,970.2466715369336
2009-01-14,968.0574902872495
2009-01-15,967.9498283721059
2009-01-16,963.963332040464
2009-01-19,962.5743496320555
2009-01-20,965.1743426809677
2009-01-21,961.9916635845997
2009-01-22,963.1682482056185
2009-01-23,963.967838692331
2009-01-26,962.6384822519148
2009-01-27,959.9613049385101
2009-01-28,972.3088311858966
2009-01-29,997.2650900038955
2009-01-30,1008.3567603451344
2009-02-02,1003.7197327491142
2009-02-03,1006.1925420860634
2009-02-04,1007.5868414955781
2009-02-05,1009.5762521691942
2009-02-06,1007.4851796893721
2009-02-09,1005.5803481249501
2009-02-10,1004.2239178581776
2009-02-11,1009.9391706135716
2009-02-12,1008.0780238181648
2009-02-13,1005.1224445512084
2009-02-16,1001.8992784354941
2009-02-17,999.894072201826
2009-02-18,998.7269351974353
2009-02-19,1005.3819558881706
2009-02-20,1005.0314805476755
2009-02-23,1005.2728425747042
2009-02-24,1005.2728425747042
2009-02-25,1005.1780448854747
2009-02-26,1008.6458199220217
2009-02-27,1006.3907881192904
2009-03-02,1005.8239717824772
2009-03-03,1001.8932197153587
2009-03-04,1002.9940044382179
2009-03-05,1003.0155318052205
2009-03-06,1004.4189073369804
2009-03-09,1011.3360800091311
2009-03-10,1009.3643496051246
2009-03-11,1008.630958071753
2009-03-12,1006.6587188905806
2009-03-13,1008.5165511830957
2009-03-16,1010.8943597678661
2009-03-17,1010.5058064309385
2009-03-18,1007.8023224899537
2009-03-19,1006.5884611811883
2009-03-20,1003.0333628506381
2009-03-23,1006.1494181323027
2009-03-24,1005.9084165630393
2009-03-25,1004.2406423139511
2009-03-26,1004.024557828312
2009-03-27,1004.024557828312
