Date,PAKISTAN VALUE
2017-05-31,1000.0
2017-06-01,954.880603677299
2017-06-02,938.8636386645293
2017-06-05,965.7821113445128
2017-06-06,962.4726222387357
2017-06-07,969.308671103407
2017-06-08,967.1313513642432
2017-06-09,955.0107872610477
2017-06-12,917.3448982340959
2017-06-13,930.9419543575214
2017-06-14,921.2024415397306
2017-06-15,905.8373533005187
2017-06-16,891.895421383346
2017-06-19,900.5931181612439
2017-06-20,866.7863926694249
2017-06-21,884.1719028887226
2017-06-22,898.9117155632629
2017-06-23,898.9117155632629
2017-06-26,898.9117155632629
2017-06-27,898.9117155632629
2017-06-28,898.9117155632629
2017-06-29,924.9137758807107
2017-06-30,910.9912578126484
2017-07-03,865.9945395119557
2017-07-04,879.7024093524698
2017-07-05,860.5616482388201
2017-07-06,869.8721012385442
2017-07-07,871.6555150097782
2017-07-10,892.4632440382771
2017-07-11,847.704460301961
2017-07-12,850.2801765172169
2017-07-13,849.1332549614788
2017-07-14,861.2029661353063
2017-07-17,868.2271853102854
2017-07-18,895.173953678149
2017-07-19,885.6449086708625
2017-07-20,885.4032372895097
2017-07-21,891.0960960666488
2017-07-24,894.668881417055
2017-07-25,900.8079384311
2017-07-26,904.3630426657606
2017-07-27,903.8232499914585
2017-07-28,888.6081813415315
2017-07-31,892.184702825867
2017-08-01,909.008876320916
2017-08-02,915.3478161510923
2017-08-03,920.653618759745
2017-08-04,911.6895045862682
2017-08-07,902.338673594828
2017-08-08,893.562661570267
2017-08-09,886.0853682914548
2017-08-10,881.9195301053088
2017-08-11,873.1542139180488
2017-08-14,873.1542139180488
2017-08-15,846.7188724752958
2017-08-16,854.6328348954784
2017-08-17,833.6847112435144
2017-08-18,838.6377177350985
2017-08-21,837.470822831395
2017-08-22,838.5127013304436
2017-08-23,849.613341562325
2017-08-24,845.7311652288342
2017-08-25,848.4042023257974
2017-08-28,835.0563682619559
2017-08-29,820.0648820025945
2017-08-30,822.032044732429
2017-08-31,813.0317226212583
2017-09-01,812.8385575648028
2017-09-04,812.8385575648028
2017-09-05,834.1548007850917
2017-09-06,832.7389452715571
2017-09-07,837.84584120817
2017-09-08,840.4655771656393
2017-09-11,826.2208035131974
2017-09-12,833.8274761220747
