Date,WORLD HIGH DIVIDEND YIELD
1995-06-30,297.834492
1995-07-31,307.303661
1995-08-31,303.485454
1995-09-29,316.147592
1995-10-31,318.737797
1995-11-30,328.808003
1995-12-29,341.571983
1996-01-31,348.991762
1996-02-29,351.030648
1996-03-29,352.072054
1996-04-30,356.271585
1996-05-31,361.792432
1996-06-28,364.386911
1996-07-31,357.343106
1996-08-30,364.516669
1996-09-30,377.832044
1996-10-31,394.234826
1996-11-29,418.904603
1996-12-31,422.417407
1997-01-31,431.702578
1997-02-28,440.147274
1997-03-31,434.623066
1997-04-30,443.242229
1997-05-30,466.975849
1997-06-30,485.15999
1997-07-31,512.271447
1997-08-29,486.822237
1997-09-30,522.622883
1997-10-31,499.896618
1997-11-28,511.567526
1997-12-31,526.125681
1998-01-30,530.421826
1998-02-27,566.637523
1998-03-31,601.773533
1998-04-30,602.254576
1998-05-29,598.24857
1998-06-30,600.667926
1998-07-31,597.712157
1998-08-31,528.596499
1998-09-30,542.032515
1998-10-30,577.319609
1998-11-30,603.637785
1998-12-31,619.31475
1999-01-29,619.965377
1999-02-26,609.665035
1999-03-31,621.755328
1999-04-30,666.296747
1999-05-31,639.984303
1999-06-30,652.594444
1999-07-30,647.787754
1999-08-31,637.381697
1999-09-30,622.334692
1999-10-29,644.670543
1999-11-30,649.752295
1999-12-31,667.852529
2000-01-31,617.442572
2000-02-29,593.348509
2000-03-31,639.993341
2000-04-28,621.319349
2000-05-31,624.329481
2000-06-30,617.862028
2000-07-31,617.154737
2000-08-31,629.331235
2000-09-29,630.820699
2000-10-31,643.978698
2000-11-30,633.50438
2000-12-29,674.071138
2001-01-01,674.071138
2001-01-02,675.041815
2001-01-03,674.365133
2001-01-04,677.110184
2001-01-05,674.38243
2001-01-08,674.811549
2001-01-09,670.327999
2001-01-10,668.720837
2001-01-11,672.040149
2001-01-12,669.331016
2001-01-15,668.701466
2001-01-16,666.446859
2001-01-17,666.161724
2001-01-18,668.219123
2001-01-19,661.343223
2001-01-22,665.940815
2001-01-23,669.585418
2001-01-24,665.775359
2001-01-25,668.586793
2001-01-26,668.53064
2001-01-29,669.49686
2001-01-30,675.349611
2001-01-31,678.680267
2001-02-01,682.265558
2001-02-02,677.298657
2001-02-05,683.804642
2001-02-06,681.789406
2001-02-07,678.77744
2001-02-08,673.983351
2001-02-09,673.664169
2001-02-12,679.219488
2001-02-13,676.6636
2001-02-14,671.71899
2001-02-15,667.210686
2001-02-16,668.164219
2001-02-19,670.090031
2001-02-20,662.011021
2001-02-21,656.98844
2001-02-22,655.41118
2001-02-23,651.359619
2001-02-26,655.561941
2001-02-27,659.832924
2001-02-28,657.253465
2001-03-01,657.567965
2001-03-02,661.399007
2001-03-05,662.595551
2001-03-06,664.185542
2001-03-07,665.956664
2001-03-08,671.414985
2001-03-09,666.724199
2001-03-12,652.956576
2001-03-13,645.436664
2001-03-14,629.775526
2001-03-15,634.451143
2001-03-16,620.394205
2001-03-19,622.173845
2001-03-20,621.185034
2001-03-21,609.746087
2001-03-22,588.420346
2001-03-23,598.326089
2001-03-26,613.083077
2001-03-27,627.291379
2001-03-28,618.154843
2001-03-29,619.260683
2001-03-30,626.312275
2001-04-02,622.890685
2001-04-03,611.676178
2001-04-04,618.239209
2001-04-05,627.30572
2001-04-06,625.068444
2001-04-09,632.778264
2001-04-10,638.934909
2001-04-11,634.350174
2001-04-12,639.097897
2001-04-13,638.940303
2001-04-16,638.763107
2001-04-17,639.467266
2001-04-18,644.552474
2001-04-19,649.005406
2001-04-20,649.227614
2001-04-23,646.797297
2001-04-24,646.780473
2001-04-25,650.855436
2001-04-26,656.487124
2001-04-27,661.114095
2001-04-30,657.96632
2001-05-01,662.461991
2001-05-02,659.031382
2001-05-03,652.630622
2001-05-04,658.603359
2001-05-07,659.672347
2001-05-08,655.968825
2001-05-09,655.441497
2001-05-10,662.087041
2001-05-11,656.397884
2001-05-14,652.30215
2001-05-15,658.551441
2001-05-16,668.003391
2001-05-17,668.400529
2001-05-18,670.235341
2001-05-21,671.145632
2001-05-22,667.688339
2001-05-23,662.084646
2001-05-24,662.464269
2001-05-25,658.910273
2001-05-28,660.280087
2001-05-29,659.683591
2001-05-30,657.778422
2001-05-31,657.486776
2001-06-01,656.397465
2001-06-04,660.446585
2001-06-05,664.182747
2001-06-06,658.55832
2001-06-07,657.83306
2001-06-08,655.576887
2001-06-11,651.314305
2001-06-12,650.398203
2001-06-13,652.727156
2001-06-14,649.447303
2001-06-15,646.845577
2001-06-18,642.422404
2001-06-19,643.206607
2001-06-20,641.647452
2001-06-21,644.388461
2001-06-22,645.246333
2001-06-25,646.218422
2001-06-26,641.722824
2001-06-27,639.653769
2001-06-28,639.230905
2001-06-29,642.912828
2001-07-02,649.027045
2001-07-03,645.714658
2001-07-04,644.543579
2001-07-05,639.262617
2001-07-06,630.801223
2001-07-09,632.507607
2001-07-10,631.543854
2001-07-11,629.786876
2001-07-12,632.100638
2001-07-13,634.577173
2001-07-16,634.426649
2001-07-17,633.620927
2001-07-18,635.646875
2001-07-19,639.184788
2001-07-20,636.621146
2001-07-23,632.83049
2001-07-24,626.104459
2001-07-25,628.213757
2001-07-26,631.276689
2001-07-27,634.729232
2001-07-30,638.625608
2001-07-31,643.614447
2001-08-01,647.125443
2001-08-02,647.604635
2001-08-03,644.532937
2001-08-06,641.620088
2001-08-07,643.236181
2001-08-08,637.178794
2001-08-09,635.964494
2001-08-10,638.552733
2001-08-13,641.063186
2001-08-14,645.083538
2001-08-15,648.436188
2001-08-16,647.739093
2001-08-17,641.670011
2001-08-20,642.240118
2001-08-21,643.501315
2001-08-22,648.136995
2001-08-23,646.14876
2001-08-24,653.082019
2001-08-27,650.555865
2001-08-28,644.334759
2001-08-29,642.600135
2001-08-30,634.574148
2001-08-31,634.501777
2001-09-03,630.287434
2001-09-04,632.309459
2001-09-05,627.815065
2001-09-06,619.035841
2001-09-07,610.44973
2001-09-10,607.168874
2001-09-11,592.229003
2001-09-12,590.557839
2001-09-13,595.415749
2001-09-14,583.884361
2001-09-17,581.912528
2001-09-18,579.908667
2001-09-19,570.815514
2001-09-20,550.790995
2001-09-21,532.488181
2001-09-24,553.443922
2001-09-25,562.127379
2001-09-26,564.724291
2001-09-27,572.93626
2001-09-28,584.472982
2001-10-01,579.20354
2001-10-02,585.593246
2001-10-03,588.60565
2001-10-04,595.483532
2001-10-05,595.180625
2001-10-08,591.165916
2001-10-09,590.174431
2001-10-10,599.458734
2001-10-11,600.534688
2001-10-12,597.783024
2001-10-15,590.292391
2001-10-16,594.737862
2001-10-17,598.314551
2001-10-18,588.21774
2001-10-19,580.842662
2001-10-22,584.803445
2001-10-23,589.701747
2001-10-24,591.277752
2001-10-25,589.44491
2001-10-26,597.364284
2001-10-29,591.418282
2001-10-30,581.821043
2001-10-31,582.623576
2001-11-01,591.2277
2001-11-02,590.978513
