Date,EMU HIGH DIVIDEND YIELD
1995-06-30,234.349191
1995-07-31,245.500383
1995-08-31,230.391551
1995-09-29,235.033631
1995-10-31,237.623127
1995-11-30,246.338464
1995-12-29,258.381156
1996-01-31,263.575462
1996-02-29,269.173787
1996-03-29,270.911222
1996-04-30,276.369668
1996-05-31,282.869611
1996-06-28,286.707009
1996-07-31,281.286357
1996-08-30,286.365717
1996-09-30,295.171044
1996-10-31,304.134895
1996-11-29,322.650974
1996-12-31,331.385066
1997-01-31,334.897409
1997-02-28,336.98909
1997-03-31,348.320825
1997-04-30,342.737782
1997-05-30,359.814753
1997-06-30,374.266689
1997-07-31,403.566669
1997-08-29,373.252094
1997-09-30,413.844191
1997-10-31,392.571511
1997-11-28,396.845281
1997-12-31,417.130198
1998-01-30,423.060439
1998-02-27,452.477829
1998-03-31,493.886026
1998-04-30,510.300245
1998-05-29,530.333847
1998-06-30,539.701379
1998-07-31,543.364927
1998-08-31,470.042662
1998-09-30,455.044886
1998-10-30,488.333802
1998-11-30,507.397768
1998-12-31,528.184987
1999-01-29,513.659871
1999-02-26,500.707728
1999-03-31,518.349013
1999-04-30,548.032743
1999-05-31,526.98167
1999-06-30,537.762499
1999-07-30,541.9033
1999-08-31,550.405727
1999-09-30,539.541731
1999-10-29,554.661253
1999-11-30,542.419068
1999-12-31,589.03413
2000-01-31,516.80735
2000-02-29,539.687612
2000-03-31,548.674153
2000-04-28,528.250487
2000-05-31,539.802474
2000-06-30,558.221578
2000-07-31,557.89534
2000-08-31,554.381112
2000-09-29,539.942453
2000-10-31,538.069322
2000-11-30,539.53279
2000-12-29,584.624244
2001-01-01,584.624244
2001-01-02,588.285294
2001-01-03,588.154884
2001-01-04,590.37456
2001-01-05,594.098253
2001-01-08,593.768067
2001-01-09,584.545949
2001-01-10,579.466386
2001-01-11,592.339025
2001-01-12,592.114764
2001-01-15,590.73533
2001-01-16,584.151783
2001-01-17,581.569988
2001-01-18,586.606918
2001-01-19,575.445977
2001-01-22,582.108268
2001-01-23,584.583734
2001-01-24,577.747226
2001-01-25,581.098519
2001-01-26,581.531696
2001-01-29,580.261194
2001-01-30,583.066016
2001-01-31,590.595021
2001-02-01,591.635716
2001-02-02,585.671191
2001-02-05,593.176963
2001-02-06,591.536663
2001-02-07,588.275634
2001-02-08,582.861413
2001-02-09,584.837734
2001-02-12,590.693398
2001-02-13,586.671569
2001-02-14,584.691049
2001-02-15,574.631614
2001-02-16,577.514972
2001-02-19,582.000713
2001-02-20,572.056376
2001-02-21,568.764598
2001-02-22,559.455169
2001-02-23,553.518357
2001-02-26,558.739133
2001-02-27,566.102719
2001-02-28,566.43975
2001-03-01,569.002063
2001-03-02,571.163018
2001-03-05,569.216739
2001-03-06,572.348456
2001-03-07,573.795834
2001-03-08,576.831408
2001-03-09,576.62709
2001-03-12,566.342158
2001-03-13,550.74055
2001-03-14,538.408642
2001-03-15,540.402024
2001-03-16,524.906756
2001-03-19,521.431914
2001-03-20,529.411687
2001-03-21,519.303625
2001-03-22,491.338147
2001-03-23,502.912482
2001-03-26,517.839469
2001-03-27,531.767394
2001-03-28,522.675529
2001-03-29,523.357238
2001-03-30,528.197607
2001-04-02,528.073343
2001-04-03,518.907024
2001-04-04,529.916165
2001-04-05,533.504769
2001-04-06,537.08232
2001-04-09,544.760542
2001-04-10,545.708361
2001-04-11,541.516097
2001-04-12,549.054105
2001-04-13,549.054105
2001-04-16,543.431102
2001-04-17,541.777406
2001-04-18,542.598547
2001-04-19,549.19516
2001-04-20,552.766482
2001-04-23,547.465974
2001-04-24,552.041989
2001-04-25,553.650383
2001-04-26,561.340747
2001-04-27,560.487557
2001-04-30,558.516735
2001-05-01,561.443057
2001-05-02,556.520096
2001-05-03,549.083649
2001-05-04,550.613255
2001-05-07,550.891641
2001-05-08,547.835107
2001-05-09,547.262673
2001-05-10,555.660825
2001-05-11,549.748078
2001-05-14,546.79319
2001-05-15,553.101285
2001-05-16,556.763916
2001-05-17,558.971351
2001-05-18,561.524283
2001-05-21,562.187671
2001-05-22,557.479023
2001-05-23,552.153135
2001-05-24,553.328967
2001-05-25,548.402578
2001-05-28,552.276803
2001-05-29,547.050423
2001-05-30,546.885776
2001-05-31,541.58843
2001-06-01,541.170966
2001-06-04,542.980435
2001-06-05,547.162727
2001-06-06,542.413851
2001-06-07,543.833501
2001-06-08,542.770993
2001-06-11,537.408546
2001-06-12,537.039306
2001-06-13,542.54061
2001-06-14,542.953575
2001-06-15,540.908075
2001-06-18,533.034372
2001-06-19,532.175446
2001-06-20,527.804959
2001-06-21,528.200743
2001-06-22,531.171304
2001-06-25,537.805231
2001-06-26,532.71693
2001-06-27,529.588741
2001-06-28,525.144836
2001-06-29,530.988234
2001-07-02,535.851878
2001-07-03,531.406546
2001-07-04,531.069899
2001-07-05,527.411395
2001-07-06,522.363018
2001-07-09,525.872854
2001-07-10,526.024589
2001-07-11,524.600094
2001-07-12,521.03726
2001-07-13,525.242442
2001-07-16,524.318056
2001-07-17,521.289756
2001-07-18,523.590303
2001-07-19,528.044722
2001-07-20,529.701159
2001-07-23,528.444789
2001-07-24,526.876594
2001-07-25,521.950906
2001-07-26,525.399856
2001-07-27,529.44682
2001-07-30,535.513096
2001-07-31,539.419175
2001-08-01,541.872328
2001-08-02,537.942381
2001-08-03,536.357532
2001-08-06,536.513403
2001-08-07,534.444089
2001-08-08,527.057062
2001-08-09,526.718927
2001-08-10,525.537676
2001-08-13,531.93275
2001-08-14,536.162665
2001-08-15,540.911144
2001-08-16,539.919496
2001-08-17,532.307997
2001-08-20,530.332457
2001-08-21,532.640608
2001-08-22,539.014033
2001-08-23,537.836555
2001-08-24,545.189726
2001-08-27,543.933797
2001-08-28,537.200111
2001-08-29,539.892959
2001-08-30,530.00152
2001-08-31,530.402429
2001-09-03,524.553836
2001-09-04,519.892291
2001-09-05,512.687386
2001-09-06,507.589657
2001-09-07,503.536342
2001-09-10,494.758151
2001-09-11,474.978586
2001-09-12,473.46552
2001-09-13,476.515209
2001-09-14,457.874339
2001-09-17,466.290306
2001-09-18,465.421881
2001-09-19,455.346264
2001-09-20,431.394428
2001-09-21,411.667048
2001-09-24,434.827674
2001-09-25,442.946741
2001-09-26,451.621059
2001-09-27,460.661343
2001-09-28,467.485556
2001-10-01,461.536426
2001-10-02,469.761549
2001-10-03,472.188816
2001-10-04,483.207549
2001-10-05,481.08925
2001-10-08,481.643425
2001-10-09,480.462242
2001-10-10,490.007346
2001-10-11,488.413648
2001-10-12,489.60106
2001-10-15,477.781499
2001-10-16,482.34581
2001-10-17,487.863986
2001-10-18,477.852546
2001-10-19,464.707248
2001-10-22,469.697478
2001-10-23,479.247354
2001-10-24,483.709582
2001-10-25,477.537501
2001-10-26,484.196359
2001-10-29,483.197537
2001-10-30,474.51935
2001-10-31,474.533449
2001-11-01,480.827116
2001-11-02,476.460893
2001-11-05,482.012126
2001-11-06,477.217095
2001-11-07,483.918302
2001-11-08,489.48768
2001-11-09,485.926392
2001-11-12,476.785681
2001-11-13,484.116724
2001-11-14,482.068039
2001-11-15,476.35231
2001-11-16,485.315074
2001-11-19,489.511469
2001-11-20,489.755888
2001-11-21,485.758757
2001-11-22,490.201467
2001-11-23,490.316983
2001-11-26,486.419365
2001-11-27,481.625585
2001-11-28,478.561307
2001-11-29,479.613659
2001-11-30,486.030032
2001-12-03,483.073304
2001-12-04,486.713896
2001-12-05,498.897398
2001-12-06,501.588161
2001-12-07,496.228958
2001-12-10,488.196968
2001-12-11,489.372547
2001-12-12,486.472909
2001-12-13,479.684182
2001-12-14,479.062228
2001-12-17,493.345144
2001-12-18,490.033987
2001-12-19,483.98306
2001-12-20,480.426903
2001-12-21,483.546658
2001-12-24,479.038472
2001-12-25,479.038472
2001-12-26,479.447644
2001-12-27,493.175817
2001-12-28,494.99854
2001-12-31,499.841176
2002-01-01,499.841176
2002-01-02,501.590817
2002-01-03,506.587309
2002-01-04,504.976753
2002-01-07,498.264729
2002-01-08,497.375969
2002-01-09,497.359491
2002-01-10,493.903343
2002-01-11,495.031369
2002-01-14,486.095654
2002-01-15,489.29421
2002-01-16,479.066879
2002-01-17,486.529283
2002-01-18,487.699271
2002-01-21,485.140304
2002-01-22,486.767349
2002-01-23,493.80088
2002-01-24,494.627292
2002-01-25,488.688184
2002-01-28,491.364987
2002-01-29,484.127674
2002-01-30,479.740869
2002-01-31,485.583168
2002-02-01,487.536429
2002-02-04,485.335077
2002-02-05,478.603338
2002-02-06,473.027241
2002-02-07,474.244013
2002-02-08,474.854084
2002-02-11,481.639781
2002-02-12,480.410917
2002-02-13,480.326599
2002-02-14,483.337185
2002-02-15,480.38118
2002-02-18,477.456243
2002-02-19,470.031968
2002-02-20,468.172333
2002-02-21,474.784509
2002-02-22,474.117825
2002-02-25,477.809301
2002-02-26,479.833473
2002-02-27,485.348516
2002-02-28,489.274732
2002-03-01,492.758725
2002-03-04,504.514557
2002-03-05,501.413823
2002-03-06,506.606006
2002-03-07,511.745173
2002-03-08,512.504584
2002-03-11,512.607162
2002-03-12,509.161975
2002-03-13,509.726048
2002-03-14,513.965143
2002-03-15,520.204575
2002-03-18,519.827464
2002-03-19,524.359939
2002-03-20,523.219724
2002-03-21,519.179865
2002-03-22,520.733335
2002-03-25,515.091922
2002-03-26,518.935388
2002-03-27,517.219828
2002-03-28,523.409975
2002-03-29,523.409975
2002-04-01,527.69975
2002-04-02,526.768835
2002-04-03,526.660968
2002-04-04,520.944074
2002-04-05,518.194944
2002-04-08,509.450513
2002-04-09,511.212235
2002-04-10,518.244379
2002-04-11,515.002898
2002-04-12,514.740401
2002-04-15,518.986247
2002-04-16,529.377586
2002-04-17,531.287144
2002-04-18,533.568242
2002-04-19,535.362725
2002-04-22,533.052734
2002-04-23,531.246893
2002-04-24,529.049948
2002-04-25,524.034146
2002-04-26,521.705738
2002-04-29,521.963916
2002-04-30,526.011702
2002-05-01,528.899759
2002-05-02,524.3849
2002-05-03,529.227326
2002-05-06,527.022983
2002-05-07,521.94178
2002-05-08,529.654466
2002-05-09,527.071817
2002-05-10,523.450851
2002-05-13,528.666939
2002-05-14,530.456263
2002-05-15,534.558988
2002-05-16,533.947905
2002-05-17,538.972952
2002-05-20,535.474793
2002-05-21,534.004753
2002-05-22,535.010722
2002-05-23,534.264891
2002-05-24,535.868435
2002-05-27,535.924857
2002-05-28,538.47292
2002-05-29,539.340079
2002-05-30,534.254326
2002-05-31,536.364218
2002-06-03,533.233298
2002-06-04,520.768318
2002-06-05,518.218589
