Date,EAFE HIGH DIVIDEND YIELD
1995-06-30,261.353676
1995-07-31,273.913014
1995-08-31,263.041597
1995-09-29,270.483358
1995-10-31,273.950684
1995-11-30,278.978001
1995-12-29,289.325405
1996-01-31,296.548723
1996-02-29,299.105199
1996-03-29,297.831384
1996-04-30,302.602387
1996-05-31,307.162738
1996-06-28,309.243923
1996-07-31,305.474579
1996-08-30,313.993568
1996-09-30,324.630186
1996-10-31,336.003097
1996-11-29,355.929065
1996-12-31,363.776286
1997-01-31,360.3765
1997-02-28,367.584575
1997-03-31,374.224544
1997-04-30,376.135254
1997-05-30,395.659349
1997-06-30,410.436128
1997-07-31,431.584398
1997-08-29,407.668767
1997-09-30,444.338551
1997-10-31,413.250647
1997-11-28,414.814163
1997-12-31,428.280054
1998-01-30,438.24562
1998-02-27,470.618868
1998-03-31,501.114637
1998-04-30,502.480006
1998-05-29,498.955648
1998-06-30,501.010876
1998-07-31,501.919629
1998-08-31,444.421426
1998-09-30,437.328369
1998-10-30,470.074335
1998-11-30,490.53788
1998-12-31,503.99771
1999-01-29,501.337812
1999-02-26,503.041021
1999-03-31,521.64648
1999-04-30,562.610559
1999-05-31,531.37728
1999-06-30,540.988239
1999-07-30,547.549306
1999-08-31,551.614983
1999-09-30,539.759934
1999-10-29,557.201748
1999-11-30,568.899268
1999-12-31,607.510861
2000-01-31,533.94125
2000-02-29,528.445422
2000-03-31,557.390911
2000-04-28,541.181304
2000-05-31,545.60706
2000-06-30,564.616531
2000-07-31,558.840607
2000-08-31,561.223
2000-09-29,545.444787
2000-10-31,548.404356
2000-11-30,545.20092
2000-12-29,590.135333
2001-01-01,590.135333
2001-01-02,592.137143
2001-01-03,590.423367
2001-01-04,598.264337
2001-01-05,600.897678
2001-01-08,600.901514
2001-01-09,592.541485
2001-01-10,587.958177
2001-01-11,595.819342
2001-01-12,593.843989
2001-01-15,592.471126
2001-01-16,586.070387
2001-01-17,588.53001
2001-01-18,592.926685
2001-01-19,584.779484
2001-01-22,588.698355
2001-01-23,591.891929
2001-01-24,586.838389
2001-01-25,588.205034
2001-01-26,589.155357
2001-01-29,589.962427
2001-01-30,593.251875
2001-01-31,596.211751
2001-02-01,598.296346
