Date,EAFE ex JAPAN HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0007799531259
1999-01-04,1013.0887978870368
1999-01-05,1019.1399331150844
1999-01-06,1041.7199837226347
1999-01-07,1037.6536033666769
1999-01-08,1032.700903810689
1999-01-11,1023.3486853370596
1999-01-12,1017.0550501769379
1999-01-13,990.0044587290695
1999-01-14,986.1847694653785
1999-01-15,990.3251207147998
1999-01-18,1008.1469396211152
1999-01-19,1003.0166030340689
1999-01-20,1004.479004798905
1999-01-21,996.2874444390878
1999-01-22,972.9364824325463
1999-01-25,968.7857350873417
1999-01-26,969.0610366835465
1999-01-27,972.5492883838547
1999-01-28,975.1218070028984
1999-01-29,976.2132638740381
1999-02-01,983.6527418165628
1999-02-02,990.5260178649058
1999-02-03,983.5316232994456
1999-02-04,982.9932811231472
1999-02-05,985.1340160513246
1999-02-08,984.8505694481855
1999-02-09,977.1620861715326
1999-02-10,967.0249000634674
1999-02-11,972.3732118265152
1999-02-12,982.068593602118
1999-02-15,982.2122025887878
1999-02-16,987.309860275317
1999-02-17,980.4845283813602
1999-02-18,975.5791207064251
1999-02-19,969.3822491238333
1999-02-22,970.1162545462157
1999-02-23,977.4445486584538
1999-02-24,984.3806536517391
1999-02-25,983.2787143920905
1999-02-26,980.9608859856202
1999-03-01,972.301207902643
1999-03-02,976.4660924560336
1999-03-03,973.8209883676461
1999-03-04,976.8381139021938
1999-03-05,999.0720083681233
1999-03-08,998.487199537078
1999-03-09,1002.4083993883078
1999-03-10,1014.1639543045516
1999-03-11,1024.178684865289
1999-03-12,1040.8658817060534
1999-03-15,1038.252744343841
1999-03-16,1042.1237326693338
1999-03-17,1044.1567851275604
1999-03-18,1042.8446558229575
1999-03-19,1056.358857970243
1999-03-22,1052.8801862925798
1999-03-23,1040.3604041280257
1999-03-24,1034.2080796804523
1999-03-25,1041.2406174816301
1999-03-26,1032.6501460921145
1999-03-29,1040.0068793463508
1999-03-30,1043.3353414980347
1999-03-31,1046.658542119694
1999-04-01,1047.0842411866859
1999-04-02,1045.239034102403
1999-04-05,1041.3297797951727
1999-04-06,1051.6665882636507
1999-04-07,1065.982462797322
1999-04-08,1066.751705913016
1999-04-09,1074.1155708411038
1999-04-12,1076.5370810152854
1999-04-13,1084.39774269601
1999-04-14,1089.8464690867256
1999-04-15,1097.2122161869356
1999-04-16,1113.8635105217688
1999-04-19,1129.8847952804058
1999-04-20,1110.0407587723957
1999-04-21,1108.3683633173991
1999-04-22,1117.1789151526773
1999-04-23,1122.3613919370387
1999-04-26,1126.5086712581342
1999-04-27,1144.5919503540247
1999-04-28,1140.5538769142602
1999-04-29,1142.125382187171
1999-04-30,1152.4248257418499
1999-05-03,1154.7118625333176
1999-05-04,1165.1718248678108
1999-05-05,1156.6825314094756
1999-05-06,1164.812417743381
1999-05-07,1151.8937779853468
1999-05-10,1151.324653673941
