Date,WORLD ex EUROPE HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,997.2254870464029
1999-01-05,1003.2510876388094
1999-01-06,1028.9993536021516
1999-01-07,1036.715416586269
1999-01-08,1045.7093321154023
1999-01-11,1038.097700140089
1999-01-12,1021.7776060925339
1999-01-13,1009.3191905177779
1999-01-14,990.3349228641083
1999-01-15,1005.1103162544177
1999-01-18,1007.5189392230109
1999-01-19,1003.3305149836372
1999-01-20,999.4613472383593
1999-01-21,990.6323535904564
1999-01-22,982.4947963873091
1999-01-25,983.2957270513309
1999-01-26,987.7781546790662
1999-01-27,973.2906683288871
1999-01-28,981.9462362205047
1999-01-29,987.2503038982716
1999-02-01,982.3556820606113
1999-02-02,976.2979837730073
1999-02-03,979.1202536792734
1999-02-04,975.2347447527522
1999-02-05,979.001072250767
1999-02-08,978.5494185181153
1999-02-09,967.3060374495798
1999-02-10,963.793367775992
1999-02-11,970.4808418030518
1999-02-12,963.6189416217463
1999-02-15,962.6739311954299
1999-02-16,962.232061592122
1999-02-17,960.4995859987414
1999-02-18,968.1557343388711
1999-02-19,967.5653721336796
1999-02-22,984.086267126478
1999-02-23,977.7243255271115
1999-02-24,967.0057802683316
1999-02-25,965.0249395434992
1999-02-26,962.7115737775259
1999-03-01,961.3781136870672
1999-03-02,956.5488195800468
1999-03-03,959.56929423513
1999-03-04,971.0221972891777
1999-03-05,991.5069685593755
1999-03-08,992.0459612169019
1999-03-09,991.2980712577811
1999-03-10,1007.3731551306045
1999-03-11,1014.1305255046299
1999-03-12,1013.6884799719118
1999-03-15,1016.5302770666816
1999-03-16,1011.3621445500783
1999-03-17,1010.285913549131
1999-03-18,1022.5517247208708
1999-03-19,1014.8487092518106
1999-03-22,1017.4724448763782
1999-03-23,998.6414225122058
1999-03-24,996.683096890373
1999-03-25,1004.3681473813062
1999-03-26,997.5226263037027
1999-03-29,1009.9632662963571
1999-03-30,996.7778273722208
1999-03-31,989.3121239769672
1999-04-01,991.3740030657332
1999-04-02,990.1323860355141
1999-04-05,1003.5345674064341
1999-04-06,1000.2361256335379
1999-04-07,1009.2650581752744
1999-04-08,1023.5335670629232
1999-04-09,1025.2169154137607
1999-04-12,1036.922047950748
1999-04-13,1037.954562585592
1999-04-14,1040.7145239915828
1999-04-15,1058.6214832990315
1999-04-16,1075.6711161328744
1999-04-19,1087.8702165262318
1999-04-20,1081.5553762904735
1999-04-21,1079.6992017050725
1999-04-22,1087.2225150260435
1999-04-23,1086.3513381817704
1999-04-26,1079.1077946398982
1999-04-27,1095.1037336941326
1999-04-28,1103.867099847755
1999-04-29,1114.650547876509
1999-04-30,1104.2247697940459
1999-05-03,1127.3030965799537
1999-05-04,1118.6943804912223
1999-05-05,1118.8597433371285
1999-05-06,1111.3113052103693
1999-05-07,1112.6640674104178
1999-05-10,1111.2091042094366
1999-05-11,1112.7844813562745
1999-05-12,1107.6348989887906
1999-05-13,1117.8330400892955
1999-05-14,1100.3007674037706
1999-05-17,1093.463137325084
1999-05-18,1087.8888386864614
1999-05-19,1092.7025280152577
1999-05-20,1090.8555460367188
1999-05-21,1095.664500990422
1999-05-24,1085.3851746602231
1999-05-25,1070.837576054409
1999-05-26,1084.899636382524
1999-05-27,1060.3745974871495
1999-05-28,1066.831514139654
1999-05-31,1066.654659603553
1999-06-01,1067.2565920265624
1999-06-02,1070.034750618565
1999-06-03,1071.9405496699026
1999-06-04,1082.473873155297
1999-06-07,1091.838785563504
1999-06-08,1086.166106513796
1999-06-09,1086.3023687297714
1999-06-10,1084.0900041566897
1999-06-11,1079.2886606636125
1999-06-14,1088.6803793812398
1999-06-15,1091.7751780262452
1999-06-16,1099.0391639795855
1999-06-17,1106.0192855423159
1999-06-18,1105.4797834402789
1999-06-21,1099.216374802297
1999-06-22,1094.4440058948303
1999-06-23,1090.555586090042
1999-06-24,1075.1993456040643
1999-06-25,1079.3422076054821
1999-06-28,1083.3355796314322
1999-06-29,1093.4663048220257
1999-06-30,1100.8467237378093
1999-07-01,1107.41330488009
1999-07-02,1117.6001390503304
1999-07-05,1120.4437124918913
1999-07-06,1120.351366581054
1999-07-07,1119.0548262417228
1999-07-08,1111.8468714528474
1999-07-09,1113.9709871966588
1999-07-12,1109.4476701578328
1999-07-13,1104.3107864677556
1999-07-14,1104.2990785722034
1999-07-15,1111.4913326991173
1999-07-16,1113.305049028248
1999-07-19,1108.2044718718519
1999-07-20,1100.0201528293296
1999-07-21,1097.5112087733266
1999-07-22,1096.1922346111853
1999-07-23,1091.253124524576
1999-07-26,1085.5335664877896
1999-07-27,1091.3134211572246
1999-07-28,1091.7602979350984
1999-07-29,1079.3446510945116
1999-07-30,1074.9198217416592
1999-08-02,1077.8699257971498
1999-08-03,1077.753067210893
1999-08-04,1072.1124681591227
1999-08-05,1077.480643608797
