Date,EUROPE HIGH DIVIDEND YIELD
1995-06-30,221.733617
1995-07-31,232.438255
1995-08-31,223.799289
1995-09-29,229.535134
1995-10-31,237.705315
1995-11-30,246.887631
1995-12-29,258.212272
1996-01-31,259.010366
1996-02-29,261.244065
1996-03-29,256.507075
1996-04-30,260.256368
1996-05-31,265.917956
1996-06-28,267.9111
1996-07-31,268.667288
1996-08-30,274.721056
1996-09-30,284.939298
1996-10-31,297.258297
1996-11-29,314.269282
1996-12-31,327.681153
1997-01-31,324.465415
1997-02-28,331.375976
1997-03-31,340.529525
1997-04-30,345.304082
1997-05-30,361.258292
1997-06-30,370.226466
1997-07-31,396.476646
1997-08-29,379.31519
1997-09-30,416.433032
1997-10-31,396.622946
1997-11-28,397.049091
1997-12-31,410.489449
1998-01-30,423.930777
1998-02-27,452.603642
1998-03-31,484.544848
1998-04-30,492.592559
1998-05-29,488.955865
1998-06-30,499.085022
1998-07-31,496.432668
1998-08-31,442.382818
1998-09-30,436.743156
1998-10-30,458.502336
1998-11-30,474.436021
1998-12-31,486.56125
1999-01-29,475.58792
1999-02-26,480.437215
1999-03-31,502.783387
1999-04-30,542.797171
1999-05-31,515.337792
1999-06-30,523.486106
1999-07-30,533.763641
1999-08-31,536.693192
1999-09-30,524.165333
1999-10-29,532.60714
1999-11-30,527.651279
1999-12-31,557.060592
2000-01-31,490.603732
2000-02-29,492.404785
2000-03-31,513.526356
2000-04-28,497.528596
2000-05-31,505.462397
2000-06-30,521.712729
2000-07-31,523.313523
2000-08-31,524.834687
2000-09-29,516.429193
2000-10-31,522.145657
2000-11-30,522.628678
2000-12-29,570.168277
2001-01-01,570.168277
2001-01-02,570.82612
2001-01-03,569.629286
2001-01-04,578.471477
2001-01-05,581.707508
2001-01-08,581.873872
2001-01-09,574.964874
2001-01-10,571.33178
2001-01-11,578.894297
2001-01-12,575.547765
2001-01-15,573.22569
2001-01-16,567.085348
2001-01-17,569.259144
2001-01-18,572.908938
2001-01-19,563.100942
2001-01-22,567.404805
2001-01-23,572.227049
2001-01-24,567.578448
2001-01-25,567.538348
2001-01-26,567.972928
2001-01-29,569.264802
2001-01-30,573.766696
2001-01-31,575.303092
2001-02-01,577.241489
2001-02-02,572.508235
2001-02-05,577.990531
2001-02-06,577.189346
