Date,PACIFIC ex JAPAN HIGH DIVIDEND YIELD
1997-08-25,1302.23472159
1997-08-26,1297.17427684
1997-08-27,1286.61471937
1997-08-28,1266.9792645
1997-08-29,1235.53293333
1997-09-01,1212.57390472
1997-09-02,1210.91102142
1997-09-03,1243.95119573
1997-09-04,1235.36615716
1997-09-05,1257.67351243
1997-09-08,1279.39847433
1997-09-09,1289.38023408
1997-09-10,1277.71957602
1997-09-11,1252.76872148
1997-09-12,1261.14382858
1997-09-15,1277.23454795
1997-09-16,1268.30044262
1997-09-17,1277.26190168
1997-09-18,1283.21684568
1997-09-19,1298.02631722
1997-09-22,1296.40707846
1997-09-23,1303.47039381
1997-09-24,1302.60065837
1997-09-25,1314.84509734
1997-09-26,1302.01676857
1997-09-29,1293.25861197
1997-09-30,1295.37314537
1997-10-01,1299.24800427
1997-10-02,1299.65878418
1997-10-03,1296.6224486
1997-10-06,1286.07458746
1997-10-07,1283.91808909
1997-10-08,1294.03720117
1997-10-09,1276.23872657
1997-10-10,1272.25110457
1997-10-13,1256.0501064
1997-10-14,1248.8416303
1997-10-15,1233.507239
1997-10-16,1244.88937243
1997-10-17,1239.03589952
1997-10-20,1217.53875572
1997-10-21,1207.30708659
1997-10-22,1187.13591288
1997-10-23,1136.82298231
1997-10-24,1133.374486
1997-10-27,1093.68675307
1997-10-28,1003.71131497
1997-10-29,1091.71558558
1997-10-30,1080.12616537
1997-10-31,1105.31377873
1997-11-03,1145.24984732
1997-11-04,1143.74287476
1997-11-05,1137.77392894
1997-11-06,1129.73911871
1997-11-07,1099.1693835
1997-11-10,1096.72208027
1997-11-11,1098.17412375
1997-11-12,1082.37472838
1997-11-13,1081.77750728
1997-11-14,1079.90070126
1997-11-17,1101.1572638
1997-11-18,1096.67978553
1997-11-19,1078.62744416
1997-11-20,1068.66978077
1997-11-21,1110.50987041
1997-11-24,1103.57470952
1997-11-25,1081.18761603
1997-11-26,1092.25686353
1997-11-27,1086.75069841
1997-11-28,1087.35377076
1997-12-01,1097.49073198
1997-12-02,1126.03884837
1997-12-03,1132.89461841
1997-12-04,1144.74497733
1997-12-05,1153.63242742
1997-12-08,1172.57781075
1997-12-09,1154.79416022
1997-12-10,1131.64933482
1997-12-11,1086.18480774
1997-12-12,1085.18374301
1997-12-15,1078.2167647
1997-12-16,1067.60969697
1997-12-17,1086.58807709
1997-12-18,1096.64754682
1997-12-19,1069.53090339
1997-12-22,1058.04831418
1997-12-23,1071.43903146
1997-12-24,1070.90961492
1997-12-25,1070.90961492
1997-12-26,1071.41495131
1997-12-29,1081.31870944
1997-12-30,1096.00959741
1997-12-31,1102.2748151
1998-01-01,1102.2748151
1998-01-02,1088.50642225
1998-01-05,1065.90412457
1998-01-06,1049.05360688
1998-01-07,1019.38300703
1998-01-08,999.13904435
1998-01-09,977.91359978
1998-01-12,920.0683784
1998-01-13,957.77940567
1998-01-14,997.29040246
1998-01-15,964.15594769
1998-01-16,985.88146105
1998-01-19,1030.65368575
1998-01-20,1025.67804456
1998-01-21,1007.87844538
1998-01-22,981.68988161
1998-01-23,983.90453983
1998-01-26,993.96394025
1998-01-27,1003.3032977
1998-01-28,1012.48132469
1998-01-29,1014.90178095
1998-01-30,1023.76889137
1998-02-02,1094.22717567
1998-02-03,1108.77169316
1998-02-04,1089.4083441
1998-02-05,1097.91346896
1998-02-06,1099.22666248
1998-02-09,1126.11862593
1998-02-10,1136.52960446
1998-02-11,1134.79288176
1998-02-12,1115.44234813
1998-02-13,1083.98330399
1998-02-16,1053.36236383
1998-02-17,1070.24365875
1998-02-18,1096.17140161
1998-02-19,1102.95205157
1998-02-20,1096.21158382
1998-02-23,1093.04640061
1998-02-24,1101.48542965
1998-02-25,1104.73774232
1998-02-26,1130.35304351
1998-02-27,1148.82450067
1998-03-02,1148.02667013
1998-03-03,1140.63003959
1998-03-04,1131.52799176
1998-03-05,1090.54838446
1998-03-06,1097.43843337
1998-03-09,1090.31986791
1998-03-10,1099.19998759
1998-03-11,1100.17714796
1998-03-12,1097.01777508
1998-03-13,1113.24094911
1998-03-16,1108.08720513
1998-03-17,1116.66176534
1998-03-18,1114.64685759
1998-03-19,1130.98317245
1998-03-20,1138.69176732
1998-03-23,1146.3297394
1998-03-24,1146.09363081
1998-03-25,1155.31223157
1998-03-26,1150.7486767
1998-03-27,1147.4424289
1998-03-30,1123.97620379
1998-03-31,1132.04244398
1998-04-01,1122.61613424
1998-04-02,1105.23263732
1998-04-03,1101.61225784
1998-04-06,1108.20809324
1998-04-07,1105.39212346
1998-04-08,1113.52020982
1998-04-09,1117.72216719
1998-04-10,1117.39400972
1998-04-13,1114.90801815
1998-04-14,1111.4098132
1998-04-15,1116.82847898
1998-04-16,1107.36834633
1998-04-17,1100.73948964
1998-04-20,1106.93246882
1998-04-21,1103.05493968
1998-04-22,1104.7212263
1998-04-23,1107.26969196
1998-04-24,1102.97512911
1998-04-27,1078.3314449
1998-04-28,1071.03209215
1998-04-29,1062.68059138
1998-04-30,1059.07578077
1998-05-01,1075.30831269
1998-05-04,1063.58452504
1998-05-05,1043.2346861
1998-05-06,1027.75371358
1998-05-07,1020.87325902
1998-05-08,1026.68408324
1998-05-11,1027.70270098
1998-05-12,1018.79924342
1998-05-13,992.77606602
1998-05-14,1002.89513202
1998-05-15,1002.6916209
1998-05-18,986.66062231
1998-05-19,986.41252761
1998-05-20,991.55764148
1998-05-21,1008.56036463
1998-05-22,1002.53177532
1998-05-25,995.2917309
1998-05-26,989.57957226
1998-05-27,957.97525943
1998-05-28,949.1014003
1998-05-29,951.12544177
1998-06-01,919.49118674
1998-06-02,912.7392889
1998-06-03,918.97705485
1998-06-04,903.21454306
1998-06-05,891.24603561
1998-06-08,883.15276124
1998-06-09,868.80735701
1998-06-10,836.71610414
1998-06-11,828.0528378
1998-06-12,833.09075458
1998-06-15,805.10017725
1998-06-16,811.73589378
1998-06-17,849.9211587
1998-06-18,881.13520208
1998-06-19,890.33214533
1998-06-22,863.50527215
1998-06-23,866.8130921
1998-06-24,867.38847752
1998-06-25,877.00884869
1998-06-26,871.16781128
1998-06-29,866.76872388
1998-06-30,879.13465747
1998-07-01,885.55322622
1998-07-02,906.84807102
1998-07-03,898.4527846
1998-07-06,888.99640323
1998-07-07,888.98774472
1998-07-08,894.71572533
1998-07-09,882.79735432
1998-07-10,865.15475788
1998-07-13,855.72833391
1998-07-14,872.4433243
1998-07-15,887.39378109
1998-07-16,900.74998247
1998-07-17,902.89609252
1998-07-20,896.20054131
1998-07-21,892.6028907
1998-07-22,874.62575659
1998-07-23,860.2950845
1998-07-24,866.89261415
1998-07-27,842.78460421
1998-07-28,841.23300461
1998-07-29,827.9007272
1998-07-30,837.93848032
1998-07-31,833.7556021
1998-08-03,809.45136363
1998-08-04,817.04401583
1998-08-05,815.42939727
1998-08-06,796.40252511
1998-08-07,778.26654654
1998-08-10,769.13451716
1998-08-11,739.21225676
1998-08-12,740.57916932
1998-08-13,724.88871351
1998-08-14,752.8946084
1998-08-17,746.90422265
1998-08-18,750.69958066
1998-08-19,777.37190841
1998-08-20,784.94109013
1998-08-21,766.82912661
1998-08-24,769.62547013
1998-08-25,785.30606154
1998-08-26,781.37130102
1998-08-27,768.65946585
1998-08-28,756.37546885
1998-08-31,729.34780508
1998-09-01,720.52533089
1998-09-02,740.12923018
1998-09-03,740.72942436
1998-09-04,764.83341775
