Date,WORLD ex AUSTRALIA  HIGH DIVIDEND YIELD
1995-06-30,307.841349
1995-07-31,317.213466
1995-08-31,312.921224
1995-09-29,326.331646
1995-10-31,329.282349
1995-11-30,339.850566
1995-12-29,353.166508
1996-01-31,360.611633
1996-02-29,362.559708
1996-03-29,363.920708
1996-04-30,367.977386
1996-05-31,373.763229
1996-06-28,376.744446
1996-07-31,368.914302
1996-08-30,376.004659
1996-09-30,390.136474
1996-10-31,407.374564
1996-11-29,432.885512
1996-12-31,436.671958
1997-01-31,447.364154
1997-02-28,455.771098
1997-03-31,449.67717
1997-04-30,458.225194
1997-05-30,483.264837
1997-06-30,502.746361
1997-07-31,531.990714
1997-08-29,505.15042
1997-09-30,542.754025
1997-10-31,520.657159
1997-11-28,533.447567
1997-12-31,548.569427
1998-01-30,552.309356
1998-02-27,591.146208
1998-03-31,628.619766
1998-04-30,629.326589
1998-05-29,625.912858
1998-06-30,629.14377
1998-07-31,625.019222
1998-08-31,552.706487
1998-09-30,566.450266
1998-10-30,603.468053
1998-11-30,630.394321
1998-12-31,647.183456
1999-01-29,647.294853
1999-02-26,636.255282
1999-03-31,648.193817
1999-04-30,693.927955
1999-05-31,667.809651
1999-06-30,681.428209
1999-07-30,678.149339
1999-08-31,667.530214
1999-09-30,649.873797
1999-10-29,674.932952
1999-11-30,678.51738
1999-12-31,698.096488
2000-01-31,646.407199
2000-02-29,621.797056
2000-03-31,672.547188
2000-04-28,654.538166
2000-05-31,659.390205
2000-06-30,648.860261
2000-07-31,645.097161
2000-08-31,656.603029
2000-09-29,657.770195
2000-10-31,673.686725
2000-11-30,660.467194
2000-12-29,702.782046
2001-01-01,702.782046
2001-01-02,702.450813
2001-01-03,701.854435
2001-01-04,704.379078
2001-01-05,702.057379
2001-01-08,702.22294
2001-01-09,697.236643
2001-01-10,695.968
2001-01-11,699.734624
2001-01-12,697.965854
2001-01-15,697.211195
2001-01-16,694.966408
2001-01-17,695.381822
2001-01-18,697.414008
2001-01-19,689.954063
2001-01-22,693.91568
2001-01-23,697.905525
2001-01-24,693.943505
2001-01-25,696.701354
2001-01-26,696.471029
2001-01-29,696.668561
2001-01-30,702.960348
2001-01-31,706.497832
2001-02-01,710.142158
2001-02-02,704.812333
2001-02-05,711.165581
2001-02-06,709.040654
2001-02-07,706.129418
2001-02-08,701.266812
2001-02-09,700.170551
2001-02-12,706.014732
2001-02-13,702.744099
2001-02-14,697.082088
2001-02-15,692.826186
2001-02-16,692.87458
2001-02-19,695.17445
2001-02-20,686.807407
2001-02-21,680.806076
2001-02-22,679.235884
2001-02-23,674.675099
2001-02-26,679.580427
2001-02-27,684.325714
2001-02-28,681.614941
2001-03-01,681.444669
2001-03-02,685.774188
2001-03-05,687.369386
2001-03-06,689.66457
2001-03-07,691.752229
2001-03-08,697.003407
2001-03-09,691.485464
2001-03-12,676.050087
2001-03-13,669.109662
2001-03-14,652.486309
2001-03-15,658.17753
2001-03-16,643.313045
2001-03-19,644.838242
2001-03-20,644.728006
2001-03-21,632.019151
2001-03-22,608.890675
2001-03-23,619.78877
2001-03-26,635.048058
2001-03-27,650.906275
2001-03-28,641.251546
2001-03-29,642.443354
2001-03-30,649.967103
2001-04-02,646.13809
2001-04-03,633.812825
2001-04-04,640.804028
2001-04-05,650.593808
2001-04-06,647.654145
2001-04-09,656.332296
2001-04-10,662.837074
2001-04-11,657.151591
2001-04-12,661.799696
2001-04-13,661.643933
2001-04-16,661.290588
2001-04-17,661.945033
2001-04-18,668.804234
2001-04-19,672.926992
2001-04-20,672.538053
2001-04-23,670.091168
2001-04-24,669.765181
2001-04-25,674.29186
2001-04-26,679.613957
2001-04-27,684.794376
2001-04-30,681.722452
2001-05-01,686.139897
2001-05-02,682.435354
2001-05-03,675.168487
2001-05-04,681.620829
2001-05-07,682.602494
2001-05-08,678.554011
2001-05-09,677.434684
2001-05-10,684.153757
2001-05-11,677.981341
2001-05-14,673.972862
2001-05-15,680.629688
2001-05-16,690.650911
2001-05-17,690.301681
2001-05-18,691.962083
2001-05-21,692.778956
2001-05-22,689.777858
2001-05-23,684.424337
2001-05-24,684.629744
2001-05-25,680.741346
2001-05-28,682.015697
2001-05-29,681.354843
2001-05-30,678.947794
2001-05-31,679.060258
2001-06-01,678.053353
2001-06-04,682.210092
2001-06-05,686.433097
2001-06-06,680.027241
2001-06-07,679.012012
2001-06-08,676.432361
2001-06-11,671.808704
2001-06-12,670.637807
2001-06-13,673.1141
2001-06-14,669.257047
2001-06-15,666.256722
2001-06-18,662.065414
2001-06-19,662.712846
2001-06-20,660.940047
2001-06-21,663.855283
2001-06-22,664.493934
2001-06-25,665.542144
2001-06-26,660.373452
2001-06-27,658.44161
2001-06-28,658.558853
2001-06-29,662.061531
2001-07-02,669.126707
2001-07-03,665.592596
2001-07-04,664.210863
2001-07-05,658.968981
2001-07-06,650.464961
2001-07-09,652.485813
2001-07-10,651.448628
2001-07-11,649.423767
2001-07-12,651.671838
2001-07-13,654.130933
2001-07-16,653.6787
2001-07-17,653.21578
2001-07-18,655.493578
2001-07-19,659.431171
2001-07-20,657.338803
2001-07-23,653.439331
2001-07-24,646.463643
2001-07-25,649.364408
2001-07-26,652.763524
2001-07-27,656.643093
2001-07-30,660.912038
2001-07-31,666.391636
2001-08-01,669.100004
2001-08-02,669.60364
2001-08-03,666.305294
2001-08-06,663.223192
2001-08-07,665.168056
2001-08-08,658.520021
2001-08-09,657.557991
2001-08-10,660.366934
2001-08-13,662.811026
2001-08-14,667.022636
2001-08-15,670.124482
2001-08-16,669.618954
2001-08-17,662.602523
2001-08-20,664.042943
2001-08-21,665.417743
2001-08-22,670.031203
2001-08-23,668.217503
2001-08-24,675.490721
2001-08-27,672.788029
2001-08-28,666.230303
2001-08-29,664.229502
2001-08-30,655.675694
2001-08-31,655.719074
2001-09-03,651.41062
2001-09-04,653.86324
2001-09-05,649.656964
2001-09-06,639.670587
2001-09-07,630.893158
2001-09-10,628.053432
2001-09-11,611.861389
2001-09-12,611.16736
2001-09-13,616.171534
2001-09-14,604.015068
2001-09-17,603.196216
2001-09-18,600.467178
2001-09-19,590.856857
2001-09-20,570.121536
2001-09-21,550.753922
2001-09-24,572.556901
2001-09-25,581.733875
2001-09-26,584.625725
2001-09-27,593.731188
2001-09-28,605.407053
2001-10-01,599.928983
2001-10-02,606.534542
2001-10-03,609.667082
2001-10-04,616.859563
2001-10-05,616.19649
2001-10-08,612.337169
2001-10-09,611.435852
2001-10-10,621.6339
2001-10-11,622.308718
2001-10-12,619.188621
2001-10-15,610.986925
2001-10-16,615.303484
2001-10-17,619.044571
2001-10-18,608.920811
2001-10-19,601.228465
2001-10-22,605.879693
2001-10-23,610.672844
2001-10-24,611.978168
2001-10-25,609.892045
2001-10-26,618.16024
2001-10-29,611.471482
2001-10-30,601.147451
2001-10-31,602.237038
2001-11-01,611.176313
2001-11-02,610.787209
2001-11-05,617.518895
2001-11-06,618.912575
2001-11-07,621.714915
2001-11-08,625.49098
2001-11-09,624.285354
2001-11-12,616.240915
2001-11-13,624.358186
2001-11-14,622.296003
2001-11-15,620.639273
2001-11-16,624.813722
2001-11-19,628.743556
2001-11-20,627.236106
2001-11-21,623.126028
2001-11-22,625.792572
2001-11-23,626.508422
2001-11-26,624.98373
2001-11-27,620.278697
2001-11-28,614.734404
2001-11-29,618.057666
2001-11-30,621.316045
2001-12-03,617.657535
2001-12-04,622.952198
2001-12-05,634.123674
2001-12-06,635.045008
2001-12-07,630.337016
2001-12-10,623.533808
2001-12-11,621.37499
2001-12-12,621.710934
2001-12-13,616.266068
2001-12-14,615.28073
2001-12-17,625.71886
2001-12-18,626.413446
2001-12-19,626.13725
2001-12-20,622.961985
2001-12-21,623.759699
2001-12-24,622.613011
2001-12-25,622.669175
2001-12-26,624.896962
2001-12-27,633.878988
2001-12-28,634.938156
2001-12-31,634.862657
2002-01-01,634.862657
2002-01-02,636.264096
2002-01-03,641.876181
2002-01-04,642.435594
2002-01-07,637.893673
2002-01-08,634.448027
2002-01-09,632.015073
2002-01-10,630.81561
2002-01-11,628.209835
2002-01-14,622.663357
2002-01-15,626.831056
2002-01-16,617.677298
2002-01-17,621.060808
2002-01-18,619.233754
2002-01-21,618.947306
2002-01-22,618.719665
2002-01-23,624.249734
2002-01-24,625.436022
2002-01-25,621.512169
2002-01-28,623.985061
2002-01-29,612.909784
2002-01-30,611.266653
2002-01-31,619.293602
2002-02-01,618.786063
2002-02-04,613.125267
2002-02-05,606.392122
2002-02-06,602.262598
2002-02-07,604.753464
2002-02-08,608.491604
2002-02-11,615.743984
2002-02-12,615.791828
2002-02-13,619.444519
2002-02-14,623.295455
2002-02-15,621.690203
2002-02-18,619.34934
2002-02-19,611.618752
2002-02-20,612.025538
2002-02-21,612.530778
2002-02-22,615.810224
2002-02-25,622.835759
2002-02-26,624.422197
2002-02-27,627.237901
2002-02-28,626.842178
2002-03-01,636.229152
2002-03-04,648.79322
2002-03-05,645.190214
2002-03-06,651.984413
2002-03-07,655.291179
2002-03-08,654.640862
2002-03-11,655.895457
2002-03-12,654.156698
2002-03-13,653.377918
2002-03-14,655.698068
2002-03-15,662.903638
2002-03-18,662.440418
2002-03-19,666.698845
2002-03-20,661.019999
2002-03-21,658.447584
2002-03-22,657.737728
2002-03-25,651.745193
2002-03-26,654.603229
2002-03-27,655.050501
2002-03-28,658.981594
2002-03-29,658.776597
2002-04-01,660.589301
2002-04-02,660.180474
2002-04-03,657.887491
2002-04-04,653.614459
2002-04-05,653.144987
2002-04-08,648.638271
2002-04-09,648.091726
2002-04-10,656.766126
2002-04-11,648.769815
2002-04-12,649.257938
2002-04-15,650.038541
2002-04-16,660.709099
2002-04-17,663.063841
2002-04-18,663.232627
2002-04-19,664.641929
2002-04-22,659.806039
2002-04-23,658.323776
2002-04-24,657.818391
2002-04-25,655.342443
2002-04-26,651.804506
2002-04-29,649.228231
2002-04-30,655.098181
2002-05-01,658.771231
2002-05-02,661.14489
2002-05-03,663.664606
2002-05-06,658.682702
2002-05-07,653.110762
2002-05-08,662.81636
2002-05-09,659.044453
2002-05-10,655.286334
2002-05-13,663.095144
2002-05-14,666.772718
2002-05-15,668.140349
2002-05-16,670.160998
2002-05-17,672.509013
2002-05-20,667.885005
2002-05-21,666.431893
2002-05-22,668.077507
2002-05-23,670.649745
2002-05-24,667.861259
2002-05-27,667.597936
2002-05-28,665.59537
2002-05-29,665.14637
2002-05-30,661.39572
2002-05-31,664.198057
2002-06-03,655.969755
2002-06-04,652.400573
2002-06-05,649.392635
2002-06-06,644.439455
