Date,FAR EAST HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,979.3192180376734
1999-01-05,977.916539061492
1999-01-06,996.8391693588151
1999-01-07,1027.9934379421857
1999-01-08,1027.1133572338622
1999-01-11,1034.5590839146905
1999-01-12,1028.1880983892095
1999-01-13,997.557646651346
1999-01-14,992.5948464432634
1999-01-15,995.1640334226563
1999-01-18,1003.3494799543682
1999-01-19,998.4415409895684
1999-01-20,1002.1832660725595
1999-01-21,987.7158897476876
1999-01-22,960.648840496731
1999-01-25,944.8003492371442
1999-01-26,955.4971548001538
1999-01-27,964.4317090607428
1999-01-28,945.4340691947109
1999-01-29,954.3913504571021
1999-02-01,957.0031273849498
1999-02-02,961.0780446463666
1999-02-03,945.775363761013
1999-02-04,947.9171788429543
1999-02-05,928.7730760914837
1999-02-08,925.2706444085261
1999-02-09,916.6773401746045
1999-02-10,904.4099873330664
1999-02-11,915.8775981172112
1999-02-12,927.3591818069121
1999-02-15,921.2594671846985
1999-02-16,915.3261246603765
1999-02-17,911.0709603624757
1999-02-18,907.0875847260347
1999-02-19,893.1092220180551
1999-02-22,900.9322271876672
1999-02-23,903.4606905367126
1999-02-24,909.6077942760525
1999-02-25,918.5266559257461
1999-02-26,929.6585227142069
1999-03-01,932.4188887290444
1999-03-02,920.5775565883783
1999-03-03,926.2773005828208
1999-03-04,922.5454756465269
1999-03-05,954.6103538460651
1999-03-08,961.3888613229466
1999-03-09,973.2373743395685
1999-03-10,991.4131090585714
1999-03-11,985.4440922927432
1999-03-12,998.615307073056
1999-03-15,1015.8496387312346
1999-03-16,1029.9963890297804
1999-03-17,1033.3261320285876
1999-03-18,1006.9410792321711
1999-03-19,1038.4260413302886
1999-03-22,1040.0011627194926
1999-03-23,1037.0777037247817
1999-03-24,1018.2283593023797
1999-03-25,1028.8647588386946
1999-03-26,1020.3607697390775
1999-03-29,1022.6991433571869
1999-03-30,1035.412828006647
1999-03-31,1047.9840541637543
1999-04-01,1061.9171809424106
1999-04-02,1050.8124590163961
1999-04-05,1045.4405945863818
1999-04-06,1061.0317094926982
1999-04-07,1075.980302344123
1999-04-08,1090.7257891038307
1999-04-09,1095.2200440108093
1999-04-12,1088.3504998614344
1999-04-13,1103.533524538654
1999-04-14,1121.7923972924832
1999-04-15,1128.2737462164546
1999-04-16,1172.757456433909
1999-04-19,1195.17730067405
1999-04-20,1167.9521786876821
1999-04-21,1163.4989616704609
1999-04-22,1177.2008019454365
1999-04-23,1186.101833892924
1999-04-26,1198.2764247098366
1999-04-27,1206.8716830957096
1999-04-28,1187.8409661576868
1999-04-29,1186.2158326750605
1999-04-30,1193.3545124492498
1999-05-03,1189.9648740048112
1999-05-04,1197.2195535390188
1999-05-05,1205.9777731571025
1999-05-06,1223.5081573581358
1999-05-07,1191.8751720818716
1999-05-10,1201.348429947694
1999-05-11,1181.3930131476131
1999-05-12,1190.0347595643368
1999-05-13,1187.1014952136786
1999-05-14,1171.724480383609
1999-05-17,1153.093654558998
1999-05-18,1162.686983608799
1999-05-19,1140.0886697791154
1999-05-20,1144.0902531404672
1999-05-21,1141.2895666546992
1999-05-24,1149.2667390079123
1999-05-25,1145.3932410103066
1999-05-26,1151.8884013647787
1999-05-27,1146.8514283529607
1999-05-28,1132.4487241799413
1999-05-31,1130.9108672279442
1999-06-01,1147.7212009769676
1999-06-02,1151.156087040815
1999-06-03,1146.3484074799555
1999-06-04,1137.4211708148862
1999-06-07,1154.5036411361264
1999-06-08,1175.0309453815228
1999-06-09,1182.4820883405985
1999-06-10,1186.1268586229914
1999-06-11,1195.252813305216
1999-06-14,1176.538528490089
1999-06-15,1177.3101542185855
1999-06-16,1197.856595807878
1999-06-17,1211.4313713684573
1999-06-18,1198.8225272509633
1999-06-21,1213.7052063173003
1999-06-22,1217.162423767077
1999-06-23,1208.1254399966667
1999-06-24,1201.4699545989713
1999-06-25,1207.5920597061968
1999-06-28,1207.6154371702894
1999-06-29,1210.7665421109734
1999-06-30,1192.3567403263494
1999-07-01,1201.339905016677
1999-07-02,1217.1064024572424
1999-07-05,1223.089379708155
1999-07-06,1217.835652770286
1999-07-07,1209.3192905489086
1999-07-08,1207.941431423293
1999-07-09,1211.8691539538302
1999-07-12,1207.2832936095167
1999-07-13,1205.8323784310523
1999-07-14,1197.3317118503119
1999-07-15,1201.8008063470577
1999-07-16,1187.0238046538445
1999-07-19,1201.9852258344142
1999-07-20,1206.2834678111394
1999-07-21,1206.9164520203005
1999-07-22,1196.1129499735605
1999-07-23,1180.5657999692614
1999-07-26,1167.43709672117
1999-07-27,1178.1184246020366
1999-07-28,1186.4160726470425
1999-07-29,1195.5402845343203
1999-07-30,1211.0648110528932
1999-08-02,1216.0400535381093
1999-08-03,1216.2626028763843
1999-08-04,1218.3998967609434
