Date,NORTH AMERICA HIGH DIVIDEND YIELD
1994-06-30,355.0707485
1994-07-29,365.2955368
1994-08-31,378.64142762
1994-09-30,373.30296363
1994-10-31,378.79522743
1994-11-30,369.3967612
1994-12-30,370.24508327
1995-01-31,386.26196926
1995-02-28,398.99496618
1995-03-31,406.38529758
1995-04-28,418.04725648
1995-05-31,439.82061693
1995-06-30,442.83225924
1995-07-31,451.80715463
1995-08-31,458.1581971
1995-09-29,484.17779619
1995-10-31,488.70443735
1995-11-30,509.53554735
1995-12-29,530.76543896
1996-01-31,542.93864911
1996-02-29,544.53255234
1996-03-29,551.94895121
1996-04-30,556.03183564
1996-05-31,564.82365311
1996-06-28,568.4603645
1996-07-31,552.92285311
1996-08-30,559.36494219
1996-09-30,582.76873847
1996-10-31,613.48946946
1996-11-29,654.09366328
1996-12-31,649.22041291
1997-01-01,649.22041291
1997-01-02,649.1846435
1997-01-03,655.03960051
1997-01-06,654.71244435
1997-01-07,657.15663446
1997-01-08,655.43978666
1997-01-09,661.51556409
1997-01-10,665.08609378
1997-01-13,665.52848854
1997-01-14,674.64378221
1997-01-15,677.48942975
1997-01-16,676.97692529
1997-01-17,680.98263531
1997-01-20,680.71928167
1997-01-21,684.30901597
1997-01-22,687.66262775
1997-01-23,679.92426592
1997-01-24,674.30770101
1997-01-27,672.82913801
1997-01-28,670.17450082
1997-01-29,678.23298171
1997-01-30,685.45542553
1997-01-31,685.73066549
1997-02-03,687.78736558
1997-02-04,692.25865528
1997-02-05,685.15438115
1997-02-06,685.80924341
1997-02-07,691.25418612
1997-02-10,689.25511162
1997-02-11,695.38210267
1997-02-12,703.87457463
1997-02-13,712.23343278
1997-02-14,711.09243481
1997-02-17,710.99480713
1997-02-18,718.5160721
1997-02-19,714.30730144
1997-02-20,707.69801564
1997-02-21,707.83528989
1997-02-24,715.33964862
1997-02-25,718.57518535
1997-02-26,712.52702409
1997-02-27,705.43996026
1997-02-28,702.00414159
1997-03-03,705.23615202
1997-03-04,700.83990579
1997-03-05,707.95383994
1997-03-06,707.588063
1997-03-07,714.92072277
1997-03-10,722.34421825
1997-03-11,719.17091907
1997-03-12,711.16371948
1997-03-13,694.15592411
1997-03-14,698.99742945
1997-03-17,700.85689376
1997-03-18,694.15964472
1997-03-19,691.40404521
1997-03-20,684.79262895
1997-03-21,689.29669457
1997-03-24,699.80009492
1997-03-25,699.51199269
1997-03-26,696.06601843
1997-03-27,679.92290414
1997-03-28,679.79438068
1997-03-31,667.27944892
1997-04-01,670.18162809
1997-04-02,661.56501331
1997-04-03,658.15477689
1997-04-04,659.99933595
1997-04-07,665.20472592
1997-04-08,668.00094499
1997-04-09,661.87290533
1997-04-10,661.58366011
1997-04-11,644.47680077
1997-04-14,646.40106513
1997-04-15,656.43406237
1997-04-16,665.99535051
1997-04-17,663.79665389
1997-04-18,668.27472754
1997-04-21,663.29586765
1997-04-22,673.88804077
1997-04-23,669.18118191
1997-04-24,665.38801952
1997-04-25,662.62140699
1997-04-28,670.72913707
1997-04-29,686.97842315
1997-04-30,691.93583269
1997-05-01,689.48467194
1997-05-02,702.05568862
1997-05-05,713.03959524
1997-05-06,715.71151525
1997-05-07,704.48054589
1997-05-08,707.757121
1997-05-09,711.58291091
1997-05-12,721.3278898
1997-05-13,717.8706375
1997-05-14,722.37245161
1997-05-15,722.80399976
1997-05-16,717.21048904
1997-05-19,720.54257319
1997-05-20,724.46583683
1997-05-21,723.45961812
1997-05-22,722.65307662
1997-05-23,731.89542399
1997-05-26,732.43814527
1997-05-27,730.40441597
1997-05-28,728.25778355
1997-05-29,725.90567901
1997-05-30,733.62957236
1997-06-02,731.14421433
1997-06-03,735.81687396
1997-06-04,732.27535867
1997-06-05,735.2626712
1997-06-06,745.25447237
1997-06-09,744.33227475
1997-06-10,747.33375692
1997-06-11,751.51952866
1997-06-12,764.95347622
1997-06-13,774.48382721
1997-06-16,775.75392331
1997-06-17,775.37047172
1997-06-18,771.20675568
1997-06-19,776.51502138
1997-06-20,775.41546941
1997-06-23,758.34884884
1997-06-24,774.26288727
1997-06-25,765.90876742
1997-06-26,763.21483391
1997-06-27,763.05014704
1997-06-30,763.49475407
1997-07-01,769.78306942
1997-07-02,780.45102766
1997-07-03,790.69489812
1997-07-04,790.79360748
1997-07-07,784.80825634
1997-07-08,788.51824769
1997-07-09,776.00665673
1997-07-10,782.3176995
1997-07-11,783.030035
1997-07-14,780.16274346
1997-07-15,783.71424897
1997-07-16,791.68997855
1997-07-17,785.90964988
1997-07-18,773.88643101
1997-07-21,773.47820413
1997-07-22,792.04946848
1997-07-23,791.8080168
1997-07-24,794.98796636
1997-07-25,795.00464116
1997-07-28,797.16050024
1997-07-29,803.89227666
1997-07-30,812.90566889
1997-07-31,814.02765078
1997-08-01,807.34326907
1997-08-04,810.36371695
1997-08-05,810.69973876
1997-08-06,818.84662938
1997-08-07,811.81875939
1997-08-08,797.02695442
1997-08-11,806.9321814
1997-08-12,799.5916202
1997-08-13,791.78633141
1997-08-14,795.07732872
1997-08-15,778.71644368
1997-08-18,787.32642916
1997-08-19,794.78012689
1997-08-20,804.22319071
1997-08-21,793.81986878
1997-08-22,793.38586213
1997-08-25,792.76197189
1997-08-26,788.47980508
1997-08-27,791.05665989
1997-08-28,783.7470889
1997-08-29,778.83211593
1997-09-01,778.86688679
1997-09-02,800.40001624
1997-09-03,800.1975501
1997-09-04,802.6334672
1997-09-05,799.95748185
1997-09-08,804.33031154
1997-09-09,811.18064897
1997-09-10,802.32742413
1997-09-11,796.61225235
1997-09-12,807.01999823
1997-09-15,804.24353184
1997-09-16,824.51548626
1997-09-17,820.55206193
1997-09-18,826.20984545
1997-09-19,827.43972689
1997-09-22,829.29285453
1997-09-23,826.23178301
1997-09-24,823.23431784
1997-09-25,815.32622485
1997-09-26,822.29864386
1997-09-29,827.54469945
1997-09-30,823.54370815
1997-10-01,831.62841127
1997-10-02,833.81154783
1997-10-03,839.33027112
1997-10-06,849.49315851
1997-10-07,856.14553243
1997-10-08,847.33438739
1997-10-09,842.18399869
1997-10-10,837.76399911
1997-10-13,839.06927244
1997-10-14,839.40343316
1997-10-15,836.99793687
1997-10-16,831.73767487
1997-10-17,827.30725461
1997-10-20,836.20938579
1997-10-21,849.17912193
1997-10-22,849.31623002
1997-10-23,836.96168152
1997-10-24,833.0091811
1997-10-27,783.08088815
1997-10-28,812.91667436
1997-10-29,815.76916569
1997-10-30,804.58908643
1997-10-31,813.49016935
1997-11-03,832.90436347
1997-11-04,831.96607018
1997-11-05,832.17381821
1997-11-06,829.28794365
1997-11-07,821.94717435
1997-11-10,819.96965534
1997-11-11,823.27346155
1997-11-12,810.52458734
1997-11-13,817.18473777
1997-11-14,823.14233507
1997-11-17,836.49393419
1997-11-18,838.60746963
1997-11-19,842.84809331
1997-11-20,854.16778498
1997-11-21,859.12150434
1997-11-24,847.68241166
1997-11-25,849.60552817
1997-11-26,848.37485163
1997-11-27,847.86186571
1997-11-28,851.51077009
1997-12-01,865.05231032
1997-12-02,864.16678205
1997-12-03,871.79245491
1997-12-04,867.68357852
1997-12-05,876.04613831
1997-12-08,876.25777079
1997-12-09,875.03445404
1997-12-10,873.67416216
1997-12-11,862.8966057
1997-12-12,864.75187996
1997-12-15,872.78544616
1997-12-16,873.43391143
1997-12-17,871.01994471
1997-12-18,865.803974
1997-12-19,857.15851133
1997-12-22,863.61422825
1997-12-23,854.26643318
1997-12-24,851.03252727
1997-12-25,851.03252727
1997-12-26,852.18474338
1997-12-29,864.66496598
1997-12-30,875.99511893
1997-12-31,874.50169462
1998-01-01,874.50169462
1998-01-02,875.52578223
1998-01-05,873.130229
1998-01-06,862.53213174
1998-01-07,863.65332029
1998-01-08,855.45192057
