Date,WORLD ex EMU HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,999.3290441446356
1999-01-05,1007.1766440456535
1999-01-06,1035.8123726766223
1999-01-07,1035.4207396935924
1999-01-08,1040.718833317884
1999-01-11,1031.9466875189382
1999-01-12,1019.1374410588109
1999-01-13,1004.6177228528767
1999-01-14,989.9378324651152
1999-01-15,1003.425382700252
1999-01-18,1012.4151064497145
1999-01-19,1006.9495010152109
1999-01-20,1007.1033220151161
1999-01-21,998.0426343296473
1999-01-22,984.8613873578155
1999-01-25,986.3145548424785
1999-01-26,989.4194048085991
1999-01-27,977.5676881613966
1999-01-28,983.3235056934368
1999-01-29,988.9036345307503
1999-02-01,991.6339373394657
1999-02-02,992.6443752266505
1999-02-03,991.135243635343
1999-02-04,986.5229115842781
1999-02-05,986.0179922190847
1999-02-08,984.4363215775298
1999-02-09,973.8406446651335
1999-02-10,969.092456123387
1999-02-11,978.9943860891415
1999-02-12,980.231131036829
1999-02-15,983.1752312627187
1999-02-16,988.2291174467917
1999-02-17,986.1351019934084
1999-02-18,990.2098163637979
1999-02-19,984.7983958308398
1999-02-22,993.8164050588765
1999-02-23,992.1220786777866
1999-02-24,991.0623370123197
1999-02-25,986.0741008271643
1999-02-26,983.2000010644969
1999-03-01,978.50950097279
1999-03-02,978.8719704930514
1999-03-03,982.3372698356366
1999-03-04,991.0416699836584
1999-03-05,1011.4216826180507
1999-03-08,1011.5318791330917
1999-03-09,1014.8414609992889
1999-03-10,1029.2914857522856
1999-03-11,1040.682222716059
1999-03-12,1041.4211565315343
1999-03-15,1036.428523026572
1999-03-16,1033.574027849178
1999-03-17,1033.1714529216238
1999-03-18,1038.372997229472
1999-03-19,1035.0288253277267
1999-03-22,1036.3763962220733
1999-03-23,1020.8394045268254
1999-03-24,1018.8553646149287
1999-03-25,1026.7962697388768
1999-03-26,1021.5668618603089
1999-03-29,1035.297949590825
1999-03-30,1025.9252490998833
1999-03-31,1022.9219501335982
1999-04-01,1020.6010616116461
1999-04-02,1019.8015204711089
1999-04-05,1027.8133523566828
1999-04-06,1028.689889183314
1999-04-07,1041.789806880556
1999-04-08,1055.888519924223
1999-04-09,1060.214189208314
1999-04-12,1067.6410890361788
1999-04-13,1072.786837965208
1999-04-14,1074.2497237890443
1999-04-15,1086.5222262142106
1999-04-16,1096.6937894749121
1999-04-19,1111.8165459436993
1999-04-20,1096.4648445982295
1999-04-21,1090.606199156818
1999-04-22,1101.3742727348586
1999-04-23,1103.4013881279645
1999-04-26,1100.994544956027
1999-04-27,1118.9351313228653
1999-04-28,1125.8671303356873
1999-04-29,1128.1393126100606
1999-04-30,1126.7684098913571
1999-05-03,1143.4953987303275
1999-05-04,1139.3069455698505
1999-05-05,1132.5507254977717
1999-05-06,1127.814191008679
1999-05-07,1123.6231241781074
1999-05-10,1120.2064863005444
1999-05-11,1119.6589409325932
1999-05-12,1112.9230218904415
1999-05-13,1124.9588009458218
1999-05-14,1105.1515186327722
1999-05-17,1093.8692692931586
1999-05-18,1093.5977890152253
1999-05-19,1101.1283800457854
1999-05-20,1102.0328983710601
1999-05-21,1101.4339516566913
1999-05-24,1092.8081336942125
1999-05-25,1079.9065743125593
1999-05-26,1086.5993842030784
1999-05-27,1067.1928785104117
1999-05-28,1072.2511251661708
1999-05-31,1073.1789599512717
1999-06-01,1078.3105355008709
1999-06-02,1083.3229516759197
1999-06-03,1087.1664536509818
1999-06-04,1094.924262494135
1999-06-07,1103.0984275975586
1999-06-08,1101.1260623867615
1999-06-09,1100.8305274795568
1999-06-10,1097.05450197165
1999-06-11,1100.8890804481882
1999-06-14,1102.798547528718
1999-06-15,1103.3778748022112
1999-06-16,1109.728531124027
1999-06-17,1114.0322795989318
1999-06-18,1117.0501965814253
1999-06-21,1116.288222752408
1999-06-22,1109.0080330598814
1999-06-23,1101.4478561229391
1999-06-24,1088.306855684667
1999-06-25,1093.5011235848838
1999-06-28,1091.7040238167956
1999-06-29,1092.003693382097
1999-06-30,1095.5757065093421
1999-07-01,1110.0714334378167
1999-07-02,1117.356610625651
1999-07-05,1124.3231341271594
1999-07-06,1124.0476171875978
1999-07-07,1118.371496720013
1999-07-08,1112.1326966305746
1999-07-09,1113.2057203581885
1999-07-12,1111.1503150479693
1999-07-13,1100.4809878672418
1999-07-14,1106.0206201695073
1999-07-15,1119.3481423269127
1999-07-16,1117.9403934775967
1999-07-19,1108.7583992440914
1999-07-20,1102.6208304470117
1999-07-21,1096.761869618796
1999-07-22,1094.966984801664
1999-07-23,1084.7446936412973
1999-07-26,1084.354339884033
1999-07-27,1093.1056803004087
1999-07-28,1095.3660898891062
1999-07-29,1082.8093164110724
1999-07-30,1089.0170253631877
1999-08-02,1092.8304725188332
1999-08-03,1090.9312850081044
1999-08-04,1090.5129664826245
