Date,KOKUSAI HIGH DIVIDEND YIELD
1995-06-30,296.145767
1995-07-31,306.401188
1995-08-31,302.582097
1995-09-29,315.221959
1995-10-31,319.817936
1995-11-30,328.864397
1995-12-29,342.096776
1996-01-31,349.223596
1996-02-29,349.938084
1996-03-29,348.177453
1996-04-30,352.797063
1996-05-31,359.080984
1996-06-28,362.302819
1996-07-31,355.176627
1996-08-30,361.015307
1996-09-30,373.288752
1996-10-31,389.380031
1996-11-29,412.824194
1996-12-31,418.846428
1997-01-31,426.808518
1997-02-28,434.608788
1997-03-31,430.206432
1997-04-30,437.184187
1997-05-30,462.833445
1997-06-30,478.130451
1997-07-31,505.403014
1997-08-29,484.06839
1997-09-30,522.846472
1997-10-31,501.056798
1997-11-28,512.089899
1997-12-31,528.768676
1998-01-30,530.561976
1998-02-27,565.300297
1998-03-31,600.327564
1998-04-30,600.271649
1998-05-29,593.226941
1998-06-30,595.215053
1998-07-31,592.172753
1998-08-31,525.010472
1998-09-30,539.247311
1998-10-30,574.967546
1998-11-30,601.50778
1998-12-31,616.359521
1999-01-29,610.827657
1999-02-26,602.261257
1999-03-31,615.402793
1999-04-30,662.844274
1999-05-31,635.894216
1999-06-30,649.603988
1999-07-30,646.186942
1999-08-31,640.029425
1999-09-30,624.299749
1999-10-29,644.623529
1999-11-30,646.375113
1999-12-31,669.185679
2000-01-31,610.967667
2000-02-29,587.591556
2000-03-31,631.593897
2000-04-28,616.263075
2000-05-31,624.58333
2000-06-30,615.295698
2000-07-31,617.688555
2000-08-31,630.357172
2000-09-29,629.681628
2000-10-31,640.425705
2000-11-30,629.507266
2000-12-29,670.073801
2001-01-01,670.073801
2001-01-02,671.253419
2001-01-03,671.048786
2001-01-04,673.34621
2001-01-05,670.859882
2001-01-08,671.551462
2001-01-09,666.299731
2001-01-10,664.496384
2001-01-11,668.709349
2001-01-12,665.928444
2001-01-15,665.665525
2001-01-16,663.301071
2001-01-17,663.123856
2001-01-18,665.169033
2001-01-19,658.210088
2001-01-22,662.969874
2001-01-23,667.091391
2001-01-24,663.268361
2001-01-25,665.720545
2001-01-26,665.295737
2001-01-29,666.559598
2001-01-30,673.093417
2001-01-31,675.660993
2001-02-01,678.894567
2001-02-02,674.007706
2001-02-05,680.879174
2001-02-06,679.18118
2001-02-07,675.824894
2001-02-08,670.897286
2001-02-09,670.425114
2001-02-12,676.342369
2001-02-13,673.967431
2001-02-14,669.298927
2001-02-15,664.226121
2001-02-16,664.982623
2001-02-19,667.098334
2001-02-20,658.477687
2001-02-21,653.110445
2001-02-22,651.882272
2001-02-23,647.492735
2001-02-26,651.563193
