Date,EAFE ex UK HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0010868532634
1999-01-04,1043.166342576265
1999-01-05,1052.8983369064333
1999-01-06,1070.7939343165501
1999-01-07,1058.052008293738
1999-01-08,1052.0172651220741
1999-01-11,1037.2458197691758
1999-01-12,1028.560581867882
1999-01-13,995.8739883934177
1999-01-14,994.5616417212339
1999-01-15,993.6213079929975
1999-01-18,1014.9050194040512
1999-01-19,1018.2697725675371
1999-01-20,1027.3139713590197
1999-01-21,1020.131311040849
1999-01-22,990.5309822450307
1999-01-25,985.3957136098918
1999-01-26,985.4118114327968
1999-01-27,987.6018702036324
1999-01-28,995.371213474303
1999-01-29,1000.6991375345913
1999-02-01,1010.5996517198488
1999-02-02,1005.9469590793549
1999-02-03,995.768173119875
1999-02-04,996.7622481620936
1999-02-05,1003.6321679954304
1999-02-08,1000.6119219887636
1999-02-09,982.4981613416511
1999-02-10,972.7399317430853
1999-02-11,982.8209719375071
1999-02-12,990.0918617957666
1999-02-15,987.7499194356245
1999-02-16,981.6726737113698
1999-02-17,974.2960382265474
1999-02-18,974.7351967673891
1999-02-19,971.9279072181569
1999-02-22,977.2505520952469
1999-02-23,986.5952109778731
1999-02-24,985.1605407636105
1999-02-25,983.7802882188709
1999-02-26,979.3559045593136
1999-03-01,966.740102421749
1999-03-02,969.6363563009195
1999-03-03,960.1461528863404
1999-03-04,965.2855910892359
1999-03-05,988.4583513490851
1999-03-08,987.5796716922905
1999-03-09,991.3061074510874
1999-03-10,998.6147370582516
1999-03-11,1003.0414277968353
1999-03-12,1019.0354190377557
1999-03-15,1022.2432483555245
1999-03-16,1025.6770100579351
1999-03-17,1031.3031552467125
1999-03-18,1025.9057064326316
1999-03-19,1039.235845555972
1999-03-22,1034.4282886977917
1999-03-23,1017.0177444458446
1999-03-24,1006.4914127974905
1999-03-25,1018.7138202776694
1999-03-26,1001.1738172328946
1999-03-29,1010.5497760682061
1999-03-30,1012.0686303794876
1999-03-31,1021.9073154870363
1999-04-01,1027.3421057090316
1999-04-02,1024.677610253434
1999-04-05,1019.247656914522
1999-04-06,1036.871523854892
1999-04-07,1045.8090931607262
1999-04-08,1049.586948869578
1999-04-09,1053.4044195844563
1999-04-12,1056.9191706779527
1999-04-13,1059.741388072189
1999-04-14,1062.5937182792554
1999-04-15,1056.8044940478605
1999-04-16,1070.336713441119
1999-04-19,1077.638097143136
1999-04-20,1059.0197830982943
1999-04-21,1060.9730578976862
1999-04-22,1068.1220589168943
1999-04-23,1073.7187763951397
1999-04-26,1076.767986859651
1999-04-27,1101.4005816504948
1999-04-28,1094.764315762601
1999-04-29,1096.0250578042837
1999-04-30,1101.1949324121329
1999-05-03,1106.1804635406138
1999-05-04,1114.2286702989213
1999-05-05,1102.4118587646828
1999-05-06,1112.8167929527185
1999-05-07,1104.6373971088333
1999-05-10,1109.8717109250797
1999-05-11,1100.304882406067
1999-05-12,1091.3303545119315
1999-05-13,1090.5601927680023
1999-05-14,1084.5959327494843
1999-05-17,1063.9273184621607
1999-05-18,1068.826253078295
1999-05-19,1075.3707986795846
1999-05-20,1079.569303720272
1999-05-21,1072.3131575644973
1999-05-24,1074.8006604827349
1999-05-25,1066.432162270467
1999-05-26,1055.8310244515849
