Date,EM LATIN AMERICA IMI MOMENTUM
1998-12-31,1000.0000000000001
1999-01-01,1000.2764762052602
1999-01-04,999.2643497096409
1999-01-05,1001.3674407878084
1999-01-06,1008.9539497395821
1999-01-07,997.4250274002735
1999-01-08,993.9445265224332
1999-01-11,967.2539256102731
1999-01-12,935.0062733671172
1999-01-13,853.4193675926165
1999-01-14,819.1884828334446
1999-01-15,877.0985622929079
1999-01-18,861.2174774364694
1999-01-19,860.1152646159263
1999-01-20,872.7500835710011
1999-01-21,832.9154658904142
1999-01-22,829.3789676200049
1999-01-25,825.8515035576783
1999-01-26,830.9539002987835
1999-01-27,828.4634799083128
1999-01-28,828.3667163566582
1999-01-29,826.8666117714392
1999-02-01,878.6214639473556
1999-02-02,904.296732608482
1999-02-03,899.857865607002
1999-02-04,903.5439001284238
1999-02-05,900.131097819617
1999-02-08,898.0483852550855
1999-02-09,890.0191586002468
1999-02-10,896.5371982574437
1999-02-11,911.9500260569539
1999-02-12,909.500885787305
1999-02-15,910.8552170955063
1999-02-16,917.0605141872705
1999-02-17,905.555124423621
1999-02-18,913.4455004071939
1999-02-19,935.1312098051774
1999-02-22,934.7821375465006
1999-02-23,923.4356870435478
1999-02-24,926.3516271866499
1999-02-25,908.334510174911
1999-02-26,917.1713317759845
1999-03-01,914.4197177178256
1999-03-02,906.4394754027405
1999-03-03,909.0641255218518
1999-03-04,940.4830019603962
1999-03-05,957.969818357038
1999-03-08,971.765172131864
1999-03-09,983.7583452410851
1999-03-10,995.8442534117747
1999-03-11,1007.6402016590971
1999-03-12,990.952539297193
1999-03-15,1015.0492881390966
1999-03-16,1028.62633484459
1999-03-17,1009.9773540474661
1999-03-18,1017.5132679371336
1999-03-19,1019.9951128600226
1999-03-22,1016.0393662025648
1999-03-23,1006.347920617107
1999-03-24,1001.6725799319075
1999-03-25,1029.9793114397642
1999-03-26,1039.943197953932
1999-03-29,1044.9924130631628
1999-03-30,1048.4529490816667
1999-03-31,1049.7416697764534
1999-04-01,1047.7467844029002
1999-04-02,1050.5840156771144
1999-04-05,1074.883926942338
1999-04-06,1082.5147764548199
1999-04-07,1097.4318242005347
1999-04-08,1102.316569763544
1999-04-09,1100.1076968217496
1999-04-12,1091.9085786604712
1999-04-13,1097.307994567175
1999-04-14,1101.0383190471082
1999-04-15,1118.1214730674405
1999-04-16,1139.479913170031
1999-04-19,1160.2307106721103
1999-04-20,1136.7350432333442
1999-04-21,1145.1023049611397
1999-04-22,1147.4680053149857
1999-04-23,1141.6617663387813
1999-04-26,1139.2690465177695
1999-04-27,1128.575651137007
1999-04-28,1143.0666536671272
1999-04-29,1154.1406508944203
1999-04-30,1189.1726633415653
1999-05-03,1199.4833208171342
1999-05-04,1180.0567954800667
1999-05-05,1184.5503701864036
1999-05-06,1191.2544827857578
1999-05-07,1199.9256651706833
1999-05-10,1207.994244699838
1999-05-11,1209.7618119903818
1999-05-12,1203.5280513431956
1999-05-13,1233.5356812506243
1999-05-14,1218.9599956176285
1999-05-17,1198.4629733988575
1999-05-18,1205.7540974312512
1999-05-19,1179.8864202612442
1999-05-20,1174.3600188740097
1999-05-21,1153.4307749005188
1999-05-24,1127.4469955708157
1999-05-25,1110.116192549375
1999-05-26,1153.887119458414
1999-05-27,1134.8772225439425
1999-05-28,1148.7408949061237
1999-05-31,1154.4695814261602
1999-06-01,1142.180002962856
1999-06-02,1154.5775208231016
1999-06-03,1149.5926131499882
1999-06-04,1165.6064916074745
1999-06-07,1169.3598007820015
1999-06-08,1149.070644425477
1999-06-09,1147.3838419660153
1999-06-10,1135.2992092338227
1999-06-11,1135.602678790618
1999-06-14,1136.191961898868
1999-06-15,1146.5725725609007
1999-06-16,1183.513237428819
1999-06-17,1191.6880773000798
1999-06-18,1185.0778361838418
1999-06-21,1198.1466472643233
1999-06-22,1205.0378922536172
1999-06-23,1194.6845747592024
1999-06-24,1170.8898832680682
1999-06-25,1146.837956072739
1999-06-28,1166.4539049389332
1999-06-29,1175.3855547242176
1999-06-30,1205.0367966969684
1999-07-01,1225.8092287918923
1999-07-02,1264.4574439799296
1999-07-05,1267.8579252065967
1999-07-06,1259.7332593709175
1999-07-07,1265.2272735068539
1999-07-08,1250.6454118771162
1999-07-09,1249.8459742443847
1999-07-12,1218.3456723393215
1999-07-13,1215.565754976416
1999-07-14,1220.9317663676513
1999-07-15,1227.8916773904125
1999-07-16,1235.7356634728148
1999-07-19,1252.1992183763423
