Date,ACWI IMI HIGH DIVIDEND YIELD
2010-05-26,1000.0
2010-05-27,1020.3145982732308
2010-05-28,1015.1621381518961
2010-05-31,1020.8348778560053
2010-06-01,1012.9371725889152
2010-06-02,1025.5357001844468
2010-06-03,1035.6241176878066
2010-06-04,1025.7094336146477
2010-06-07,1022.4228649757799
2010-06-08,1022.3046443695775
2010-06-09,1021.3415524375657
2010-06-10,1034.685681070199
2010-06-11,1040.5850116407312
2010-06-14,1036.8738395998441
2010-06-15,1045.028676929152
2010-06-16,1046.8836439505906
2010-06-17,1047.031687562541
2010-06-18,1045.654176183901
2010-06-21,1051.3545187719976
2010-06-22,1048.1987562035706
2010-06-23,1043.705928290113
2010-06-24,1029.4458097411753
2010-06-25,1024.8459451139088
2010-06-28,1029.2262817129822
2010-06-29,1016.9293078289539
2010-06-30,1008.7250510154873
2010-07-01,988.019328149116
2010-07-02,980.9972972690538
2010-07-05,983.9725802406939
2010-07-06,992.8554954223521
2010-07-07,1006.0535910182425
2010-07-08,1014.9808308650905
2010-07-09,1022.8628954685843
2010-07-12,1027.9526483199647
2010-07-13,1035.2851801969612
2010-07-14,1033.3264336711786
2010-07-15,1022.1497427335812
2010-07-16,1004.2835867512963
2010-07-19,1000.4087040871098
2010-07-20,1007.4033156187722
2010-07-21,1011.9449350678262
2010-07-22,1020.8651759772224
2010-07-23,1030.8329935954603
2010-07-26,1032.2643629630654
2010-07-27,1032.5119321870961
2010-07-28,1028.1201136728528
2010-07-29,1024.3313386709451
2010-07-30,1024.8706508487842
2010-08-02,1037.0580260957938
2010-08-03,1036.4612422699627
2010-08-04,1043.4256567186462
2010-08-05,1041.5273723518374
2010-08-06,1032.37435713504
2010-08-09,1044.4130547302955
2010-08-10,1047.4555611229393
2010-08-11,1038.467192446327
2010-08-12,1040.252211558891
2010-08-13,1046.0276489736254
2010-08-16,1041.6031019278826
2010-08-17,1048.9991652493507
2010-08-18,1048.7733945304522
2010-08-19,1037.0204456776132
2010-08-20,1041.1441975328967
2010-08-23,1047.3408733077367
2010-08-24,1034.2757719673466
2010-08-25,1034.2850270825038
2010-08-26,1029.97638684277
2010-08-27,1041.5486100593025
2010-08-30,1041.1405284017915
2010-08-31,1038.4986733672915
2010-09-01,1054.5973954080841
2010-09-02,1056.732720426225
2010-09-03,1062.8819958706742
2010-09-06,1065.5657516899141
2010-09-07,1069.353145091735
2010-09-08,1074.0967772365595
2010-09-09,1081.192958795693
2010-09-10,1084.3938044515266
2010-09-13,1083.939394925868
2010-09-14,1078.8644562315556
2010-09-15,1077.1465267167239
2010-09-16,1069.8104304003305
2010-09-17,1072.1870397818157
2010-09-20,1082.083065429798
2010-09-21,1076.9297560799314
2010-09-22,1057.5374303062185
2010-09-23,1058.4825950905554
2010-09-24,1061.9251096786816
2010-09-27,1061.5610063918784
2010-09-28,1058.5989415061783
2010-09-29,1054.6204824785825
2010-09-30,1048.0033351890245
2010-10-01,1046.1940409948459
2010-10-04,1046.3123597288914
2010-10-05,1051.5006866258404
2010-10-06,1053.7445529963352
2010-10-07,1051.374866556872
2010-10-08,1052.6296143613386
2010-10-11,1057.6586759885233
2010-10-12,1057.5274808097813
2010-10-13,1061.559472882714
2010-10-14,1058.3418821025375
2010-10-15,1061.6081084825528
2010-10-18,1066.603328251603
2010-10-19,1066.4091414870586
2010-10-20,1062.9275847779147
2010-10-21,1062.564652022088
2010-10-22,1063.6674965096481
2010-10-25,1065.1785142482827
2010-10-26,1069.3887909642192
2010-10-27,1064.5633032398862
2010-10-28,1064.1814224429465
2010-10-29,1066.0088142668164
2010-11-01,1068.9325732791542
2010-11-02,1067.487479765614
2010-11-03,1068.5302993817504
2010-11-04,1071.5148251507112
2010-11-05,1083.6609668889635
2010-11-08,1088.1092884604755
2010-11-09,1086.1165452698433
2010-11-10,1092.4944120878945
2010-11-11,1092.7583679180757
2010-11-12,1083.8568124168505
2010-11-15,1092.0039478644298
2010-11-16,1076.608598985286
2010-11-17,1078.170010693078
2010-11-18,1089.2278701557418
2010-11-19,1084.768683398884
2010-11-22,1084.3630493005203
2010-11-23,1078.1231534147025
2010-11-24,1087.3636962039848
2010-11-25,1090.5557954534036
2010-11-26,1092.4529556634063
2010-11-29,1089.5601503726596
2010-11-30,1089.5215070566594
2010-12-01,1103.9728262392935
2010-12-02,1108.683545181377
2010-12-03,1096.9965126721718
2010-12-06,1101.840354453929
2010-12-07,1105.0235115644
2010-12-08,1112.1464282622735
2010-12-09,1117.3553166795793
2010-12-10,1117.2873822856168
2010-12-13,1112.4828777109844
2010-12-14,1117.537480107639
2010-12-15,1117.5782951144022
2010-12-16,1128.2959424901999
2010-12-17,1128.8785358923003
2010-12-20,1133.2412718830185
2010-12-21,1137.716387531251
2010-12-22,1142.4237087293218
2010-12-23,1146.2611482282975
2010-12-24,1143.3431469065797
2010-12-27,1137.380886687902
2010-12-28,1140.6881068212997
2010-12-29,1143.7211977114075
2010-12-30,1130.3023366229838
2010-12-31,1123.0800066005652
2011-01-03,1131.6900412507487
2011-01-04,1137.7332118537934
2011-01-05,1146.5374427604772
2011-01-06,1153.0647741353089
2011-01-07,1154.4416785706828
2011-01-10,1151.5403961606805
2011-01-11,1155.5835705610873
2011-01-12,1157.032793313315
2011-01-13,1139.6348819785392
2011-01-14,1138.9354939200846
2011-01-17,1144.3493516845374
2011-01-18,1142.6527164121012
2011-01-19,1133.0991604002238
2011-01-20,1129.5490537363921
2011-01-21,1123.7913671960991
2011-01-24,1123.9993693461106
2011-01-25,1120.2254412344398
2011-01-26,1122.9910170428034
2011-01-27,1119.551763087335
2011-01-28,1113.865987808475
2011-01-31,1109.8452342082974
2011-02-01,1120.01978394382
2011-02-02,1120.6187976029275
2011-02-03,1131.8589410180577
2011-02-04,1138.4547804327992
2011-02-07,1143.2169629717475
2011-02-08,1136.250961881964
2011-02-09,1129.9631500711848
2011-02-10,1132.1517177686653
2011-02-11,1134.5193158974603
2011-02-14,1142.4944240756392
2011-02-15,1139.8118889446964
2011-02-16,1143.9011417086817
2011-02-17,1146.0783789353156
2011-02-18,1148.1439918799792
2011-02-21,1141.957258973468
2011-02-22,1130.6168783894695
2011-02-23,1121.2269265965133
2011-02-24,1115.4701949899973
2011-02-25,1126.2817542198004
2011-02-28,1132.3165435720596
