Date,EM LATIN AMERICA HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,991.4929466679487
1999-01-05,992.4360180495992
1999-01-06,1009.1565519285474
1999-01-07,970.460588189462
1999-01-08,964.7581055955915
1999-01-11,926.7028976656791
1999-01-12,881.5207182245967
1999-01-13,793.8852695626939
1999-01-14,758.892422833487
1999-01-15,862.8211154650496
1999-01-18,814.6836232950126
1999-01-19,852.2308093872815
1999-01-20,880.2518588198739
1999-01-21,812.7513429658103
1999-01-22,796.9461835646148
1999-01-25,771.8180546753927
1999-01-26,788.2521551028424
1999-01-27,773.3474133689646
1999-01-28,781.4639024591339
1999-01-29,766.4256682182128
1999-02-01,855.288652250497
1999-02-02,902.9858984981622
1999-02-03,882.2250728268082
1999-02-04,879.8557504375486
1999-02-05,852.972510520407
1999-02-08,848.9492972526425
1999-02-09,852.3024177761815
1999-02-10,874.8478042059006
1999-02-11,879.8741555068333
1999-02-12,875.6104133458007
1999-02-15,876.5606105131368
1999-02-16,876.3276572745062
1999-02-17,858.5310942646612
1999-02-18,847.070257162169
1999-02-19,848.7269786087305
1999-02-22,826.2158440294495
1999-02-23,810.0409248550355
1999-02-24,798.1479778369705
1999-02-25,782.5364155733664
1999-02-26,791.3532348183757
1999-03-01,774.5265284634929
1999-03-02,770.3852335331947
1999-03-03,780.644413729974
1999-03-04,817.2931627989507
1999-03-05,850.280104431328
1999-03-08,851.4946522147361
1999-03-09,866.7663617470138
1999-03-10,884.1227058371271
1999-03-11,855.5063200738018
1999-03-12,851.7029813178906
1999-03-15,896.2023280632238
1999-03-16,912.2695475070217
1999-03-17,914.519738184226
1999-03-18,950.5548472230226
1999-03-19,941.7601071771837
1999-03-22,920.8545303477545
1999-03-23,903.1425001548658
1999-03-24,907.6115523684933
1999-03-25,952.3086262200369
1999-03-26,954.4357040087589
1999-03-29,965.4681965456299
1999-03-30,1004.3574979687955
1999-03-31,1023.6212496689435
1999-04-01,1024.521783569137
1999-04-02,1024.522035871939
1999-04-05,1052.2334148076532
1999-04-06,1076.9619850925694
1999-04-07,1093.0964525738914
1999-04-08,1083.4320709619594
1999-04-09,1078.5908549664703
1999-04-12,1086.395279813834
1999-04-13,1085.8487838727144
1999-04-14,1093.2995637004385
1999-04-15,1121.872767817463
1999-04-16,1156.3153480571416
1999-04-19,1129.2994082276168
1999-04-20,1094.8187222793345
1999-04-21,1097.2494407794607
1999-04-22,1118.4806627624853
1999-04-23,1136.7903967801626
1999-04-26,1107.394750777031
1999-04-27,1092.084839556147
1999-04-28,1133.358997338445
1999-04-29,1149.282527759746
1999-04-30,1181.14343746973
1999-05-03,1181.584172502596
1999-05-04,1186.4220313907974
1999-05-05,1233.264293155967
1999-05-06,1267.3286757962385
1999-05-07,1306.664297353721
1999-05-10,1331.134184521709
1999-05-11,1310.6478300990095
1999-05-12,1290.2010084470537
1999-05-13,1320.8576073224356
1999-05-14,1308.32724233979
1999-05-17,1278.4861450105552
1999-05-18,1283.688311887324
1999-05-19,1269.3384343388564
1999-05-20,1253.3917501655687
1999-05-21,1204.159006108912
1999-05-24,1150.2288162582925
1999-05-25,1094.716801073035
1999-05-26,1156.1291963298656
1999-05-27,1126.891485732232
1999-05-28,1115.2948505034342
1999-05-31,1137.4049210220355
1999-06-01,1126.3589982100882
1999-06-02,1126.2223200691626
1999-06-03,1137.0238063240597
1999-06-04,1147.987140493278
1999-06-07,1144.8573919894145
1999-06-08,1149.4886867833463
1999-06-09,1144.338621938339
1999-06-10,1147.6687163705033
1999-06-11,1149.5886660740189
1999-06-14,1145.9683874896944
1999-06-15,1153.0859141977685
1999-06-16,1179.0517207335795
1999-06-17,1189.737841872981
1999-06-18,1193.610579786965
1999-06-21,1191.2684532143505
1999-06-22,1192.0808540727935
1999-06-23,1178.0204111096527
1999-06-24,1159.3439035135343
1999-06-25,1143.7266441931145
1999-06-28,1153.6194614709373
1999-06-29,1153.715193003227
1999-06-30,1164.5308370360735
1999-07-01,1171.6810682227513
1999-07-02,1179.8388446339102
1999-07-05,1178.9051420799788
1999-07-06,1169.5205794294332
1999-07-07,1175.7203148186331
1999-07-08,1148.6031137428333
1999-07-09,1149.4106048936887
1999-07-12,1110.8988931150866
1999-07-13,1121.5921131951004
1999-07-14,1135.8794552293577
1999-07-15,1151.1035398367683
1999-07-16,1165.264462858569
1999-07-19,1173.4036723385927
1999-07-20,1144.3082800600132
1999-07-21,1154.0500065717317
1999-07-22,1144.7737855216346
1999-07-23,1127.6243635497083
1999-07-26,1099.1940400151818
1999-07-27,1095.6758591748933
1999-07-28,1107.0507994206544
1999-07-29,1101.0742255838145
1999-07-30,1093.3666848812475
1999-08-02,1069.740204392916
1999-08-03,1056.6889109173912
1999-08-04,1052.6454850483644
1999-08-05,1042.1073566983878
1999-08-06,1047.2710054253978
