Date,BRIC HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,990.722166260434
1999-01-05,993.5189504063188
1999-01-06,1011.1149425334225
1999-01-07,969.3883413618709
1999-01-08,965.1485220307081
1999-01-11,923.7100888439434
1999-01-12,878.996387354975
1999-01-13,777.3337469036409
1999-01-14,736.1806244980282
1999-01-15,851.1668412775392
1999-01-18,794.7045239409208
1999-01-19,837.9895846083267
1999-01-20,872.0523873217552
1999-01-21,794.5505447491813
1999-01-22,773.3000445635937
1999-01-25,740.9104956035334
1999-01-26,762.3332276733895
1999-01-27,744.4601491026867
1999-01-28,752.6835825613476
1999-01-29,733.8821663973614
1999-02-01,833.262995531839
1999-02-02,889.6769513656861
1999-02-03,867.0787063798423
1999-02-04,864.1377434783789
1999-02-05,831.1982363166819
1999-02-08,824.4992311238635
1999-02-09,827.9953661967007
1999-02-10,853.4696225248458
1999-02-11,858.9131788921928
1999-02-12,854.0008662432973
1999-02-15,853.999312772995
1999-02-16,853.5539195263677
1999-02-17,836.6111196690507
1999-02-18,822.1665782505022
1999-02-19,821.0366512801455
1999-02-22,793.502882946995
1999-02-23,774.1549732475162
1999-02-24,760.253428957574
1999-02-25,744.714971530689
1999-02-26,755.2992558387099
1999-03-01,736.8985576631874
1999-03-02,732.8190235905781
1999-03-03,749.784162892138
1999-03-04,792.236552704744
1999-03-05,831.4058405746495
1999-03-08,831.5223207545423
1999-03-09,844.1137973061423
1999-03-10,860.8957460276786
1999-03-11,822.0251532144647
1999-03-12,817.1487511625742
1999-03-15,872.5693638537507
1999-03-16,890.5815529173723
1999-03-17,895.2526654050021
1999-03-18,938.5787969803806
1999-03-19,929.1762967501807
1999-03-22,911.1083812536162
1999-03-23,894.873313830523
1999-03-24,896.0441757141435
1999-03-25,948.3419955415045
1999-03-26,948.9118669116989
1999-03-29,960.7750454771825
1999-03-30,1005.5502287554012
1999-03-31,1026.7898906097446
1999-04-01,1026.7820334710923
1999-04-02,1026.8290705636996
1999-04-05,1053.331811119686
1999-04-06,1083.585597307122
1999-04-07,1105.6420725595872
1999-04-08,1094.7431592643502
1999-04-09,1086.9322999214555
1999-04-12,1094.3813069941789
1999-04-13,1094.0459946845667
1999-04-14,1101.0819208857079
1999-04-15,1124.664492755145
1999-04-16,1152.1173212092267
1999-04-19,1112.9226304637825
1999-04-20,1072.9160232460542
1999-04-21,1072.5174762817726
1999-04-22,1092.958234341909
1999-04-23,1105.5793185679647
1999-04-26,1067.5449011026137
1999-04-27,1049.9657299706812
1999-04-28,1100.2064144206636
1999-04-29,1117.9147967272736
1999-04-30,1151.9560693327207
1999-05-03,1150.3316831999593
1999-05-04,1152.9876219629575
1999-05-05,1208.8948772710187
1999-05-06,1252.8563493947668
1999-05-07,1298.1753878148104
1999-05-10,1319.8783848393828
1999-05-11,1300.294629676459
1999-05-12,1273.7934917533762
1999-05-13,1308.136139984981
1999-05-14,1301.5594875336228
1999-05-17,1268.8544721470992
1999-05-18,1282.2285536106244
1999-05-19,1278.1469770463852
1999-05-20,1262.8061556898313
1999-05-21,1206.583433624253
1999-05-24,1145.186918607886
1999-05-25,1088.8504013720367
1999-05-26,1157.9631970429293
1999-05-27,1118.5626140750103
1999-05-28,1108.7043104609602
1999-05-31,1139.7665611797258
1999-06-01,1130.9904981642262
1999-06-02,1131.7499203470143
1999-06-03,1138.2357326709548
1999-06-04,1165.2072485596516
1999-06-07,1157.6616296692475
1999-06-08,1151.089163561652
1999-06-09,1147.7260520078933
1999-06-10,1164.4438024986691
1999-06-11,1180.0924785297698
1999-06-14,1172.2184196666176
1999-06-15,1179.0965933783937
1999-06-16,1222.6037107153013
1999-06-17,1240.0086129551964
1999-06-18,1239.6979873416558
1999-06-21,1248.2746036939561
1999-06-22,1241.655036320595
1999-06-23,1220.2299974164248
1999-06-24,1190.5068279143684
1999-06-25,1175.0657658100072
1999-06-28,1192.1863978903075
1999-06-29,1207.1017622050028
1999-06-30,1237.514848294936
1999-07-01,1230.6217538710462
1999-07-02,1249.0155233125543
1999-07-05,1255.9579130371508
1999-07-06,1248.057475764104
1999-07-07,1257.7504649715868
1999-07-08,1229.4048787930708
1999-07-09,1236.8745054707847
1999-07-12,1214.8687851022198
1999-07-13,1223.4335706755414
1999-07-14,1238.4134683277205
1999-07-15,1240.9075861308932
1999-07-16,1246.9602849125858
1999-07-19,1257.600698057395
1999-07-20,1224.7746073502085
1999-07-21,1240.249118888565
1999-07-22,1233.8006483911108
1999-07-23,1207.652445930821
1999-07-26,1165.0191228789872
1999-07-27,1162.2002588090581
1999-07-28,1169.4083177575492
1999-07-29,1155.4009319182744
1999-07-30,1142.117747209955
1999-08-02,1116.572193466177
1999-08-03,1110.3934000110903
1999-08-04,1107.3013647334851
1999-08-05,1091.6838204746414
1999-08-06,1092.2775298261479
