Date,EM LATAM ex BR HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1003.0156807170927
1999-01-05,997.7097747173698
1999-01-06,1001.9868185094938
1999-01-07,994.4784343599281
1999-01-08,987.1060317758938
1999-01-11,970.0343877037993
1999-01-12,931.9852160593196
1999-01-13,875.5340599163509
1999-01-14,863.9970839648515
1999-01-15,924.7960442205147
1999-01-18,920.872323849987
1999-01-19,914.9650360582665
1999-01-20,929.8732665800509
1999-01-21,907.4863992264718
1999-01-22,900.0535563247674
1999-01-25,904.3139950354613
1999-01-26,905.7571911091336
1999-01-27,915.0139830018935
1999-01-28,915.839885236858
1999-01-29,928.7939667396121
1999-02-01,957.9188503367265
1999-02-02,951.0596395563878
1999-02-03,947.6179823167045
1999-02-04,950.4793630354068
1999-02-05,949.5131283816199
1999-02-08,950.649999569566
1999-02-09,950.0434633082989
1999-02-10,960.0490870590286
1999-02-11,979.9031407099677
1999-02-12,973.9501440482325
1999-02-15,975.0631524353608
1999-02-16,978.6270201011491
1999-02-17,959.8905255409311
1999-02-18,962.1388652102709
1999-02-19,973.2971684386564
1999-02-22,979.134320308076
1999-02-23,973.9555853118853
1999-02-24,973.8927676059749
1999-02-25,961.6374647200711
1999-02-26,967.3118371947245
1999-03-01,962.4792030772596
1999-03-02,955.2431250215723
1999-03-03,949.2269292761379
1999-03-04,965.383021628345
1999-03-05,979.249543044472
1999-03-08,991.3897316592174
1999-03-09,1005.0508331122116
1999-03-10,1025.816166022519
1999-03-11,1039.8130015753509
1999-03-12,1035.564010506746
1999-03-15,1048.4429654945147
1999-03-16,1048.7884696827507
1999-03-17,1046.0319830814155
1999-03-18,1052.0930786124015
1999-03-19,1044.8107209128398
1999-03-22,1032.0751985921381
1999-03-23,1017.7556843297499
1999-03-24,1023.5839692946209
1999-03-25,1036.9824676924868
1999-03-26,1035.336682166681
1999-03-29,1052.3532424613475
1999-03-30,1072.6741573409104
1999-03-31,1082.9217187078684
1999-04-01,1082.9652078307088
1999-04-02,1083.5649093157328
1999-04-05,1115.16804875933
1999-04-06,1124.04223795781
1999-04-07,1119.4702676566035
1999-04-08,1120.568982514957
1999-04-09,1120.2847297982196
1999-04-12,1131.023252478002
1999-04-13,1127.0751420263787
1999-04-14,1138.7979828338662
1999-04-15,1186.2885367676786
1999-04-16,1257.5742814558457
1999-04-19,1283.919556084395
1999-04-20,1275.9151531332775
1999-04-21,1278.8539135655735
1999-04-22,1296.9153719042024
1999-04-23,1308.4097487839585
1999-04-26,1296.7034926177153
1999-04-27,1288.0858198267529
1999-04-28,1299.2921264321349
1999-04-29,1307.0727852113778
1999-04-30,1335.335459255433
1999-05-03,1348.245536221988
1999-05-04,1350.557253277476
1999-05-05,1360.9730358929316
1999-05-06,1387.587736171507
1999-05-07,1396.885170788182
1999-05-10,1416.5073769019275
1999-05-11,1400.5320593616077
1999-05-12,1376.6746824804102
1999-05-13,1401.4512873250856
1999-05-14,1389.38622119866
1999-05-17,1380.3639029308247
1999-05-18,1382.0351498920845
1999-05-19,1342.8337247193006
1999-05-20,1342.8156225176585
1999-05-21,1308.2271430370276
1999-05-24,1284.4012434760164
1999-05-25,1254.3859924410042
1999-05-26,1272.6899971044727
1999-05-27,1249.253861832665
1999-05-28,1248.0780921131825
1999-05-31,1248.3422876069324
1999-06-01,1248.117067029855
1999-06-02,1249.4568157163822
1999-06-03,1265.5626184289933
1999-06-04,1274.556886854181
1999-06-07,1278.7253987602815
1999-06-08,1283.23561142147
1999-06-09,1273.8088799722286
1999-06-10,1268.2995798328725
1999-06-11,1247.3738397745306
1999-06-14,1240.0715722674856
1999-06-15,1246.8298812942685
1999-06-16,1274.6236544785784
1999-06-17,1291.1430499338971
1999-06-18,1290.2171080178493
1999-06-21,1297.2090022339967
1999-06-22,1309.8218877761415
1999-06-23,1301.6606964582102
1999-06-24,1292.040679482011
1999-06-25,1276.4402367666419
1999-06-28,1288.5545378642012
1999-06-29,1286.3653860069096
1999-06-30,1285.3524411941992
1999-07-01,1298.0031425243808
1999-07-02,1303.3467963804808
1999-07-05,1309.7011311828408
1999-07-06,1304.7314619734482
1999-07-07,1298.1468517850394
1999-07-08,1276.9173542211988
1999-07-09,1276.9274222119054
1999-07-12,1234.8765143738276
1999-07-13,1253.148007736214
1999-07-14,1265.103582369542
1999-07-15,1278.1419350462493
1999-07-16,1295.6236952573602
1999-07-19,1299.8702805701353
1999-07-20,1276.4779259484847
1999-07-21,1277.411607998131
1999-07-22,1255.1211036790335
1999-07-23,1230.1884745159034
1999-07-26,1201.3666498004038
1999-07-27,1199.3823479953746
1999-07-28,1215.6176422952299
1999-07-29,1200.2858975520066
1999-07-30,1194.272724486424
1999-08-02,1170.1076713987725
1999-08-03,1160.1213757493408
1999-08-04,1156.0230375818096
