Date,EM ASIA HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1020.0742966080851
1999-01-05,1011.5563199114691
1999-01-06,1026.8707470155714
1999-01-07,1062.0773512399248
1999-01-08,1073.2111732099668
1999-01-11,1081.9391579736728
1999-01-12,1058.768116352254
1999-01-13,1035.2388162961925
1999-01-14,1006.5629319982417
1999-01-15,1017.1673928363704
1999-01-18,1029.8988927482644
1999-01-19,1015.4702836326512
1999-01-20,1012.9654974766373
1999-01-21,1013.2308245227274
1999-01-22,992.7015023162163
1999-01-25,970.3363224139487
1999-01-26,977.1287227472266
1999-01-27,992.1188828515827
1999-01-28,983.2293682041029
1999-01-29,977.6985564156865
1999-02-01,964.7963642339888
1999-02-02,953.8036339605235
1999-02-03,954.5695176203303
1999-02-04,928.5275988446039
1999-02-05,915.6846731426593
1999-02-08,926.0148323923531
1999-02-09,918.7844432592873
1999-02-10,929.2614846877444
1999-02-11,932.0057620321209
1999-02-12,942.9700705855832
1999-02-15,941.5073985798165
1999-02-16,946.743481999755
1999-02-17,947.6890198108769
1999-02-18,950.1499640069711
1999-02-19,945.9078357478551
1999-02-22,958.3838853081137
1999-02-23,972.6487296190631
1999-02-24,976.0382077716639
1999-02-25,976.3624928247157
1999-02-26,986.5423975552752
1999-03-01,996.7141070574834
1999-03-02,1001.0593522034669
1999-03-03,1021.1532528082489
1999-03-04,1016.0035087586508
1999-03-05,1026.5668190064346
1999-03-08,1053.8568532838733
1999-03-09,1067.3547147114211
1999-03-10,1059.515085559188
1999-03-11,1048.7696119724624
1999-03-12,1054.3627007644457
1999-03-15,1065.5713691165922
1999-03-16,1069.2676048513677
1999-03-17,1069.6790645735437
1999-03-18,1062.4658784101011
1999-03-19,1083.071582755217
1999-03-22,1087.8981837617928
1999-03-23,1085.4328634930332
1999-03-24,1072.6961836237904
1999-03-25,1074.595351566462
1999-03-26,1062.6830957788466
1999-03-29,1051.565901024881
1999-03-30,1065.3206423575734
1999-03-31,1078.4552479178715
1999-04-01,1091.4570384228336
1999-04-02,1121.2287918010577
1999-04-05,1093.8594676460216
1999-04-06,1097.7579431908182
1999-04-07,1099.0090653422333
1999-04-08,1099.704762306319
1999-04-09,1087.3051236510146
1999-04-12,1074.7151939393548
1999-04-13,1073.4764596529035
1999-04-14,1075.8709947584277
1999-04-15,1090.9970352730177
1999-04-16,1114.162467555995
1999-04-19,1132.0757443298257
1999-04-20,1144.3593789420427
1999-04-21,1122.6390204784345
1999-04-22,1109.7367006196025
1999-04-23,1121.5298016306656
1999-04-26,1114.0304504592698
1999-04-27,1120.1230031223022
1999-04-28,1130.4346835450801
1999-04-29,1118.167680724568
1999-04-30,1125.7663839309278
1999-05-03,1141.5448576119302
1999-05-04,1183.1902183462075
1999-05-05,1189.5287502353895
1999-05-06,1215.8930799943093
1999-05-07,1221.1549155270925
1999-05-10,1245.4931450572706
1999-05-11,1249.5941373398346
1999-05-12,1224.464026855096
1999-05-13,1237.5043802200637
1999-05-14,1272.4512641912931
1999-05-17,1265.2598744119514
1999-05-18,1290.089516053939
1999-05-19,1312.4219963251783
1999-05-20,1280.1980668034278
1999-05-21,1260.45948621647
1999-05-24,1255.2080156082386
1999-05-25,1252.3568475322031
1999-05-26,1232.073175873804
1999-05-27,1216.8689835735458
1999-05-28,1189.4954156101553
1999-05-31,1213.922239505815
1999-06-01,1216.11788251351
1999-06-02,1231.032888907288
1999-06-03,1251.6132896657348
1999-06-04,1267.100896342104
1999-06-07,1298.744514705355
1999-06-08,1319.4982220312875
1999-06-09,1301.3450326272243
1999-06-10,1336.246859632993
1999-06-11,1337.4648301682694
1999-06-14,1328.833685898555
1999-06-15,1300.1921430858904
1999-06-16,1324.7425217542677
1999-06-17,1357.8838960015403
1999-06-18,1357.8041847639888
1999-06-21,1399.351842066394
1999-06-22,1412.4533389396684
1999-06-23,1395.451913160398
1999-06-24,1394.3530885272069
1999-06-25,1370.6176782639766
1999-06-28,1377.4478533140527
1999-06-29,1387.9960359072438
1999-06-30,1378.3816344044092
1999-07-01,1388.7792628473655
1999-07-02,1409.7681406719882
1999-07-05,1440.809044665637
1999-07-06,1441.706403017946
1999-07-07,1440.511509288211
1999-07-08,1440.410381536113
1999-07-09,1454.9353947788875
1999-07-12,1484.8429676733692
1999-07-13,1467.906521301901
1999-07-14,1451.2026127540187
1999-07-15,1448.419558171683
1999-07-16,1433.681395220383
1999-07-19,1428.2454045991808
1999-07-20,1423.3800851205465
1999-07-21,1403.1211503542183
1999-07-22,1407.2824810675027
1999-07-23,1371.2735639141351
1999-07-26,1329.4211943326557
1999-07-27,1330.6386046309942
1999-07-28,1341.9796624113783
1999-07-29,1356.68047058971
1999-07-30,1346.1137442414636
1999-08-02,1318.0933307202984
1999-08-03,1328.4006453037878
1999-08-04,1341.413177153521
