Date,EM EMEA HIGH DIVIDEND YIELD
1999-08-03,1435.813446024393
1999-08-04,1456.2415699035562
1999-08-05,1458.2230303256097
1999-08-06,1453.9944223795017
1999-08-09,1462.782195849687
1999-08-10,1456.5681871033132
1999-08-11,1468.0503695471596
1999-08-12,1502.7922765996923
1999-08-13,1515.4127279262302
1999-08-16,1511.2521577169175
1999-08-17,1493.9680859371153
1999-08-18,1501.4460840706736
1999-08-19,1490.0741242176537
1999-08-20,1496.1310955242652
1999-08-23,1501.758075012561
1999-08-24,1488.8739503604968
1999-08-25,1485.9679750583894
1999-08-26,1459.26573619515
1999-08-27,1463.1672039125463
1999-08-30,1477.1268827966187
1999-08-31,1465.6936865556327
1999-09-01,1485.3619116390557
1999-09-02,1479.846615745747
1999-09-03,1486.7875344428255
1999-09-06,1504.6711688971288
1999-09-07,1498.4257328125116
1999-09-08,1488.859878136051
1999-09-09,1479.8119188714106
1999-09-10,1476.4891507019393
1999-09-13,1481.5850940065143
1999-09-14,1505.8112706707846
1999-09-15,1513.4697331042796
1999-09-16,1494.4893336817156
1999-09-17,1492.4287770855717
1999-09-20,1488.0375947789241
1999-09-21,1477.7894726252748
1999-09-22,1474.7703153355512
1999-09-23,1464.9112780038652
1999-09-24,1454.6600322512122
1999-09-27,1470.5207400251363
1999-09-28,1523.2605032052447
1999-09-29,1521.704169666898
1999-09-30,1512.7084188374786
1999-10-01,1507.8464112652616
1999-10-04,1536.4847473597545
1999-10-05,1547.7858148547612
1999-10-06,1540.2355448293235
1999-10-07,1569.538785140976
1999-10-08,1574.1230827808606
1999-10-11,1569.8491898365912
1999-10-12,1569.8902003260876
1999-10-13,1541.3520375181006
1999-10-14,1524.4852103531073
1999-10-15,1486.6570189262152
1999-10-18,1473.4908800003368
1999-10-19,1488.569117150817
1999-10-20,1491.641761055418
1999-10-21,1457.5295464312912
1999-10-22,1475.2044380143543
1999-10-25,1475.802973913235
1999-10-26,1477.9957838537357
1999-10-27,1473.283218560176
1999-10-28,1489.5554310282635
1999-10-29,1503.4135812809438
1999-11-01,1509.5442385452582
1999-11-02,1515.1263725463903
1999-11-03,1516.2795458783803
1999-11-04,1543.0920245303323
1999-11-05,1556.640188718928
1999-11-08,1557.756153432409
1999-11-09,1586.2532839026187
1999-11-10,1579.2880156566334
1999-11-11,1579.1542748244242
1999-11-12,1577.6136273884574
1999-11-15,1588.9332423029737
1999-11-16,1592.247757922896
1999-11-17,1597.6571738013677
1999-11-18,1599.1487098936682
1999-11-19,1605.0617541409167
1999-11-22,1606.8819066033575
1999-11-23,1590.2797139872157
1999-11-24,1582.8049905911391
1999-11-25,1580.1379496225707
1999-11-26,1587.2671950532251
1999-11-29,1583.7266740367288
1999-11-30,1585.6006375581908
1999-12-01,1603.1334314243525
1999-12-02,1609.212181688356
1999-12-03,1606.2713234579435
1999-12-06,1621.3692375655407
1999-12-07,1629.4563990081879
1999-12-08,1647.0588284872413
1999-12-09,1678.6939726937674
1999-12-10,1715.3244681698413
