Date,EM FAR EAST HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1017.3955103653877
1999-01-05,1007.9116212489793
1999-01-06,1038.723726230275
1999-01-07,1081.3324363051122
1999-01-08,1065.8064196720743
1999-01-11,1047.8943038321136
1999-01-12,1029.3323199548029
1999-01-13,1003.9623078745062
1999-01-14,976.1415136161355
1999-01-15,1008.9994518303189
1999-01-18,1013.4063466664356
1999-01-19,1013.1735168268248
1999-01-20,1009.4435011379327
1999-01-21,996.1799843646116
1999-01-22,966.2058912905411
1999-01-25,933.2902982777471
1999-01-26,948.3082121704297
1999-01-27,963.1497631564462
1999-01-28,958.7553523982308
1999-01-29,956.4000490113048
1999-02-01,945.8835678446932
1999-02-02,936.3875859701319
1999-02-03,930.5540708768344
1999-02-04,901.1325132332831
1999-02-05,888.5627611041092
1999-02-08,910.5810800006881
1999-02-09,896.6294416753091
1999-02-10,907.5818757239145
1999-02-11,910.5540470227454
1999-02-12,923.4345891523524
1999-02-15,923.4422776455335
1999-02-16,922.8571391860082
1999-02-17,920.8768367968536
1999-02-18,915.8213460096283
1999-02-19,905.7185946380932
1999-02-22,948.7704059057713
1999-02-23,960.778583283393
1999-02-24,965.6751283193597
1999-02-25,962.0623304892778
1999-02-26,975.6584402170414
1999-03-01,969.2694873155364
1999-03-02,970.6211695814669
1999-03-03,992.4144575469359
1999-03-04,983.3659383564644
1999-03-05,982.3611878157938
1999-03-08,999.0043400821086
1999-03-09,1004.0539511813852
1999-03-10,998.5488488928062
1999-03-11,996.3134293980239
1999-03-12,1002.646247606118
1999-03-15,1011.430468167583
1999-03-16,1028.331613444859
1999-03-17,1038.1291458280978
1999-03-18,1031.614551971403
1999-03-19,1057.934763575842
1999-03-22,1060.2569460157706
1999-03-23,1053.6711418027785
1999-03-24,1041.145669368848
1999-03-25,1046.549791437415
1999-03-26,1049.9518415519274
1999-03-29,1035.9914296436134
1999-03-30,1044.5400849730904
1999-03-31,1048.7205955764925
1999-04-01,1070.998640307185
1999-04-02,1114.3051689793722
1999-04-05,1105.3075381456472
1999-04-06,1109.2029407563737
1999-04-07,1113.0324415192267
1999-04-08,1124.404437251776
1999-04-09,1128.8482586573607
1999-04-12,1120.589708103017
1999-04-13,1123.9968713413466
1999-04-14,1130.3727968688895
1999-04-15,1163.5627935834207
1999-04-16,1191.866048487456
1999-04-19,1230.2635556380296
1999-04-20,1241.16019502025
1999-04-21,1212.1986491405733
1999-04-22,1212.1842287902932
1999-04-23,1229.2911992525717
1999-04-26,1237.5918509747416
1999-04-27,1238.5855811472752
1999-04-28,1242.8679699369334
1999-04-29,1217.0658159990946
1999-04-30,1227.2025544987416
1999-05-03,1242.9916515141983
1999-05-04,1278.5442688249404
1999-05-05,1267.6944430864303
1999-05-06,1288.0387873633313
1999-05-07,1284.989254612485
1999-05-10,1306.5018719165519
1999-05-11,1288.8725517686987
1999-05-12,1273.1507281601307
1999-05-13,1256.1533763636662
1999-05-14,1277.715883901462
1999-05-17,1258.8372078624748
1999-05-18,1270.0939840531587
1999-05-19,1278.470982124806
1999-05-20,1245.3215442192413
1999-05-21,1246.2959983307937
1999-05-24,1239.5457183628778
1999-05-25,1230.0960645233179
1999-05-26,1226.6881163698304
1999-05-27,1227.1480917436156
1999-05-28,1207.662849086335
1999-05-31,1200.6552187254
1999-06-01,1225.9839008349306
1999-06-02,1241.3655355053843
1999-06-03,1259.425414948107
1999-06-04,1288.675603228112
1999-06-07,1334.4671172878197
1999-06-08,1353.086658565312
1999-06-09,1316.1239751850005
1999-06-10,1377.0710378374797
1999-06-11,1386.0062747183351
1999-06-14,1368.3553033409319
1999-06-15,1349.4714435493204
1999-06-16,1374.644468147571
1999-06-17,1399.6359351759168
1999-06-18,1415.0595883716956
1999-06-21,1468.1077197141333
1999-06-22,1485.9104378835464
1999-06-23,1490.492076439208
1999-06-24,1474.5263498818333
1999-06-25,1445.7774851700933
1999-06-28,1497.9051274951844
1999-06-29,1502.3076105238013
1999-06-30,1470.003782386223
1999-07-01,1498.8617695531386
1999-07-02,1497.3492347667725
1999-07-05,1515.0464542567208
1999-07-06,1510.0955062693074
1999-07-07,1510.8636410028141
1999-07-08,1495.449551920697
1999-07-09,1522.6296762767481
1999-07-12,1496.514551695113
1999-07-13,1465.2041764591243
1999-07-14,1433.556179677837
1999-07-15,1444.229206109683
1999-07-16,1429.7227185500562
1999-07-19,1413.590838827338
1999-07-20,1409.3996894036777
1999-07-21,1364.9094296835337
1999-07-22,1356.2924421053701
1999-07-23,1306.4198525290028
1999-07-26,1275.0841289592333
1999-07-27,1298.1394233184787
1999-07-28,1314.0836816640488
1999-07-29,1330.6968778208595
1999-07-30,1305.702656830963
1999-08-02,1288.3196798088181
1999-08-03,1309.5553230654943
1999-08-04,1298.000404287426
