Date,EM (EMERGING MARKETS)HIGH DIVIDEND YIELD
1994-06-30,1128.44299383
1994-07-29,1231.03070299
1994-08-31,1443.62994225
1994-09-30,1493.30125643
1994-10-31,1445.89895427
1994-11-30,1378.97983194
1994-12-30,1287.73100904
1995-01-31,1164.63739897
1995-02-28,1142.06473254
1995-03-31,1168.44800529
1995-04-28,1213.32524888
1995-05-31,1316.02755692
1995-06-30,1337.30172246
1995-07-31,1343.49601508
1995-08-31,1309.44490504
1995-09-29,1302.07176374
1995-10-31,1264.13801954
1995-11-30,1233.95009852
1995-12-29,1291.11059608
1996-01-31,1428.99619805
1996-02-29,1385.06449483
1996-03-29,1402.83704818
1996-04-30,1451.13028642
1996-05-31,1437.18881615
1996-06-28,1456.27970464
1996-07-31,1366.50021563
1996-08-30,1399.72737688
1996-09-30,1413.12107336
1996-10-31,1381.71815378
1996-11-29,1391.61660611
1996-12-31,1383.95368173
1997-01-01,1383.95368173
1997-01-02,1384.79661908
1997-01-03,1391.05356617
1997-01-06,1407.09492282
1997-01-07,1430.68330243
1997-01-08,1451.87099716
1997-01-09,1457.42647824
1997-01-10,1456.97930527
1997-01-13,1462.98319883
1997-01-14,1479.80864204
1997-01-15,1499.75334322
1997-01-16,1492.36633797
1997-01-17,1500.05006549
1997-01-20,1502.81917438
1997-01-21,1497.77696807
1997-01-22,1494.50306534
1997-01-23,1500.75136069
1997-01-24,1497.72288411
1997-01-27,1503.56677069
1997-01-28,1504.96556006
1997-01-29,1495.15228989
1997-01-30,1507.00679454
1997-01-31,1507.1933338
1997-02-03,1512.67993303
1997-02-04,1516.58008072
1997-02-05,1523.38966116
1997-02-06,1528.95264236
1997-02-07,1539.8199409
1997-02-10,1547.30730451
1997-02-11,1550.98184019
1997-02-12,1568.88954694
1997-02-13,1564.71039305
1997-02-14,1562.32719279
1997-02-17,1566.79092651
1997-02-18,1565.98271912
1997-02-19,1572.0067352
1997-02-20,1573.13833289
1997-02-21,1575.25042939
1997-02-24,1585.89072273
1997-02-25,1597.21244979
1997-02-26,1589.09183852
1997-02-27,1567.14731927
1997-02-28,1563.45816208
1997-03-03,1557.10472795
1997-03-04,1550.98738556
1997-03-05,1546.97365509
1997-03-06,1555.7183648
1997-03-07,1562.90402998
1997-03-10,1574.50154677
1997-03-11,1579.2030991
1997-03-12,1567.42721432
1997-03-13,1565.91949883
1997-03-14,1556.22307805
1997-03-17,1553.50868982
1997-03-18,1552.23828375
1997-03-19,1549.66458782
1997-03-20,1548.71943943
1997-03-21,1547.90945694
1997-03-24,1552.4670887
1997-03-25,1552.5867081
1997-03-26,1549.75543069
1997-03-27,1554.29724247
1997-03-28,1554.06708318
1997-03-31,1541.72281651
1997-04-01,1534.14535415
1997-04-02,1547.91213249
1997-04-03,1546.82277603
1997-04-04,1555.27176027
1997-04-07,1565.20859645
1997-04-08,1561.81776667
1997-04-09,1567.56309175
1997-04-10,1565.80083917
1997-04-11,1555.87150576
1997-04-14,1550.12171878
1997-04-15,1553.56538377
1997-04-16,1556.64894175
1997-04-17,1550.51094674
1997-04-18,1549.63482321
1997-04-21,1552.60690794
1997-04-22,1562.43696227
1997-04-23,1571.15552604
1997-04-24,1569.28110247
1997-04-25,1565.62592823
1997-04-28,1562.15160443
1997-04-29,1567.24663153
1997-04-30,1574.01139236
1997-05-01,1575.29301567
1997-05-02,1581.45022166
1997-05-05,1585.48108781
1997-05-06,1587.84955112
1997-05-07,1581.20469738
1997-05-08,1583.98747784
1997-05-09,1590.11913394
1997-05-12,1590.02836454
1997-05-13,1593.17838679
1997-05-14,1584.11059985
1997-05-15,1587.55752837
1997-05-16,1587.33477692
1997-05-19,1594.56466573
1997-05-20,1601.87451778
1997-05-21,1613.19785512
1997-05-22,1606.33362736
1997-05-23,1608.21444394
1997-05-26,1605.5355702
1997-05-27,1607.02483873
1997-05-28,1609.17227196
1997-05-29,1612.49584357
1997-05-30,1623.43880662
1997-06-02,1637.55052725
1997-06-03,1642.86331938
1997-06-04,1645.22232475
1997-06-05,1649.24377418
1997-06-06,1649.63296667
1997-06-09,1653.61377345
1997-06-10,1653.37851113
1997-06-11,1667.33775416
1997-06-12,1679.25577454
1997-06-13,1673.34954035
1997-06-16,1676.68939441
1997-06-17,1667.48033311
1997-06-18,1661.27010242
1997-06-19,1665.57907729
1997-06-20,1666.47250537
1997-06-23,1677.25316797
1997-06-24,1678.79408738
1997-06-25,1682.1107477
1997-06-26,1684.03008706
1997-06-27,1679.45112527
1997-06-30,1676.33762983
1997-07-01,1691.5017196
