Date,EM EASTERN EUROPE IMI VALUE
1996-11-29,241.95216116455353
1996-12-31,254.3919421403064
1997-01-01,254.3919421403064
1997-01-02,255.16486072599193
1997-01-03,254.44326067664866
1997-01-06,256.79666036078044
1997-01-07,261.2853243223465
1997-01-08,266.1841652781065
1997-01-09,268.3848472797898
1997-01-10,268.1473831182427
1997-01-13,269.02944655864025
1997-01-14,268.99947315232845
1997-01-15,270.99540315309144
1997-01-16,275.0319743601571
1997-01-17,272.2634518886197
1997-01-20,271.3762066636582
1997-01-21,275.1401654237464
1997-01-22,273.7133716316597
1997-01-23,274.5189192070338
1997-01-24,274.0423781317058
1997-01-27,272.41256077349465
1997-01-28,268.9918575953461
1997-01-29,268.2960715469985
1997-01-30,269.8356343203663
1997-01-31,272.2427000224817
1997-02-03,274.0564326399409
1997-02-04,275.844726913481
1997-02-05,279.53614101552375
1997-02-06,284.5318009853876
1997-02-07,288.4323004290075
1997-02-10,288.37227307384046
1997-02-11,287.5644655327843
1997-02-12,287.2739213362906
1997-02-13,284.09792312313715
1997-02-14,285.8694519746189
1997-02-17,286.44160810548647
1997-02-18,288.2250306756113
1997-02-19,287.0852013784328
1997-02-20,288.4292237846707
1997-02-21,292.84311269053916
1997-02-24,295.8261449863504
1997-02-25,295.49755702317543
1997-02-26,293.30848846562736
1997-02-27,287.2638061118797
1997-02-28,281.3968553390476
1997-03-03,278.3894305488732
1997-03-04,274.0127763716289
1997-03-05,269.6300681617818
1997-03-06,266.90892291468964
1997-03-07,267.96997726644736
1997-03-10,269.3191814875619
1997-03-11,266.886129920883
1997-03-12,267.6662234637486
1997-03-13,264.8197780324008
1997-03-14,257.16337091158874
1997-03-17,258.1239171930103
1997-03-18,258.8754885870705
1997-03-19,257.50126752421784
1997-03-20,254.93478834515872
1997-03-21,255.63878484167955
1997-03-24,254.51572448587387
1997-03-25,254.16667079282237
1997-03-26,256.0314730395122
1997-03-27,261.6982297967856
1997-03-28,261.68204759919485
1997-03-31,262.2910272365198
1997-04-01,259.7229271645541
1997-04-02,258.2041194818068
1997-04-03,256.00894493885676
1997-04-04,254.2255287111712
1997-04-07,250.91668167563574
1997-04-08,251.91878123388187
1997-04-09,253.59538560617392
1997-04-10,253.32603022166083
1997-04-11,252.22880939930687
1997-04-14,247.09832231454445
1997-04-15,245.0900586716884
1997-04-16,249.71634656129234
1997-04-17,251.1207532555824
1997-04-18,250.62847800063489
1997-04-21,251.47964474595102
1997-04-22,248.82030182620394
1997-04-23,250.00182756885098
1997-04-24,248.56114843908185
1997-04-25,246.6825629915005
1997-04-28,244.4098610930421
1997-04-29,244.70168367835475
1997-04-30,244.73494178846656
1997-05-01,245.67957539441522
1997-05-02,244.01857220943515
1997-05-05,242.837169522049
1997-05-06,240.9588226497444
1997-05-07,239.04861118670465
1997-05-08,239.59043552589725
1997-05-09,239.79580225553423
1997-05-12,240.1208570897732
