Date,EM ASIA IMI VALUE
1994-05-31,863.0787417519928
1994-06-30,858.8165156009942
1994-07-29,887.9825092579408
1994-08-31,970.9063572145624
1994-09-30,962.7068466828085
1994-10-31,967.3205220984222
1994-11-30,893.0153136116294
1994-12-30,872.7872662157286
1995-01-31,784.9264987105207
1995-02-28,820.8260441589586
1995-03-31,801.7737343230233
1995-04-28,784.6874511526256
1995-05-31,864.6576001016967
1995-06-30,866.1379849628859
1995-07-31,883.9773469634765
1995-08-31,841.6647291810273
1995-09-29,826.5045916343848
1995-10-31,797.1700254901647
1995-11-30,756.4011282166018
1995-12-29,794.0167733262713
1996-01-31,838.6464567379942
1996-02-29,853.3203553032947
1996-03-29,865.8405457671398
1996-04-30,924.3091406668394
1996-05-31,896.3894647864391
1996-06-28,878.5726017895107
1996-07-31,809.8454430210809
1996-08-30,831.5304060138001
1996-09-30,821.1503339319247
1996-10-31,791.4208870558539
1996-11-29,811.202428522239
1996-12-31,803.9133684296147
1997-01-01,803.8919093797747
1997-01-02,803.4147620663216
1997-01-03,804.6143162413068
1997-01-06,803.999313011657
1997-01-07,808.6924915026261
1997-01-08,818.0159034163419
1997-01-09,824.3816743028202
1997-01-10,827.6848827117759
1997-01-13,829.9509029896492
1997-01-14,828.8390436902542
1997-01-15,841.1388966921068
1997-01-16,840.4492217527275
1997-01-17,840.0050487448183
1997-01-20,845.9984085107101
1997-01-21,841.0160135464753
1997-01-22,845.432947395742
1997-01-23,845.1497010345126
1997-01-24,843.6129511093085
1997-01-27,842.1829493372211
1997-01-28,842.411516706729
1997-01-29,835.7859237231085
1997-01-30,839.274462300236
1997-01-31,836.6135949025237
1997-02-03,834.1465911870458
1997-02-04,836.4707306470509
1997-02-05,835.8579647147474
1997-02-06,837.8672073243063
1997-02-07,837.8206335349538
1997-02-10,839.6243021457659
1997-02-11,841.8039174978688
1997-02-12,845.9891764949703
1997-02-13,850.226593069047
1997-02-14,849.3555121869149
1997-02-17,852.3869795074048
