Date,EM LATIN AMERICA IMI VALUE
1996-05-31,172.9308086500719
1996-06-28,175.12895564984888
1996-07-31,168.95539662573867
1996-08-30,172.24861768429454
1996-09-30,173.65585908280204
1996-10-31,172.28673009869746
1996-11-29,172.81961155356515
1996-12-31,176.3173481900705
1997-01-01,176.3036774774169
1997-01-02,175.6206033311885
1997-01-03,177.18611726030636
1997-01-06,180.15656438267706
1997-01-07,182.53799388026275
1997-01-08,184.52071090320757
1997-01-09,184.63417469681815
1997-01-10,185.08436015423624
1997-01-13,184.99370935714592
1997-01-14,188.73555722343627
1997-01-15,190.71857776240998
1997-01-16,190.36428316113816
1997-01-17,192.2841860380668
1997-01-20,192.77727523406944
1997-01-21,192.9328528486406
1997-01-22,191.54779386078707
1997-01-23,193.12929649646105
1997-01-24,190.7390226491054
1997-01-27,189.7278739866876
1997-01-28,190.8430052510696
1997-01-29,189.23750144965493
1997-01-30,191.09135455650204
1997-01-31,193.59795907774307
1997-02-03,195.4195982506617
1997-02-04,195.16163416273469
1997-02-05,195.70953182667313
1997-02-06,195.93913379695553
1997-02-07,198.3219707735981
1997-02-10,198.51628285377936
1997-02-11,199.38718196612544
1997-02-12,203.9206598539874
1997-02-13,203.60733773428413
1997-02-14,204.13623045324118
1997-02-17,204.54493730320448
1997-02-18,205.56276341401514
1997-02-19,205.2533929868439
1997-02-20,204.14492103187877
1997-02-21,204.68791755319083
1997-02-24,206.3490587476801
1997-02-25,209.03347531200166
1997-02-26,206.43277099236752
1997-02-27,202.75615070963963
1997-02-28,203.49130684074134
1997-03-03,202.47512063520634
1997-03-04,202.1936811742538
1997-03-05,202.44732350751758
1997-03-06,203.02064962820907
1997-03-07,204.7151960123028
1997-03-10,207.12308609862288
1997-03-11,207.17695938277907
1997-03-12,204.36513290982975
1997-03-13,203.32001200037234
1997-03-14,204.72262874360993
1997-03-17,202.71762019849524
1997-03-18,201.95188361703495
1997-03-19,201.91318718359105
1997-03-20,202.26047047736444
1997-03-21,202.03051650502658
1997-03-24,202.51121324230823
1997-03-25,202.90092179533903
1997-03-26,202.65216804505192
1997-03-27,202.64947281170927
1997-03-28,202.60412078595414
1997-03-31,199.14031955231607
1997-04-01,198.61966250445826
1997-04-02,198.9182917358576
1997-04-03,199.05100856667585
1997-04-04,201.07052289034974
1997-04-07,203.66379015681298
1997-04-08,203.52197166145518
1997-04-09,204.26792335411164
1997-04-10,204.26358434558622
1997-04-11,201.61244583132944
1997-04-14,200.32187844689946
1997-04-15,201.4050438609188
1997-04-16,202.37603888900657
1997-04-17,200.47238405252287
1997-04-18,199.8681923184298
1997-04-21,199.18668654136474
1997-04-22,201.38932152641007
1997-04-23,203.1950742012646
1997-04-24,203.71445341166364
1997-04-25,203.66535685285734
1997-04-28,203.30637408645578
1997-04-29,204.72081533757964
1997-04-30,205.84689676945075
1997-05-01,205.89179158440896
1997-05-02,207.33392678509037
1997-05-05,206.4715774969262
1997-05-06,206.89819644701515
1997-05-07,205.38945338201043
1997-05-08,206.8326678589439
1997-05-09,207.03607012410254
1997-05-12,208.26436458131766
1997-05-13,208.01079851581386
1997-05-14,205.99426991028457
1997-05-15,207.0667578274259
1997-05-16,207.732122293586
1997-05-19,208.18209631307687
1997-05-20,209.52477536405073
1997-05-21,210.4359450739396
1997-05-22,210.85433842414838
1997-05-23,210.55569402865794
1997-05-26,211.34273375797264
1997-05-27,211.78369093777596
1997-05-28,211.9276490620948
1997-05-29,212.42022838695274
1997-05-30,214.271777024475
1997-06-02,215.6743024733172
1997-06-03,214.7584050726273
1997-06-04,214.7074731617726
1997-06-05,214.63439115487256
1997-06-06,216.87397716051962
1997-06-09,216.6865730267764
1997-06-10,218.20445248916428
1997-06-11,220.5068093974319
1997-06-12,225.24772816109154
1997-06-13,226.7456859290157
1997-06-16,227.73491803017347
1997-06-17,228.48338360076832
1997-06-18,228.69546197615315
1997-06-19,229.65162500200768
1997-06-20,230.75289147240883
1997-06-23,231.06640986626914
1997-06-24,233.70188291428565
1997-06-25,235.69932719724406
1997-06-26,234.24504064979445
1997-06-27,233.02131646419286
1997-06-30,232.54956313354646
1997-07-01,235.791369382836
1997-07-02,238.86734160485815
1997-07-03,240.24958162504174
1997-07-04,243.1416731749973
1997-07-07,246.1067489537957
1997-07-08,250.20849316384542
1997-07-09,250.2422163185861
1997-07-10,252.0589064381017
1997-07-11,250.19022933259913
1997-07-14,246.25725479788738
1997-07-15,233.1326634999138
1997-07-16,240.0159060378775
1997-07-17,235.3478505074446
1997-07-18,229.71493574548973
1997-07-21,227.71369703445706
1997-07-22,235.72977577210858
1997-07-23,239.13780536911685
1997-07-24,240.8446558524019
1997-07-25,242.6475220244637
1997-07-28,244.1107291224166
1997-07-29,245.90024518562348
1997-07-30,247.14715337357876
1997-07-31,247.38528726379275
1997-08-01,243.6298671702202
1997-08-04,243.65132023177352
1997-08-05,243.84705536519465
1997-08-06,248.8459073980548
1997-08-07,246.45452724091962
1997-08-08,244.7349636311525
1997-08-11,243.7458305950795
1997-08-12,243.00718373868446
1997-08-13,242.5386982314187
1997-08-14,242.62048064848193
1997-08-15,238.45242248376914
1997-08-18,236.11349957379045
1997-08-19,237.9876027678263
1997-08-20,236.57067994557198
1997-08-21,236.30864268052295
1997-08-22,234.65448496968233
1997-08-25,235.58937669397312
1997-08-26,236.3781612673723
1997-08-27,237.70820996454697
1997-08-28,233.04222893422656
1997-08-29,225.23034060037548
1997-09-01,220.4754587410808
1997-09-02,228.55264701574896
1997-09-03,231.8706436571242
1997-09-04,232.8917707617116
1997-09-05,236.7169795997858
1997-09-08,236.81705714260778
1997-09-09,236.23467073115657
1997-09-10,231.84682796014872
1997-09-11,227.689369342663
1997-09-12,229.31927147391107
1997-09-15,226.27889177397356
1997-09-16,228.86025378452769
1997-09-17,234.2650727341294
1997-09-18,236.74737701494735
1997-09-19,237.93538065394816
1997-09-22,240.03393505633835
1997-09-23,237.7502504889387
1997-09-24,237.7785291669646
1997-09-25,237.0814886175179
1997-09-26,238.31985214148838
1997-09-29,239.24830454936162
1997-09-30,241.74048192107588
1997-10-01,244.50054851337973
1997-10-02,245.98733580227378
1997-10-03,246.3267457898026
1997-10-06,246.39081553928833
1997-10-07,245.1334699114221
1997-10-08,242.9663388286839
1997-10-09,244.07896303050842
1997-10-10,244.11751865403608
1997-10-13,244.31270206613004
1997-10-14,245.68219980408827
1997-10-15,245.36034047992263
1997-10-16,244.75746460369297
1997-10-17,242.646921595631
1997-10-20,245.4616380500584
1997-10-21,247.95857169116272
1997-10-22,246.60287624561963
1997-10-23,234.5425771991053
1997-10-24,228.79908069570934
1997-10-27,202.6830895041093
1997-10-28,211.2771132749293
1997-10-29,207.38076006019097
1997-10-30,195.32795305472058
1997-10-31,195.1136690296949
1997-11-03,205.2814361746201
1997-11-04,207.91492309832446
1997-11-05,206.30685450984407
1997-11-06,202.60681037118104
1997-11-07,192.91062118498684
1997-11-10,191.6091226549253
1997-11-11,190.3670318931964
1997-11-12,177.87842684913508
1997-11-13,180.5707035540443
1997-11-14,186.61150695385697
1997-11-17,192.85158341662842
1997-11-18,191.7227019764252
1997-11-19,195.20367416578173
1997-11-20,195.31277051829642
1997-11-21,200.17837805818604
1997-11-24,194.88148859458764
1997-11-25,195.2521775517244
1997-11-26,198.47789771877066
1997-11-27,201.37201853383317
1997-11-28,200.0547857308386
1997-12-01,204.2612894044854
1997-12-02,206.03341540628085
1997-12-03,206.29440159852135
1997-12-04,207.43939197539996
1997-12-05,206.70283691529937
1997-12-08,207.08412885854133
1997-12-09,205.2331528655554
1997-12-10,200.75063898932814
1997-12-11,195.7842844823808
1997-12-12,196.3289461269392
1997-12-15,200.92884456123028
1997-12-16,204.06651161697752
1997-12-17,205.65062678428993
1997-12-18,202.3563238251295
1997-12-19,198.22263896593856
1997-12-22,199.6767362715403
1997-12-23,198.78950970501856
1997-12-24,199.454085113869
1997-12-25,199.4491666662894
1997-12-26,201.50054005449326
1997-12-29,206.9924220226707
1997-12-30,211.72038091578548
1997-12-31,212.0561055183365
1998-01-01,212.0994078616811
1998-01-02,213.52271622862204
1998-01-05,213.2510589606735
1998-01-06,206.6538207926161
1998-01-07,202.54944468332934
1998-01-08,196.38144160673286
1998-01-09,187.11115772441843
1998-01-12,187.58824576306387
1998-01-13,189.9998102952217
1998-01-14,189.59007494403707
1998-01-15,186.39295010475016
1998-01-16,191.05481589727302
1998-01-19,194.65237152246715
1998-01-20,192.19962628204442
1998-01-21,189.19314800411075
1998-01-22,189.43687353940163
1998-01-23,187.5181937221668
1998-01-26,187.37786878198045
1998-01-27,188.41376723745645
1998-01-28,187.50931422937398
1998-01-29,187.51850248012167
1998-01-30,188.47594620584155
1998-02-02,192.51337957314868
1998-02-03,194.01207535504926
1998-02-04,194.03060423064494
1998-02-05,194.1388233845038
1998-02-06,194.43139943153867
1998-02-09,194.8135829013869
1998-02-10,196.35492061522856
1998-02-11,197.5718019105673
1998-02-12,196.0488309667121
1998-02-13,195.6486699345005
1998-02-16,193.78089918272119
1998-02-17,193.6383275803213
1998-02-18,192.65992812486616
1998-02-19,192.9737918090658
1998-02-20,192.9106510522186
1998-02-23,192.29942855673812
1998-02-24,192.26458166921338
