Date,EM FAR EAST IMI VALUE
1994-05-31,982.2584589845748
1994-06-30,963.7836879596672
1994-07-29,1001.798956747023
1994-08-31,1102.086221479473
1994-09-30,1102.8840176161614
1994-10-31,1116.738609676564
1994-11-30,1016.037497108884
1994-12-30,1000.1540970829337
1995-01-31,894.5757699977585
1995-02-28,957.4534913069986
1995-03-31,937.6702662955395
1995-04-28,923.9987971842172
1995-05-31,1030.685103770578
1995-06-30,1038.6794821399867
1995-07-31,1056.173535013804
1995-08-31,1005.0219747915826
1995-09-29,988.7673380112493
1995-10-31,955.6676461038362
1995-11-30,923.0909747899801
1995-12-29,970.2134811603304
1996-01-31,1044.070089295903
1996-02-29,1037.3066555970877
1996-03-29,1057.1414502249575
1996-04-30,1122.5427882443626
1996-05-31,1091.9631755344308
1996-06-28,1061.6007644666201
1996-07-31,986.3296102829228
1996-08-30,1018.7650692515502
1996-09-30,1025.110206189228
1996-10-31,986.6989827174714
1996-11-29,1028.1503261263483
1996-12-31,1010.535045371478
1997-01-01,1010.5048278148477
1997-01-02,1003.2453434319423
1997-01-03,1003.5113223575061
1997-01-06,1002.3050358372549
1997-01-07,1008.7280532119854
1997-01-08,1020.7067216319685
1997-01-09,1026.6414234966717
1997-01-10,1028.790107709303
1997-01-13,1030.549290088567
1997-01-14,1027.8035457980104
1997-01-15,1038.9826104303925
1997-01-16,1044.299080420788
1997-01-17,1045.6624433067723
1997-01-20,1055.8544294047642
1997-01-21,1051.1522657793878
1997-01-22,1055.5071644996108
1997-01-23,1054.9621464989084
1997-01-24,1052.861988251744
1997-01-27,1046.6332534722676
1997-01-28,1046.1035266117253
1997-01-29,1038.4876402768666
1997-01-30,1044.2404801791502
1997-01-31,1044.489721296779
1997-02-03,1041.8758227987958
1997-02-04,1043.3692603431225
1997-02-05,1042.6558915845712
1997-02-06,1044.5315968430455
1997-02-07,1044.1740528253652
1997-02-10,1045.4420733998193
1997-02-11,1047.0532963039025
1997-02-12,1053.6232553146679
1997-02-13,1060.0128693568272
1997-02-14,1058.3035064362657
1997-02-17,1059.3326688429297
1997-02-18,1054.713537119599
1997-02-19,1065.4936853870543
1997-02-20,1073.1388084090686
1997-02-21,1074.6042104081164
1997-02-24,1078.0334376210703
1997-02-25,1081.4930832274263
1997-02-26,1076.0227328049011
1997-02-27,1072.1308501140063
1997-02-28,1076.08545968568
