Date,EM EUROPE IMI VALUE
1996-11-29,178.75343787255198
1996-12-31,180.70227071749034
1997-01-01,180.70227071749034
1997-01-02,183.48859978565375
1997-01-03,185.7330247427456
1997-01-06,187.82213810658234
1997-01-07,192.31362198056058
1997-01-08,199.72016048983946
1997-01-09,199.71142214624405
1997-01-10,199.8069426959067
1997-01-13,197.70599429507058
1997-01-14,199.44911691496284
1997-01-15,201.30587114967938
1997-01-16,202.81639078937604
1997-01-17,202.12539902657173
1997-01-20,201.85130107180976
1997-01-21,205.99106844873566
1997-01-22,207.0249789380499
1997-01-23,218.77186865415382
1997-01-24,233.8717805509563
1997-01-27,251.70373100662547
1997-01-28,233.0841187804922
1997-01-29,235.309107981324
1997-01-30,238.9692712319173
1997-01-31,235.61419886792572
1997-02-03,234.27435478689833
1997-02-04,224.37348892549142
1997-02-05,228.71066892237417
1997-02-06,236.08264964567863
1997-02-07,236.27582262235381
1997-02-10,236.59928427997505
1997-02-11,236.08938006046336
1997-02-12,239.00667411772415
1997-02-13,237.74000374276986
1997-02-14,233.92824333840122
1997-02-17,234.58040259014925
1997-02-18,238.40793720141724
1997-02-19,240.11765796898118
1997-02-20,243.05566326881524
1997-02-21,242.69095842623864
1997-02-24,245.86954128485942
1997-02-25,246.82550923455497
1997-02-26,244.3083304669254
1997-02-27,239.950047778529
1997-02-28,238.33496402875258
1997-03-03,228.7243854704726
1997-03-04,220.4944400973749
1997-03-05,212.95802787330044
1997-03-06,220.5013803769908
1997-03-07,217.2494849417768
1997-03-10,218.53141138168408
1997-03-11,219.02072321926147
1997-03-12,215.59866952010142
1997-03-13,221.46304927536147
1997-03-14,218.1573936966457
1997-03-17,225.72318099087857
1997-03-18,227.99223561258313
1997-03-19,231.0308033015566
1997-03-20,230.43317195695616
1997-03-21,228.2632618552276
1997-03-24,229.1378744033356
1997-03-25,222.8673240711099
1997-03-26,223.85478837316253
1997-03-27,220.97597042661587
1997-03-28,227.71709709404388
1997-03-31,235.93234855239237
1997-04-01,230.07585199109016
1997-04-02,229.52095157729835
1997-04-03,227.31129373578702
1997-04-04,225.5028081693585
