Date,EM GCC COUNTRIES IMI VALUE
2014-05-30,1000.0
2014-06-02,981.18746637063
2014-06-03,961.7565276380119
2014-06-04,944.8639145522619
2014-06-05,956.0083975858012
2014-06-06,955.9967394921975
2014-06-09,929.5280928332141
2014-06-10,927.0187789321161
2014-06-11,921.3895970411885
2014-06-12,928.3905459810546
2014-06-13,928.3848464606525
2014-06-16,889.2035842018961
2014-06-17,870.0910334223402
2014-06-18,879.3822962746193
2014-06-19,884.4591702675713
2014-06-20,884.4591702675715
2014-06-23,875.4982069393537
2014-06-24,852.5716755642115
2014-06-25,852.7940757661374
2014-06-26,849.9162250786992
2014-06-27,849.9105648602076
2014-06-30,823.7775398987122
2014-07-01,849.1809065327183
2014-07-02,885.6698925607346
2014-07-03,877.063532683289
2014-07-04,877.0688539104449
2014-07-07,892.0641056197866
2014-07-08,893.3529412620326
2014-07-09,901.9447881007668
2014-07-10,915.1023633263349
2014-07-11,915.1023633263351
2014-07-14,918.1284557722591
2014-07-15,924.5505658326578
2014-07-16,932.8313652767322
2014-07-17,940.8944935379932
2014-07-18,940.8944935379932
2014-07-21,921.2493849588225
2014-07-22,924.5465356587754
2014-07-23,917.6154954444577
2014-07-24,908.5556508896394
2014-07-25,908.5556508896394
2014-07-28,913.0784517811062
2014-07-29,913.0949438147537
2014-07-30,913.0949438147537
2014-07-31,923.8434638341981
2014-08-01,923.8434638341981
2014-08-04,920.5653583146991
2014-08-05,927.6153528118211
2014-08-06,917.2002931425712
2014-08-07,917.6241464498037
2014-08-08,917.6241464498037
2014-08-11,928.3148614154592
2014-08-12,932.3752652001446
2014-08-13,939.3990334694518
2014-08-14,943.4855551360408
2014-08-15,943.4678071982855
2014-08-18,942.9455371932924
2014-08-19,945.5073354874293
2014-08-20,946.136121693891
2014-08-21,948.9355474319804
2014-08-22,948.9066276221638
2014-08-25,947.094278123203
2014-08-26,953.8804098275338
2014-08-27,954.6477020976117
2014-08-28,923.1179396726677
2014-08-29,923.134723039495
2014-09-01,951.1749064417455
2014-09-02,952.4080394353613
2014-09-03,964.8500632046304
2014-09-04,964.9347008026399
2014-09-05,964.9347008026399
2014-09-08,969.0691891724397
2014-09-09,964.4712772479809
2014-09-10,958.2623154886223
2014-09-11,966.8386436340278
2014-09-12,966.8386436340278
2014-09-15,971.5878998135032
2014-09-16,972.0665175288866
2014-09-17,974.5288639319622
2014-09-18,997.223053542912
2014-09-19,997.223053542912
2014-09-22,981.3092573846683
2014-09-23,976.8745942955209
2014-09-24,974.3658637714703
2014-09-25,973.3575599312165
2014-09-26,973.3635421682525
2014-09-29,965.8141883753245
2014-09-30,958.5426217928915
2014-10-01,961.9683542409037
2014-10-02,958.7801284005725
2014-10-03,958.773654763633
2014-10-06,958.761863092216
2014-10-07,963.7252091809113
2014-10-08,957.6659406152731
2014-10-09,960.0234254160998
2014-10-10,960.0298986975187
2014-10-13,931.2512721253452
2014-10-14,925.5154289669669
2014-10-15,912.2885802314861
2014-10-16,888.7492984213355
2014-10-17,888.743208809633
2014-10-20,890.4816536465453
2014-10-21,900.6944465490303
2014-10-22,911.8992268792576
2014-10-23,921.4630417582979
2014-10-24,921.4885075338137
2014-10-27,924.1602016130084
2014-10-28,922.6582392217916
2014-10-29,933.1249043533543
2014-10-30,908.5292563760897
2014-10-31,908.5050068546603
2014-11-03,927.576610827913
2014-11-04,928.5188154160817
2014-11-05,904.4378636201972
2014-11-06,903.8432853684438
2014-11-07,903.8432853684438
2014-11-10,927.5984369635202
2014-11-11,927.6233416657637
2014-11-12,927.6397186012424
2014-11-13,936.6877732922422
2014-11-14,936.675024417252
2014-11-17,934.3489821929841
2014-11-18,942.2105923509872
2014-11-19,944.2202460205959
2014-11-20,944.7493767593726
2014-11-21,944.7493767593726
2014-11-24,950.4234079019492
2014-11-25,924.2351691442556
2014-11-26,921.621639697145
2014-11-27,920.4118594279224
2014-11-28,920.3878489271478
2014-12-01,894.823463934099
2014-12-02,893.0187254913639
2014-12-03,890.765517804266
2014-12-04,890.1470382776141
2014-12-05,890.121992876468
2014-12-08,883.3175888452064
