Date,EM (EMERGING MARKETS) IMI VALUE
1994-05-31,362.8942000708963
1994-06-30,361.19277107993935
1994-07-29,379.1296282607144
1994-08-31,430.4355441096644
1994-09-30,434.7906528970749
1994-10-31,434.9747844287975
1994-11-30,409.42133403842774
1994-12-30,396.8486644127409
1995-01-31,363.12071040799884
1995-02-28,359.49937687818465
1995-03-31,351.00930307869424
1995-04-28,364.0365446331423
1995-05-31,392.6814993699596
1995-06-30,393.1077657336071
1995-07-31,398.6446821912914
1995-08-31,385.7625427170042
1995-09-29,384.238919037298
1995-10-31,373.0243049746643
1995-11-30,360.06793194311484
1995-12-29,375.41118047293634
1996-01-31,405.3701121366505
1996-02-29,401.449382596159
1996-03-29,401.9747397496233
1996-04-30,416.2541797031797
1996-05-31,408.4974965683766
1996-06-28,407.97433193256285
1996-07-31,381.07058683008574
1996-08-30,389.6630514139278
1996-09-30,389.1540681217767
1996-10-31,380.2659574969039
1996-11-29,385.8149163971375
1996-12-31,385.738463099107
1997-01-01,385.72406481971433
1997-01-02,385.062758602556
1997-01-03,386.3024653938737
1997-01-06,388.39321869109426
1997-01-07,392.22892770464995
1997-01-08,396.74475332904944
1997-01-09,398.42024689665226
1997-01-10,399.57061973700087
1997-01-13,400.792117061162
1997-01-14,403.09688963902556
1997-01-15,407.9192546182661
1997-01-16,407.8093577787165
1997-01-17,409.0513437775437
1997-01-20,410.786795911029
1997-01-21,409.69601550514585
1997-01-22,410.34769300885904
1997-01-23,412.1101898089317
1997-01-24,411.36537971131304
1997-01-27,412.1066001528369
1997-01-28,411.6850487197268
1997-01-29,409.1120306415054
1997-01-30,411.3789862319158
1997-01-31,412.260279012753
1997-02-03,413.8104382514259
1997-02-04,413.7505829880765
1997-02-05,415.38624395146326
1997-02-06,417.35368350045377
1997-02-07,419.3114592724856
1997-02-10,421.0675759211205
1997-02-11,422.04564097788455
1997-02-12,426.2629640608894
1997-02-13,427.17742531150594
1997-02-14,426.6673787804739
1997-02-17,428.34360156643913
1997-02-18,428.2738973475503
1997-02-19,430.0383655886328
