Date,AUSTRALIA SMALL CAP VALUE WEIGHTED
1994-11-30,1000.0
1994-12-30,1018.230939776152
1995-01-31,950.5147351203989
1995-02-28,944.145424445502
1995-03-31,939.9800926032261
1995-04-28,994.6404818287556
1995-05-31,977.1846765643686
1995-06-30,951.5160028739551
1995-07-31,1027.6613266925458
1995-08-31,1071.6141501215077
1995-09-29,1103.174546491717
1995-10-31,1088.3144419232842
1995-11-30,1087.8233718718254
1995-12-29,1138.478900520299
1996-01-31,1187.9109503499863
1996-02-29,1233.4880103511691
1996-03-29,1247.3569688360437
1996-04-30,1317.0961928845438
1996-05-31,1346.3940159361382
1996-06-28,1322.8118191295328
1996-07-31,1265.677714006349
1996-08-30,1380.6969424449674
1996-09-30,1421.049476741103
1996-10-31,1461.6471140698573
1996-11-29,1556.977516171368
1996-12-31,1540.6031740326262
1997-01-01,1540.6031740326262
1997-01-02,1522.8636137135268
1997-01-03,1520.1400737561205
1997-01-06,1515.043034530159
1997-01-07,1508.7483559335922
1997-01-08,1490.3118730351023
1997-01-09,1490.3318082451055
1997-01-10,1494.7488161745555
1997-01-13,1489.8439531512086
1997-01-14,1492.1220554411886
1997-01-15,1492.1479791911147
1997-01-16,1494.4569641017922
1997-01-17,1499.9012896886127
1997-01-20,1497.4915528242773
1997-01-21,1487.0252971534578
1997-01-22,1485.545425368537
1997-01-23,1475.971801541338
1997-01-24,1468.8701548133104
1997-01-27,1466.208297047807
1997-01-28,1448.46387793258
1997-01-29,1454.6396065206204
1997-01-30,1452.4696515612015
1997-01-31,1453.9153345409127
1997-02-03,1462.7246937065843
1997-02-04,1449.4700660595704
1997-02-05,1455.97321913384
1997-02-06,1464.7619373619589
1997-02-07,1467.6972548303918
1997-02-10,1465.956919527544
1997-02-11,1472.5044576340144
1997-02-12,1468.1282409006653
1997-02-13,1504.2566983692752
1997-02-14,1505.2570319938027
1997-02-17,1512.529730241049
1997-02-18,1510.9173370335518
1997-02-19,1511.2921989481697
1997-02-20,1515.1744362470486
1997-02-21,1528.5061785214102
1997-02-24,1531.5288168389739
1997-02-25,1532.5839124406466
1997-02-26,1533.9940879858664
1997-02-27,1532.1159984611115
1997-02-28,1530.9657420267429
1997-03-03,1543.0880275331913
1997-03-04,1552.2725002908144
1997-03-05,1538.5239509462244
1997-03-06,1553.1658536658172
1997-03-07,1559.3510710857565
1997-03-10,1564.7323264831844
1997-03-11,1571.6814272867432
1997-03-12,1572.1930309125285
1997-03-13,1568.5497112678079
1997-03-14,1559.5957830321831
1997-03-17,1557.5404506170191
1997-03-18,1534.3750428692592
1997-03-19,1515.6932113556502
1997-03-20,1519.2129979418182
1997-03-21,1513.8960418773738
1997-03-24,1514.3871768389329
1997-03-25,1514.1988412374292
1997-03-26,1518.7448667490155
1997-03-27,1529.6789338216531
1997-03-28,1534.177701864349
1997-03-31,1533.1997088115872
1997-04-01,1504.1064021452426
1997-04-02,1504.4541865214526
1997-04-03,1494.3600296712937
1997-04-04,1485.921201589874
1997-04-07,1483.6216185892777
1997-04-08,1493.8581868291894
1997-04-09,1503.983985039299
1997-04-10,1506.044812950234
1997-04-11,1511.2656300029528
1997-04-14,1486.6788191271244
1997-04-15,1486.869743810727
1997-04-16,1484.1171991251883
1997-04-17,1493.5424809133606
1997-04-18,1502.0072667314662
1997-04-21,1507.414721109357
1997-04-22,1512.8846573830297
1997-04-23,1518.842018354747
1997-04-24,1519.6822335607642
1997-04-25,1521.249623216986
1997-04-28,1525.0459373568256
1997-04-29,1528.6042450936814
1997-04-30,1538.2141503239127
1997-05-01,1545.2427153150009
1997-05-02,1548.242367518528
1997-05-05,1539.3105106140224
1997-05-06,1542.884407034939
1997-05-07,1534.9953688432493
1997-05-08,1531.0885318114917
1997-05-09,1534.990810066969
1997-05-12,1539.5593737994495
1997-05-13,1546.4613502999127
1997-05-14,1549.1655108374819
1997-05-15,1545.3662644253131
1997-05-16,1549.6863253276526
1997-05-19,1546.872158513129
1997-05-20,1545.7932202915829
1997-05-21,1575.103631982987
1997-05-22,1567.4695800860143
1997-05-23,1545.3095822922917
1997-05-26,1554.246136036605
1997-05-27,1551.2133974491862
1997-05-28,1554.5871703224325
1997-05-29,1563.5848469568455
1997-05-30,1568.412218065279
1997-06-02,1566.956710488598
1997-06-03,1577.052030493176
1997-06-04,1572.8195330398385
1997-06-05,1573.086564612376
1997-06-06,1570.2696177638593
1997-06-09,1573.7841439309293
1997-06-10,1580.6270284654145
1997-06-11,1565.3533347716232
1997-06-12,1554.0672916779765
1997-06-13,1556.562469247174
1997-06-16,1555.5641158112262
1997-06-17,1562.6525811609072
1997-06-18,1559.3801890048683
1997-06-19,1551.6042244019907
1997-06-20,1563.7663822208094
1997-06-23,1561.400708734395
1997-06-24,1554.0444704022034
1997-06-25,1555.8028047881296
1997-06-26,1551.5866599661092
1997-06-27,1546.1611671766002
1997-06-30,1563.930933625507
1997-07-01,1570.8562877379657
1997-07-02,1573.8688545135606
1997-07-03,1579.5488730830277
1997-07-04,1560.6789420659163
1997-07-07,1533.680924749116
1997-07-08,1522.5448183790345
1997-07-09,1527.8210382965112
1997-07-10,1527.0093389920091
1997-07-11,1533.8244283351085
1997-07-14,1518.5990525542074
1997-07-15,1501.9791346135692
1997-07-16,1496.0717413879472
1997-07-17,1502.1528495575076
1997-07-18,1511.1869153999112
1997-07-21,1505.39613967066
1997-07-22,1504.8462450439904
1997-07-23,1507.8063636539487
1997-07-24,1503.9863692281676
1997-07-25,1510.7068956726835
1997-07-28,1514.240282891476
1997-07-29,1536.9021436265448
1997-07-30,1541.2515335413
1997-07-31,1542.9056973157715
1997-08-01,1539.1043856708638
1997-08-04,1528.4387331134326
1997-08-05,1530.3486539274224
1997-08-06,1524.6887993298992
1997-08-07,1527.2087508343193
1997-08-08,1524.056034587238
1997-08-11,1520.8587040792218
1997-08-12,1516.5949466927661
1997-08-13,1506.2238913301735
1997-08-14,1500.200478882388
1997-08-15,1516.8595278187393
