Date,AC FAR EAST EX JP MINIMUM VOLATILI (USD)
2001-05-31,1000.0
2001-06-01,995.634285803025
2001-06-04,998.339255608169
2001-06-05,1002.44884565026
2001-06-06,1009.505749616458
2001-06-07,1006.1594937287656
2001-06-08,1019.0576337629903
2001-06-11,1023.5620317043823
2001-06-12,1014.1300089432079
2001-06-13,1009.8816505463238
2001-06-14,991.8734916692586
2001-06-15,986.6707080602574
2001-06-18,982.4399929655328
2001-06-19,986.818748321476
2001-06-20,987.01041631445
2001-06-21,987.2956875850174
2001-06-22,985.2135763298328
2001-06-25,978.1300465679926
2001-06-26,970.5083202219218
2001-06-27,975.079799681197
2001-06-28,979.7757146773023
2001-06-29,996.5239473539699
2001-07-02,991.9414385233299
2001-07-03,992.0621190471168
2001-07-04,989.0037814006769
2001-07-05,998.1864614073527
2001-07-06,988.3615833586971
2001-07-09,971.227302294969
2001-07-10,964.4072571062826
2001-07-11,945.6275423712533
2001-07-12,960.2805555622272
2001-07-13,951.5262851832823
2001-07-16,942.2476018410356
2001-07-17,940.1924858110759
2001-07-18,909.2641625860549
2001-07-19,907.7635058793734
2001-07-20,908.9067459374289
2001-07-23,906.2535047736999
2001-07-24,892.1044856181745
2001-07-25,893.2711398619263
2001-07-26,905.2481120884007
2001-07-27,913.8957238830238
2001-07-30,911.4606650938761
2001-07-31,920.3525884141837
2001-08-01,919.6207598020832
2001-08-02,923.7871739642137
2001-08-03,917.5025178580297
2001-08-06,916.2752003340398
2001-08-07,919.709215165274
2001-08-08,922.6335953857016
2001-08-09,898.9197653465304
2001-08-10,898.5587706386223
2001-08-13,899.4992982674984
2001-08-14,911.4672070377977
2001-08-15,902.8793224157654
2001-08-16,905.2653282107059
2001-08-17,896.6972846491226
2001-08-20,893.3747533338166
2001-08-21,895.2269781437959
2001-08-22,884.140985382022
2001-08-23,892.0206292005868
2001-08-24,885.4783065669278
2001-08-27,902.4313703388943
2001-08-28,896.5755474759552
2001-08-29,899.9469374633201
2001-08-30,898.5545185499315
2001-08-31,896.9714029899241
2001-09-03,895.1401353878804
2001-09-04,915.6261259895548
2001-09-05,911.0431690940037
2001-09-06,899.3831511263631
2001-09-07,880.592038810228
2001-09-10,879.8678647297515
2001-09-11,866.1649653222332
2001-09-12,831.7974934701023
2001-09-13,823.1823364029207
2001-09-14,793.0602984095195
