Date,AC ASEAN MINIMUM VOLATILITY (USD)
2001-05-31,1000.0
2001-06-01,999.4057397881043
2001-06-04,1000.5521570711817
2001-06-05,999.277766167105
2001-06-06,996.1197170573631
2001-06-07,999.5533708923475
2001-06-08,1011.6272530419807
2001-06-11,1018.4304190760976
2001-06-12,1012.28469253824
2001-06-13,1019.3264864789115
2001-06-14,1012.9749717979479
2001-06-15,1008.9038083639541
2001-06-18,1007.7293784382897
2001-06-19,1009.9149830679756
2001-06-20,1010.4394896849
2001-06-21,1016.9059972633593
2001-06-22,1024.278971892296
2001-06-25,1019.1377126344055
2001-06-26,1020.7226416997262
2001-06-27,1018.7613547022739
2001-06-28,1028.236813074507
2001-06-29,1036.0532351547763
2001-07-02,1022.2891868895359
2001-07-03,1023.3290946549009
2001-07-04,1023.4474699758617
2001-07-05,1046.1521105101144
2001-07-06,1036.6117172461534
2001-07-09,1029.0771895609878
2001-07-10,1024.6516168289006
2001-07-11,1006.1683740763176
2001-07-12,1012.7557816950556
2001-07-13,1016.9265288401122
2001-07-16,1019.8029755656861
2001-07-17,1021.8288593879378
2001-07-18,1005.0507206740511
2001-07-19,1007.7759023701811
2001-07-20,1008.3854670298517
2001-07-23,1005.1812321300939
2001-07-24,997.2758110031003
2001-07-25,996.703458972666
2001-07-26,1002.4227493003235
2001-07-27,1007.3789205822258
2001-07-30,1014.5565839376247
2001-07-31,1020.1292280470554
2001-08-01,1011.9554130239117
2001-08-02,1008.9917212402714
2001-08-03,1003.5038131393985
2001-08-06,1008.4079778343794
2001-08-07,1017.5397898544305
2001-08-08,1015.4293308858082
2001-08-09,995.7119632464223
2001-08-10,994.5911898830486
2001-08-13,991.9302469830616
2001-08-14,999.9040472704035
2001-08-15,989.6875906607918
2001-08-16,986.9389021840641
2001-08-17,979.0587790556765
2001-08-20,981.6310494654388
2001-08-21,983.1572668864477
2001-08-22,974.1633961024578
2001-08-23,990.7222119671133
2001-08-24,999.6489618591984
2001-08-27,1020.2869298427072
2001-08-28,1010.6979330399939
2001-08-29,1009.1171336923913
2001-08-30,1002.8050369810171
2001-08-31,1009.4048437748808
2001-09-03,1017.3332549062134
2001-09-04,1032.9446890726379
2001-09-05,1035.5303663837417
2001-09-06,1033.024466639254
2001-09-07,1017.7871837714082
2001-09-10,1015.9252958341692
2001-09-11,1005.2151902569659
2001-09-12,989.1856885992931
2001-09-13,968.1590419609381
2001-09-14,931.1030055347181
2001-09-17,887.4337068308025
2001-09-18,884.0185660176041
2001-09-19,893.1170355565052
2001-09-20,885.9614980287688
2001-09-21,866.742866554798
2001-09-24,872.4825811666096
2001-09-25,860.6383697661458
2001-09-26,859.0793624834156
2001-09-27,875.4431511295018
2001-09-28,888.6776791930281
2001-10-01,879.7499720676119
2001-10-02,877.7258956486867
2001-10-03,871.0260137700536
2001-10-04,882.9400425459821
2001-10-05,875.3891181145955
2001-10-08,858.538109404794
2001-10-09,875.3308156290238
2001-10-10,869.119396491251
2001-10-11,886.6916978450937
2001-10-12,887.1647477297333
2001-10-15,895.214237162623
2001-10-16,892.2451835556576
2001-10-17,901.656796481786
2001-10-18,898.0346475667097
2001-10-19,895.6689884771525
2001-10-22,894.527425645378
2001-10-23,905.1128909093535
2001-10-24,904.4169622630073
2001-10-25,896.0639397135877
