Date,AC ASIA PACIFIC MINIMUM VOLATILITY (USD)
2001-05-31,1000.0
2001-06-01,1000.0317058934814
2001-06-04,999.6160875388125
2001-06-05,993.9677220114135
2001-06-06,996.2554614136311
2001-06-07,998.2170341267805
2001-06-08,998.8314344711914
2001-06-11,998.5331428253272
2001-06-12,978.5656382948439
2001-06-13,978.726642846651
2001-06-14,970.396651852501
2001-06-15,962.7316872099896
2001-06-18,956.4276935585735
2001-06-19,960.1490437691649
2001-06-20,966.2181712769426
2001-06-21,969.8009280742959
2001-06-22,972.6707810545847
2001-06-25,962.6641369917272
2001-06-26,968.5840929074201
2001-06-27,964.9932275519111
2001-06-28,967.4703726174058
2001-06-29,983.9479457731804
2001-07-02,978.4873859879499
2001-07-03,980.9680259259326
2001-07-04,976.9364593478724
2001-07-05,981.2311238093374
2001-07-06,960.4941264635892
2001-07-09,954.6200136713187
2001-07-10,951.5498927746706
2001-07-11,940.6502431213481
2001-07-12,958.0391086939151
2001-07-13,952.2654764500587
2001-07-16,946.5142382734431
2001-07-17,943.1906555453087
2001-07-18,916.1999444198348
2001-07-19,920.8355251876504
2001-07-20,917.350013914093
2001-07-23,906.3878885112289
2001-07-24,903.7810092994026
2001-07-25,903.5283747550823
2001-07-26,906.2705191999511
2001-07-27,910.714829986533
2001-07-30,903.6504444223717
2001-07-31,914.9456733204765
2001-08-01,917.1042661159053
2001-08-02,928.5671687564594
2001-08-03,918.3481982343299
2001-08-06,924.2458283318633
2001-08-07,932.887581771313
2001-08-08,936.0574663804906
2001-08-09,911.1398751417354
2001-08-10,908.7505452746955
2001-08-13,902.1115855192141
2001-08-14,918.6280323916669
2001-08-15,915.5301623088471
2001-08-16,908.730272610986
2001-08-17,904.8653438513272
2001-08-20,900.8162041373942
2001-08-21,906.6942367082481
2001-08-22,905.1182161651321
2001-08-23,908.1565829017464
2001-08-24,905.3585207096661
2001-08-27,912.0703972638498
2001-08-28,906.3145437356135
2001-08-29,902.3440308901602
2001-08-30,895.1759521092097
2001-08-31,892.9406529780199
2001-09-03,882.3234331197015
2001-09-04,906.6585983644499
2001-09-05,894.9175619375299
2001-09-06,889.306262667185
2001-09-07,877.2888463938383
2001-09-10,866.7876312815201
2001-09-11,869.4739655036365
2001-09-12,830.3342905896208
2001-09-13,833.7011664445319
2001-09-14,833.6892831414929
2001-09-17,803.8485010691895
2001-09-18,807.8750437044082
2001-09-19,814.699736914942
2001-09-20,810.5728319072407
2001-09-21,800.307415033814
2001-09-24,796.2799684709812
2001-09-25,794.9074381227531
2001-09-26,791.7222072077287
2001-09-27,789.2084478090329
2001-09-28,816.045708581985
2001-10-01,818.5754004662099
2001-10-02,826.2912314706463
2001-10-03,814.5674207294587
2001-10-04,829.5523169608203
2001-10-05,827.555181899424
2001-10-08,826.9438450375739
2001-10-09,819.1004143387032
2001-10-10,823.9398508976096
2001-10-11,841.8727519062533
2001-10-12,843.3223976548885
2001-10-15,841.329986274383
2001-10-16,844.9383301950625
2001-10-17,851.9164966435544
2001-10-18,842.1534533180483
2001-10-19,846.0723507665838
2001-10-22,849.5851507771653
2001-10-23,862.0461438986163
2001-10-24,861.2349938303498
2001-10-25,863.4919863680541
2001-10-26,861.7699009208437
2001-10-29,843.692343678604
2001-10-30,836.9873437630456
2001-10-31,840.0245412436639
2001-11-01,838.0675912512247
2001-11-02,835.7523265545258
2001-11-05,843.4447148296555
2001-11-06,853.1933018906705
2001-11-07,839.5187307976302
2001-11-08,854.1135341245224
2001-11-09,848.2263897154708
2001-11-12,846.1453755821257
2001-11-13,849.2032285610761
2001-11-14,847.460194948707
2001-11-15,857.0801283622201
2001-11-16,846.852659790661
2001-11-19,855.9944871315855
2001-11-20,854.997316402265
2001-11-21,865.9447856140044
2001-11-22,858.5949221818166
2001-11-23,859.6807322124585
2001-11-26,867.9633701880788
2001-11-27,862.6361617942692
2001-11-28,850.1680101066529
2001-11-29,851.5518652744656
2001-11-30,850.3320204894287
2001-12-03,843.6635665307673
2001-12-04,843.9131895477909
2001-12-05,853.4896536196699
2001-12-06,850.3794154855326
2001-12-07,843.8143975981652
2001-12-10,835.897505531123
2001-12-11,833.4942040514593
2001-12-12,840.711779485773
2001-12-13,825.1775929408673
2001-12-14,819.6957617992499
2001-12-17,809.3641426587758
2001-12-18,812.9867562018088
2001-12-19,814.3943231683935
2001-12-20,819.2375931681327
2001-12-21,823.3366456052769
2001-12-24,832.1283323130444
2001-12-25,832.275141802918
2001-12-26,826.0766143247569
2001-12-27,825.3201713657348
2001-12-28,838.1929798483234
2001-12-31,834.6595324169986
2002-01-01,834.6553185232942
2002-01-02,819.8449341988868
2002-01-03,823.3802437562408
2002-01-04,838.439019456354
2002-01-07,841.6470784288555
2002-01-08,829.6472578771289
2002-01-09,827.7168946264438
2002-01-10,815.6961871958842
2002-01-11,815.1964206719765
2002-01-14,811.9286402230958
2002-01-15,811.4442714517891
2002-01-16,818.9968778845233
2002-01-17,819.8302102956412
2002-01-18,824.4929929578492
2002-01-21,829.4928005038613
2002-01-22,814.854457493317
2002-01-23,810.0087814560449
2002-01-24,815.2098604258783
2002-01-25,829.5215791824448
2002-01-28,840.7080671280539
2002-01-29,832.4203034233661
2002-01-30,826.53046487425
2002-01-31,831.4992469847507
2002-02-01,824.2454067522971
2002-02-04,819.4016244887429
2002-02-05,805.0683999050882
2002-02-06,805.3793610988658
2002-02-07,809.6610172422128
2002-02-08,812.1969201451572
2002-02-11,813.1367121110299
2002-02-12,824.0836899900536
2002-02-13,829.4922326894882
2002-02-14,836.1633138469266
2002-02-15,832.376779910845
2002-02-18,835.3220408129534
2002-02-19,816.7880069596017
2002-02-20,815.4958922388959
2002-02-21,826.3899829907995
2002-02-22,822.5300609059648
2002-02-25,824.0705029257031
2002-02-26,824.9007424151658
2002-02-27,842.5539093833672
2002-02-28,842.582133568194
2002-03-01,854.6799472885024
2002-03-04,876.3701376234698
2002-03-05,874.0081587468982
2002-03-06,874.788605291727
2002-03-07,891.6233676772449
2002-03-08,894.6009790661346
2002-03-11,901.5756812260963
2002-03-12,891.9039149968065
2002-03-13,879.0325254915417
2002-03-14,879.2680827483277
2002-03-15,879.169044427844
2002-03-18,871.6997489030081
2002-03-19,879.6374058872645
2002-03-20,875.5204063874287
2002-03-21,874.1947181858112
2002-03-22,867.7089070447341
2002-03-25,870.0058557602724
2002-03-26,867.5152323828554
2002-03-27,872.9099263682452
2002-03-28,878.4340901376657
2002-03-29,866.7712289535959
2002-04-01,856.6399194429471
2002-04-02,859.5001881602012
2002-04-03,868.1888562046672
2002-04-04,871.4313364645374
2002-04-05,877.528389996864
2002-04-08,880.7718206646858
2002-04-09,870.4536013119206
2002-04-10,876.031033836733
2002-04-11,865.0516209577568
2002-04-12,864.5737467235972
2002-04-15,868.9358042823255
2002-04-16,872.7969787480971
2002-04-17,877.6217722767154
2002-04-18,881.3044449484676
2002-04-19,882.0671946921583
2002-04-22,889.2346619558178
2002-04-23,887.5524870842913
2002-04-24,882.6508457869979
2002-04-25,879.6177652715479
2002-04-26,875.3172281731294
