Date,AC PACIFIC ex JP MINIMUM VOLATILITY(USD)
2001-05-31,1000.0
2001-06-01,1001.9215967762975
2001-06-04,1004.0781435623654
2001-06-05,1007.4285754630749
2001-06-06,1015.7056249360077
2001-06-07,1016.2194696811521
2001-06-08,1026.4725877053404
2001-06-11,1031.6236649348184
2001-06-12,1023.0600306112257
2001-06-13,1023.8701640413873
2001-06-14,1010.8869919412632
2001-06-15,1007.8427586920059
2001-06-18,997.2634356593094
2001-06-19,1002.1398233540024
2001-06-20,1005.5328781325848
2001-06-21,1003.5449770238796
2001-06-22,1001.1386230595674
2001-06-25,991.9484433551285
2001-06-26,990.104576010725
2001-06-27,991.4137769373416
2001-06-28,996.1980080762486
2001-06-29,1012.4155853807142
2001-07-02,1005.4202210456433
2001-07-03,1008.9208513016172
2001-07-04,1006.5018854085615
2001-07-05,1010.4430036303982
2001-07-06,992.4371862953903
2001-07-09,981.0411984564889
2001-07-10,977.8222516001338
2001-07-11,962.4822359460487
2001-07-12,975.3619013181877
2001-07-13,971.8767085700579
2001-07-16,965.7365997836732
2001-07-17,962.3708879888819
2001-07-18,938.8098240746366
2001-07-19,940.0884427940669
2001-07-20,934.535389432833
2001-07-23,934.8341720310156
2001-07-24,920.8285336951071
2001-07-25,920.2976340281712
2001-07-26,927.0219112310278
2001-07-27,931.0858760539766
2001-07-30,932.4088066895787
2001-07-31,940.4985482648348
2001-08-01,947.5900895177838
2001-08-02,953.2148715068548
2001-08-03,946.4463589750937
2001-08-06,948.4790497225812
2001-08-07,950.5860789010605
2001-08-08,955.6333294772243
2001-08-09,935.0757676940867
2001-08-10,931.8083973578903
2001-08-13,933.6969366149552
2001-08-14,940.4871740556723
2001-08-15,934.5625735905587
2001-08-16,934.8810784317558
2001-08-17,933.733890558491
2001-08-20,929.0462328692432
2001-08-21,931.8537194079121
2001-08-22,925.5573488810867
2001-08-23,932.9541868697671
2001-08-24,928.5816584194886
2001-08-27,941.5714082189663
2001-08-28,937.5060573708582
2001-08-29,941.9184073568928
2001-08-30,941.3251713283813
2001-08-31,934.2605972382406
2001-09-03,933.3836859078738
2001-09-04,950.093314609122
2001-09-05,943.7981317851097
2001-09-06,935.1306604509161
2001-09-07,915.7639148963138
2001-09-10,913.9640790123694
2001-09-11,906.7416732410333
2001-09-12,875.7833415509393
2001-09-13,867.9110482941395
2001-09-14,843.5057001629217
2001-09-17,812.1598704703896
2001-09-18,809.7071028371761
2001-09-19,811.7806533020432
2001-09-20,803.3954898937602
2001-09-21,790.4519823981005
2001-09-24,791.2539110977201
2001-09-25,784.9598074454079
2001-09-26,789.3983233190821
2001-09-27,796.0334827303668
2001-09-28,820.4111858600847
2001-10-01,816.961581127493
2001-10-02,817.1724109849694
2001-10-03,814.2922289914782
2001-10-04,828.0985314679106
2001-10-05,834.9137582227481
2001-10-08,826.8250098974868
2001-10-09,835.2594925281219
2001-10-10,836.5449481264588
2001-10-11,856.9966969575696
2001-10-12,853.9412666463602
2001-10-15,858.18445562538
2001-10-16,861.4990703157084
2001-10-17,870.2689007570111
2001-10-18,861.7155407783905
2001-10-19,862.1869178729339
2001-10-22,869.0752259895487
2001-10-23,878.9298542297131
2001-10-24,881.3608994295646
2001-10-25,878.7062474632688
2001-10-26,884.5509515164817
2001-10-29,869.6625211458357
2001-10-30,860.4087707524741
2001-10-31,867.1359824524
2001-11-01,865.1884936975486
2001-11-02,868.3202058578254
2001-11-05,878.392763039663
2001-11-06,886.4844848140049
2001-11-07,882.3902861879517
2001-11-08,895.786107359415
2001-11-09,897.7828524844323
2001-11-12,903.0933614338636
2001-11-13,914.7190835964979
2001-11-14,924.3499688126318
2001-11-15,935.5061700225573
2001-11-16,932.6718195991607
2001-11-19,945.34487420056
2001-11-20,938.8086156397827
2001-11-21,949.8124362910894
2001-11-22,944.5122614885331
2001-11-23,954.990047160269
2001-11-26,961.5122895972702
2001-11-27,959.1524427119065
2001-11-28,940.6134284501012
