Date,AC ASIA PACIFIC ex JP MINIMUM VOL (USD)
2001-05-31,1000.0
2001-06-01,1000.6760573024658
2001-06-04,1001.2202079353451
2001-06-05,1002.5840905378587
2001-06-06,1009.8156426931903
2001-06-07,1009.3709327298212
2001-06-08,1019.5036188650898
2001-06-11,1026.3808816541782
2001-06-12,1017.4016907266491
2001-06-13,1017.8350186699058
2001-06-14,1004.7724277522742
2001-06-15,999.8178482399151
2001-06-18,989.9533416201165
2001-06-19,996.5460741573204
2001-06-20,1001.0095213645177
2001-06-21,998.6963099293984
2001-06-22,995.506034820413
2001-06-25,984.6903148301031
2001-06-26,985.8238343423728
2001-06-27,986.9458637552493
2001-06-28,992.4399113042215
2001-06-29,1007.734639118141
2001-07-02,1000.7897407518826
2001-07-03,1002.2724404821886
2001-07-04,1000.3200807421512
2001-07-05,1004.5840746851501
2001-07-06,986.9645556987915
2001-07-09,976.7142945850431
2001-07-10,974.4529397424202
2001-07-11,961.3411993206378
2001-07-12,974.3344123383589
2001-07-13,971.8517272952597
2001-07-16,966.308703557739
2001-07-17,963.8114714459105
2001-07-18,940.2864440463159
2001-07-19,942.1558337203727
2001-07-20,934.9377487724729
2001-07-23,935.9896144583823
2001-07-24,922.5248130759719
2001-07-25,920.4459323672629
2001-07-26,926.022220296472
2001-07-27,929.6559198027942
2001-07-30,932.4644203525646
2001-07-31,940.4990731607927
2001-08-01,946.7318884035851
2001-08-02,951.2264872494296
2001-08-03,946.0435819723042
2001-08-06,948.7360324303376
2001-08-07,951.0342462184825
2001-08-08,955.3708618160592
2001-08-09,935.6364937893933
2001-08-10,931.2417018047714
2001-08-13,931.8270206818429
2001-08-14,938.6862699660744
2001-08-15,931.7911300159583
2001-08-16,931.4999335953762
2001-08-17,930.6508558050325
2001-08-20,926.5723220519006
2001-08-21,929.1978231608451
2001-08-22,922.8637292643274
2001-08-23,931.2893019187522
2001-08-24,927.855779338489
2001-08-27,939.7281808680016
2001-08-28,936.7818851252015
2001-08-29,940.6781074769858
2001-08-30,939.8818491794052
2001-08-31,932.3501005418843
2001-09-03,931.5012521653364
2001-09-04,948.196881141
2001-09-05,943.8203289599428
2001-09-06,935.5304255419295
2001-09-07,917.2116013969008
2001-09-10,915.9043827790529
2001-09-11,907.9733175153284
2001-09-12,878.2349058307261
2001-09-13,869.5029624545518
2001-09-14,842.4743210985721
2001-09-17,811.0221822769839
2001-09-18,810.4323670277994
2001-09-19,812.5148107440207
2001-09-20,803.9253731985449
2001-09-21,790.8403083847915
2001-09-24,791.9844570068354
2001-09-25,785.9882995989308
2001-09-26,790.6592433683215
2001-09-27,798.2572211479182
2001-09-28,822.3999253013973
2001-10-01,818.3005042855553
2001-10-02,819.2642558965853
2001-10-03,815.7354317064036
2001-10-04,828.7289294294956
2001-10-05,835.4923941281547
2001-10-08,827.4791368258341
2001-10-09,836.2176152362138
