Date,ACWI ex JAPAN MINIMUM VOLATILITY (USD)
2001-05-31,1000.0
2001-06-01,1003.3175656534344
2001-06-04,1006.3255777168539
2001-06-05,1011.1387043984294
2001-06-06,1006.134197438074
2001-06-07,1004.0676423349929
2001-06-08,1006.3763298755727
2001-06-11,1010.0770251875666
2001-06-12,1003.1237891343579
2001-06-13,999.4376225216859
2001-06-14,986.1283202871689
2001-06-15,980.5037351836585
2001-06-18,977.2604529397204
2001-06-19,981.5582863888422
2001-06-20,987.8170746600584
2001-06-21,984.173932212843
2001-06-22,979.7756866695206
2001-06-25,970.3297057114131
2001-06-26,968.273389453459
2001-06-27,965.8461985627961
2001-06-28,977.8499386178046
2001-06-29,982.0004453661787
2001-07-02,988.5115250187755
2001-07-03,983.8462163031763
2001-07-04,984.0271637140988
2001-07-05,988.9468223490983
2001-07-06,971.5767663682901
2001-07-09,968.7035823571186
2001-07-10,959.412687281934
2001-07-11,953.097443858338
2001-07-12,965.6170686293927
2001-07-13,969.7947151549191
2001-07-16,963.1267178721135
2001-07-17,968.0957548585751
2001-07-18,950.3282388286201
2001-07-19,958.5503895831531
2001-07-20,953.2805941838105
2001-07-23,949.5936087752067
2001-07-24,934.8390026326209
2001-07-25,936.5864936335895
2001-07-26,942.8997470557053
2001-07-27,948.1590714138925
2001-07-30,949.6506979518289
2001-07-31,956.520524779033
2001-08-01,957.252338479476
2001-08-02,955.9847260301867
2001-08-03,949.4454168866135
2001-08-06,949.9330831188644
2001-08-07,955.3578174515287
2001-08-08,950.0500719792317
2001-08-09,937.6567806839253
2001-08-10,935.1446215665927
2001-08-13,934.6078758885001
2001-08-14,937.2024703015892
2001-08-15,927.834146380294
2001-08-16,927.3250155539072
2001-08-17,917.8794530149253
2001-08-20,922.2853582712254
2001-08-21,923.3635463157287
2001-08-22,919.8252436866293
2001-08-23,925.9295485852074
2001-08-24,932.2468388062771
2001-08-27,934.5000760919346
2001-08-28,927.1535294613295
2001-08-29,922.1505838002879
2001-08-30,913.456974977577
2001-08-31,913.8002949465805
2001-09-03,912.6400491469038
2001-09-04,931.4637765185196
2001-09-05,932.87397782696
2001-09-06,921.6701261900529
2001-09-07,902.0548334373551
2001-09-10,901.6705083756281
2001-09-11,883.50606575285
2001-09-12,885.0084184449222
2001-09-13,884.2707172282875
2001-09-14,862.783191812872
2001-09-17,850.2761920430984
2001-09-18,845.1346438448664
2001-09-19,828.5135436615552
2001-09-20,808.8334342263489
2001-09-21,796.7587759886952
2001-09-24,812.022272016771
2001-09-25,810.9417734844972
2001-09-26,818.1623542106856
2001-09-27,829.9694870033214
2001-09-28,852.6050073900968
2001-10-01,844.9032565490544
2001-10-02,852.256488565745
2001-10-03,851.0309197526786
2001-10-04,861.4426211874078
2001-10-05,860.7226972025989
2001-10-08,857.2256899245269
2001-10-09,854.7006983276017
2001-10-10,870.8046120710923
2001-10-11,882.471429195458
2001-10-12,877.9589966000192
2001-10-15,873.1189879134258
2001-10-16,875.4270491960193
2001-10-17,876.5549374449313
2001-10-18,869.1242865801535
2001-10-19,870.7952596824855
2001-10-22,882.4485572313762
2001-10-23,885.0594220071524
2001-10-24,880.9740519552139
2001-10-25,878.3211846099794
2001-10-26,887.0851641340113
2001-10-29,868.7457647571396
2001-10-30,854.7661128376466
2001-10-31,863.9284205571258
2001-11-01,869.5953028741402
2001-11-02,871.3720489357544
2001-11-05,885.18913891082
2001-11-06,888.9323131271196
2001-11-07,886.5550731601552
2001-11-08,895.7255825544578
2001-11-09,894.4068540187097
2001-11-12,888.9939646015426
2001-11-13,908.0899134248784
2001-11-14,904.6368770526749
2001-11-15,903.1952584603102
2001-11-16,901.6698659536602
2001-11-19,910.7246119097282
2001-11-20,907.7700532096245
2001-11-21,911.4900930247503
2001-11-22,911.2744284486893
2001-11-23,916.5546012414384
2001-11-26,913.7977387445932
2001-11-27,908.113165894644
2001-11-28,899.0242679502901
2001-11-29,902.3756004902033
2001-11-30,898.9706457415659
2001-12-03,902.495586150451
2001-12-04,907.8925556457011
2001-12-05,921.3483104522109
2001-12-06,917.1887936584927
2001-12-07,915.8017553446196
2001-12-10,909.0665588830377
2001-12-11,904.7354447840813
2001-12-12,899.9892626227995
2001-12-13,892.2098790239698
2001-12-14,888.4306083435396
2001-12-17,892.021416497462
2001-12-18,898.8852844227888
2001-12-19,903.5387660144186
2001-12-20,905.453491552533
2001-12-21,917.8948375624358
2001-12-24,927.049582802104
2001-12-25,927.8493620966703
2001-12-26,930.10974485315
2001-12-27,929.904491734026
2001-12-28,937.566842124044
2001-12-31,928.9659800830182
2002-01-01,929.0364920641082
2002-01-02,916.6917843416086
2002-01-03,923.1129774671783
2002-01-04,930.119471275393
2002-01-07,929.9046301705497
2002-01-08,926.6405415372831
2002-01-09,928.1326879966415
2002-01-10,923.2746381251017
2002-01-11,924.5286800959518
2002-01-14,919.5016101470767
2002-01-15,927.4978224690283
2002-01-16,927.1239190869684
2002-01-17,932.3436601030471
2002-01-18,926.3113456841834
2002-01-21,927.4193549084498
2002-01-22,929.1196976117795
2002-01-23,931.9079274366376
2002-01-24,937.9287210805144
2002-01-25,950.1586375992536
