Date,ACWI MINIMUM VOLATILITY (JPY)
2001-05-31,1000.0
2001-06-01,1002.296564691801
2001-06-04,1005.2276099647851
2001-06-05,1008.0656591034151
2001-06-06,1003.0749128298299
2001-06-07,1001.2981507655871
2001-06-08,1002.4192951998554
2001-06-11,1003.3151925602125
2001-06-12,993.7660249068109
2001-06-13,990.697898386516
2001-06-14,978.2383153024253
2001-06-15,971.8801892976645
2001-06-18,968.4347521176662
2001-06-19,971.6298693846894
2001-06-20,977.2238825952861
2001-06-21,974.8089651205852
2001-06-22,971.7694038976839
2001-06-25,961.804474927849
2001-06-26,962.03581314689
2001-06-27,957.7373586952195
2001-06-28,967.3227708662226
2001-06-29,974.056551074807
2001-07-02,978.5323472855515
2001-07-03,975.5832604221044
2001-07-04,975.6444859878914
2001-07-05,981.0310265324877
2001-07-06,962.3682807894189
2001-07-09,958.5144576992888
2001-07-10,950.3079295342511
2001-07-11,943.4106796512202
2001-07-12,957.3255514405654
2001-07-13,959.4922708489594
2001-07-16,952.7405992752037
2001-07-17,955.8639214886078
2001-07-18,937.3603391997133
2001-07-19,945.4559071729288
2001-07-20,941.028903045188
2001-07-23,934.818531962275
2001-07-24,922.5441013548242
2001-07-25,923.918184346288
2001-07-26,930.1068518075036
2001-07-27,936.4111320650946
2001-07-30,935.1157780877517
2001-07-31,942.3077785515715
2001-08-01,942.7045444311876
2001-08-02,943.7986238238146
2001-08-03,936.3946761140527
2001-08-06,937.5429978216309
2001-08-07,942.9539075306169
2001-08-08,937.7732180758551
2001-08-09,922.641493054724
2001-08-10,921.0594431996531
2001-08-13,919.5574565552605
2001-08-14,925.497449978754
2001-08-15,918.7560788994451
2001-08-16,916.5818402287292
2001-08-17,908.0415569316597
2001-08-20,911.0003376554787
2001-08-21,913.5312132420771
2001-08-22,909.8838416694725
2001-08-23,914.9136461961563
2001-08-24,919.5161831809925
2001-08-27,922.6890259970806
2001-08-28,915.0124704536536
2001-08-29,909.6140328871928
2001-08-30,900.6265686794059
2001-08-31,901.8716963085434
2001-09-03,899.2127169936258
2001-09-04,920.0466754697853
2001-09-05,918.6570808637321
2001-09-06,908.4284184209168
2001-09-07,890.3890982329751
2001-09-10,887.0720097383484
2001-09-11,874.282049329537
2001-09-12,867.363586590613
2001-09-13,869.673304480226
2001-09-14,854.9620109390729
2001-09-17,839.8151902499131
2001-09-18,836.8673411247521
2001-09-19,824.6559350563869
2001-09-20,808.9022847505549
2001-09-21,796.2460797295435
2001-09-24,807.875863282747
2001-09-25,805.0067121404735
2001-09-26,810.4431782283029
2001-09-27,820.6494169013109
2001-09-28,844.5081385421943
2001-10-01,838.5831366279581
2001-10-02,846.608705479317
2001-10-03,842.8399367386994
2001-10-04,855.2361311982003
2001-10-05,853.2179109576323
2001-10-08,850.6026721115062
2001-10-09,847.1009137735427
2001-10-10,861.7705828867604
2001-10-11,873.434903170745
2001-10-12,870.0578724308182
2001-10-15,864.7788835825462
2001-10-16,867.1551377655566
2001-10-17,869.2702298579876
2001-10-18,861.3071660515265
2001-10-19,863.3611921887166
2001-10-22,872.9761160738993
2001-10-23,876.857675261159
2001-10-24,873.2789711962448
2001-10-25,872.9520103268165
2001-10-26,880.027912262381
2001-10-29,860.8130099248659
2001-10-30,848.1334415358182
2001-10-31,855.0338766826947
2001-11-01,859.0762655192108
2001-11-02,859.3632345488576
2001-11-05,871.6288386917697
2001-11-06,875.729759447356
2001-11-07,871.120727751728
2001-11-08,881.6220157785206
2001-11-09,880.0139493086233
2001-11-12,874.3914694268421
2001-11-13,889.0802949608022
2001-11-14,884.9645445236433
2001-11-15,885.8730510041355
2001-11-16,882.7135202308272
2001-11-19,891.0234023983276
2001-11-20,889.7249452191711
2001-11-21,895.03128632758
2001-11-22,893.756557554002
2001-11-23,898.5115655083753
2001-11-26,897.4323490719096
2001-11-27,891.6909958864052
2001-11-28,881.5444800519167
2001-11-29,885.1859301578169
2001-11-30,883.5111436943928
2001-12-03,885.2044875005671
2001-12-04,890.1126354774553
2001-12-05,903.619207383815
2001-12-06,898.2457267506556
2001-12-07,895.1255751178296
2001-12-10,885.9855476988263
2001-12-11,882.2529893555369
2001-12-12,879.9469305084693
2001-12-13,870.0440986662067
2001-12-14,866.0688542739773
2001-12-17,866.0667401148336
2001-12-18,873.6708414482413
2001-12-19,878.9332214708002
2001-12-20,881.6029239707127
2001-12-21,891.6476262797242
2001-12-24,900.2234701096351
2001-12-25,900.1603056850003
2001-12-26,900.995863737966
2001-12-27,900.803518579319
2001-12-28,910.0133331919482
2001-12-31,901.8304258943203
2002-01-01,901.8127528192334
2002-01-02,888.5054562274776
2002-01-03,894.0914707962787
2002-01-04,903.1868870914147
2002-01-07,903.461960370874
2002-01-08,896.7939740935557
2002-01-09,897.7124056945908
2002-01-10,891.0061424130878
2002-01-11,891.7487989848944
2002-01-14,887.1915999164329
2002-01-15,892.6959994446426
2002-01-16,893.3029104743629
2002-01-17,898.3073811539805
2002-01-18,894.953822318996
2002-01-21,896.1763802180641
2002-01-22,894.0953118978646
2002-01-23,895.9195791787481
2002-01-24,901.9982591788614
2002-01-25,915.1214119383176
2002-01-28,919.9910041795806
2002-01-29,908.0035647686989
2002-01-30,907.3192980065998
2002-01-31,918.8696738584205
2002-02-01,916.7371695512425
2002-02-04,906.2640935211621
2002-02-05,900.5179465472321
2002-02-06,897.4438541930108
2002-02-07,896.6472597912625
2002-02-08,900.1716474471096
2002-02-11,901.9926803900448
2002-02-12,906.4855396742236
2002-02-13,915.5673154342919
2002-02-14,923.5910100533523
2002-02-15,918.9115278867912
2002-02-18,920.9105394684551
2002-02-19,905.2484369779207
2002-02-20,909.7993445035988
2002-02-21,911.2947553170851
2002-02-22,910.8181390105016
2002-02-25,919.7233416536595
2002-02-26,923.008400584272
2002-02-27,934.575422133015
2002-02-28,933.9606305163751
2002-03-01,943.5093405655169
2002-03-04,954.2386494696334
2002-03-05,951.2585647382504
2002-03-06,953.4741696994416
2002-03-07,950.8690476910853
2002-03-08,953.4559136826063
2002-03-11,958.6809437531788
2002-03-12,960.1144952833773
2002-03-13,952.8399441442348
2002-03-14,950.0876255648326
2002-03-15,954.4744206645182
2002-03-18,955.9631523950027
2002-03-19,960.3059035245793
