Date,KUKJE (ACWI ex KOREA) IMI GROWTH
2002-05-31,1000.0
2002-06-03,984.9123057591844
2002-06-04,980.6875503320816
2002-06-05,983.1781647134608
2002-06-06,972.7324965965664
2002-06-07,965.0268063428379
2002-06-10,967.1283709392692
2002-06-11,957.4602634047674
2002-06-12,954.4243149384481
2002-06-13,944.0212287524116
2002-06-14,936.8526933703434
2002-06-17,958.0896369316986
2002-06-18,957.8441833749798
2002-06-19,943.4857783181945
2002-06-20,932.4506098036557
2002-06-21,920.4493836462149
2002-06-24,920.4888909192143
2002-06-25,912.9828705748307
2002-06-26,911.5594222083064
2002-06-27,924.6474808365142
2002-06-28,933.2799974247752
2002-07-01,918.2047297380167
2002-07-02,896.1387476198995
2002-07-03,895.0631438579293
2002-07-04,899.2431173738846
2002-07-05,929.8584461091813
2002-07-08,924.1425722575751
2002-07-09,911.4123978820568
2002-07-10,884.1094865414756
2002-07-11,879.9403840858654
2002-07-12,881.1691785352743
2002-07-15,871.2564467840413
2002-07-16,862.9605456785611
2002-07-17,873.2982747991326
2002-07-18,864.2159788650318
2002-07-19,835.6380940612689
2002-07-22,808.3803964078268
2002-07-23,788.4352827020209
2002-07-24,809.2306198463923
2002-07-25,810.1079064430484
2002-07-26,811.7830261491771
2002-07-29,847.8782866930401
2002-07-30,853.6266871915699
2002-07-31,852.1817068404363
2002-08-01,829.2323587591053
2002-08-02,817.9685147845292
2002-08-05,793.1459431494861
2002-08-06,808.5335086149214
2002-08-07,820.6678220985197
2002-08-08,842.8764398842625
2002-08-09,848.7925394262669
2002-08-12,841.8804468796836
2002-08-13,832.58316007874
2002-08-14,851.6943366145495
2002-08-15,864.6551798730939
2002-08-16,869.297997238967
2002-08-19,883.226513239721
2002-08-20,872.7046725326225
2002-08-21,883.7953931140472
2002-08-22,894.3733547954836
2002-08-23,879.0111563330453
2002-08-26,881.5149466310712
2002-08-27,874.3305393658558
2002-08-28,855.2280661349838
2002-08-29,852.661026175316
2002-08-30,851.1532499400182
2002-09-02,847.1111477435718
2002-09-03,819.2612436420874
2002-09-04,828.1142439628748
2002-09-05,818.8976258034783
2002-09-06,832.5548749639303
2002-09-09,835.8473098743723
2002-09-10,844.2878276542916
2002-09-11,848.5308373631864
2002-09-12,829.5275183211268
2002-09-13,826.2155051350593
2002-09-16,823.1491597862968
2002-09-17,813.5981613298198
2002-09-18,805.6784373538349
2002-09-19,789.0376213017962
2002-09-20,787.3713285063725
2002-09-23,771.737324594254
2002-09-24,762.1846124172802
2002-09-25,777.5419204514558
2002-09-26,792.6298392191051
2002-09-27,780.0861336723592
2002-09-30,766.347940819905
2002-10-01,782.7255107770519
2002-10-02,778.293846898236
2002-10-03,770.7954577894208
2002-10-04,756.5523267359648
2002-10-07,741.6087580643108
2002-10-08,747.1832995987918
2002-10-09,734.9649280226097
2002-10-10,751.2698011845562
2002-10-11,779.0515104838537
2002-10-14,782.3297756170347
2002-10-15,817.8891660383396
2002-10-16,800.4918142557132
2002-10-17,818.1870482193618
2002-10-18,821.647761481885
2002-10-21,829.2308638412201
2002-10-22,820.4676818532416
2002-10-23,820.1806477075321
2002-10-24,815.8407982126927
2002-10-25,827.0072983558978
2002-10-28,825.6047403536344
2002-10-29,814.0558189782978
2002-10-30,823.2254598867378
2002-10-31,825.219991133218
2002-11-01,832.4171833295654
2002-11-04,845.4200720851029
2002-11-05,851.6163132601818
2002-11-06,855.1291050926874
2002-11-07,842.9372868584463
2002-11-08,834.1440964681207
2002-11-11,818.5907955073031
2002-11-12,827.9128397321957
2002-11-13,827.0210850241062
2002-11-14,843.4019474629293
2002-11-15,848.6512215141158
2002-11-18,843.7184255882705
2002-11-19,838.2596798367023
