Date,AC ASIA PACIFIC IMI GROWTH
1994-05-31,959.6630526025049
1994-06-30,996.1205718202716
1994-07-29,974.7954763833773
1994-08-31,992.8523949557277
1994-09-30,968.0067052073914
1994-10-31,987.9167774509874
1994-11-30,921.0770369146553
1994-12-30,931.5098976967669
1995-01-31,872.3983335683605
1995-02-28,837.9097622606226
1995-03-31,892.9743845748659
1995-04-28,929.3154220179057
1995-05-31,894.800719701409
1995-06-30,857.1980814983377
1995-07-31,915.1263335359362
1995-08-31,880.6125099300615
1995-09-29,885.1158911571915
1995-10-31,844.731792526482
1995-11-30,878.1203381257344
1995-12-29,917.9706544647854
1996-01-31,915.4477084642228
1996-02-29,905.6290761992824
1996-03-29,934.2221843409728
1996-04-30,986.3086767733867
1996-05-31,951.973216389694
1996-06-28,947.0582717222497
1996-07-31,892.0583239771156
1996-08-30,872.7265239299701
1996-09-30,890.7904155009826
1996-10-31,845.01015442032
1996-11-29,851.4915572202569
1996-12-31,805.5806730466088
1997-01-01,805.6470195631475
1997-01-02,806.1074816315655
1997-01-03,804.4730374092593
1997-01-06,811.5239405154152
1997-01-07,804.4546320189118
1997-01-08,796.8226981344174
1997-01-09,779.0719523234384
1997-01-10,761.2018217536965
1997-01-13,774.294745540709
1997-01-14,772.1898817580698
1997-01-15,774.9456846551064
1997-01-16,781.7138348491023
1997-01-17,776.836237034397
1997-01-20,764.7899903429228
1997-01-21,759.0768802137401
1997-01-22,765.2637365889831
1997-01-23,758.2056376943098
1997-01-24,754.5670227896483
1997-01-27,741.7723096168056
1997-01-28,739.904995527613
1997-01-29,743.734206328723
1997-01-30,737.3427552962575
1997-01-31,746.8255895273073
1997-02-03,745.2887477014735
1997-02-04,746.254294983738
1997-02-05,735.5663445846826
1997-02-06,733.3947526654945
1997-02-07,725.6452194538903
1997-02-10,736.7021677792286
1997-02-11,735.7651315636742
1997-02-12,738.1777872018504
1997-02-13,741.9923555650281
1997-02-14,744.855235498927
1997-02-17,745.4129450135396
1997-02-18,741.4715710063582
1997-02-19,742.1308900198476
1997-02-20,759.2749892699449
1997-02-21,767.9288441386119
1997-02-24,769.5799374538541
1997-02-25,771.2628787516895
1997-02-26,766.8023291322475
1997-02-27,771.0356910859955
1997-02-28,762.524854867603
1997-03-03,758.2759615299166
1997-03-04,757.8446585407396
1997-03-05,753.7001217093875
1997-03-06,745.4264126260066
1997-03-07,746.4897031944028
1997-03-10,744.9190622090446
1997-03-11,748.4488482400479
1997-03-12,742.7227792899887
1997-03-13,734.1238498880091
1997-03-14,730.6584809284799
1997-03-17,731.8958335931643
1997-03-18,739.9703031010198
1997-03-19,740.3269007561114
1997-03-20,736.8678279374526
1997-03-21,743.7348191936786
1997-03-24,737.5046430732264
1997-03-25,738.5288435322802
1997-03-26,741.2015739905196
1997-03-27,738.1431028921568
1997-03-28,735.0544943021875
1997-03-31,730.0278528305101
1997-04-01,726.600950100961
