Date,ACWI ex AUSTRALIA IMI GROWTH
2007-05-31,1000.0
2007-06-01,1006.25417632211
2007-06-04,1009.4645102948842
2007-06-05,1006.6318982624516
2007-06-06,995.1161359880883
2007-06-07,980.8123879009487
2007-06-08,980.8946667163615
2007-06-11,984.6138647597685
2007-06-12,977.2328774626877
2007-06-13,984.292187479565
2007-06-14,994.92404363991
2007-06-15,1005.7001104439987
2007-06-18,1007.2165362120578
2007-06-19,1006.4733516447542
2007-06-20,1001.9885845790075
2007-06-21,1002.7197209681558
2007-06-22,996.7061151299669
2007-06-25,992.3975135773748
2007-06-26,988.3175018690207
2007-06-27,990.3745500283079
2007-06-28,995.712263029781
2007-06-29,999.3985686530325
2007-07-02,1009.6628190645127
2007-07-03,1015.5654410939583
2007-07-04,1018.4596526049495
2007-07-05,1018.7314418807622
2007-07-06,1024.1609194501984
2007-07-09,1027.8327018179775
2007-07-10,1021.4231230624882
2007-07-11,1023.8307639611775
2007-07-12,1036.959407381556
2007-07-13,1042.2836528184287
2007-07-16,1040.2815976913691
2007-07-17,1039.5814785904329
2007-07-18,1035.3543752570963
2007-07-19,1044.3787349596023
2007-07-20,1038.6417559673857
2007-07-23,1041.1537531688361
2007-07-24,1028.2186245035446
2007-07-25,1021.9276404310937
2007-07-26,1000.2143628001019
2007-07-27,984.7796005361823
2007-07-30,992.5376033420893
2007-07-31,994.1697168508293
2007-08-01,986.0416379696269
2007-08-02,992.5518779978817
2007-08-03,980.6429005887965
2007-08-06,983.2329264545332
2007-08-07,986.7692478284574
2007-08-08,1004.2992666972274
2007-08-09,986.0405347155321
2007-08-10,970.9150846372843
2007-08-13,976.0116653199423
2007-08-14,961.5456109921889
2007-08-15,945.7366237190953
2007-08-16,924.8652718139792
2007-08-17,936.0079429922991
2007-08-20,944.8139038197294
2007-08-21,948.4288499292406
2007-08-22,963.2332309934684
2007-08-23,968.6168244138951
2007-08-24,978.3289551434581
2007-08-27,977.6111890333823
2007-08-28,961.8852141120344
2007-08-29,972.4143076376984
2007-08-30,976.9358215207599
2007-08-31,992.388633541527
2007-09-03,993.2329403469953
2007-09-04,999.1491276896556
2007-09-05,989.8155954564114
2007-09-06,995.8116939768312
2007-09-07,983.0412245909358
2007-09-10,976.3052238446143
2007-09-11,990.5274115012057
2007-09-12,992.5027110378664
2007-09-13,997.212665228386
2007-09-14,996.1845118305564
2007-09-17,987.9775520628071
2007-09-18,1003.7718819706967
2007-09-19,1022.6757727412997
2007-09-20,1023.796828942894
2007-09-21,1028.226353030919
2007-09-24,1029.3731884113422
2007-09-25,1029.0413731401504
2007-09-26,1034.5609187081002
2007-09-27,1044.8632092548064
2007-09-28,1047.3440451046065
2007-10-01,1056.8729804055408
2007-10-02,1059.378204677205
2007-10-03,1056.1347389262648
2007-10-04,1055.6432021015949
2007-10-05,1067.531178835638
2007-10-08,1064.6332127351836
2007-10-09,1072.732078912247
2007-10-10,1077.8996881816133
2007-10-11,1081.0144224070345
2007-10-12,1081.0906961946087
2007-10-15,1076.398980823569
2007-10-16,1066.0489399171322
2007-10-17,1071.3676304763615
2007-10-18,1074.9448246377463
2007-10-19,1056.2292599623754
2007-10-22,1046.7512313534485
2007-10-23,1062.9944179537363
2007-10-24,1059.2608040744456
2007-10-25,1064.8389348433516
2007-10-26,1079.249785332931
2007-10-29,1088.9796574319741
2007-10-30,1084.006524469932
2007-10-31,1096.8346165048924
2007-11-01,1082.0697752569577
2007-11-02,1081.5970737186358
2007-11-05,1073.0913215254516
2007-11-06,1085.826988188605
2007-11-07,1073.835839001069
2007-11-08,1065.4797453949375
2007-11-09,1048.9815665468725
2007-11-12,1028.9743810334191
2007-11-13,1043.538272086268
2007-11-14,1050.5483487069398
2007-11-15,1037.6287961640583
2007-11-16,1035.5052488355539
2007-11-19,1017.5781408661984
2007-11-20,1027.1123959910901
2007-11-21,1007.2106818236493
2007-11-22,1010.0077930996849
