Date,AC FAR EAST IMI GROWTH
1994-05-31,1150.3613542754895
1994-06-30,1198.4405366244396
1994-07-29,1168.605952405064
1994-08-31,1187.4763028477003
1994-09-30,1159.7230007155626
1994-10-31,1183.9934161723638
1994-11-30,1101.3472791605268
1994-12-30,1115.3651141374191
1995-01-31,1045.3937483601287
1995-02-28,1001.5400808848077
1995-03-31,1072.4641807776707
1995-04-28,1115.3037673559113
1995-05-31,1071.7701254391247
1995-06-30,1024.9784360745114
1995-07-31,1093.0691271881103
1995-08-31,1049.470535799982
1995-09-29,1056.6065101985762
1995-10-31,1006.6121192339092
1995-11-30,1050.3231119490033
1995-12-29,1099.78363601654
1996-01-31,1096.6709890405132
1996-02-29,1079.4286531527473
1996-03-29,1115.244664672992
1996-04-30,1176.4694578650556
1996-05-31,1134.0832612995896
1996-06-28,1128.6636388397599
1996-07-31,1063.4158281239065
1996-08-30,1036.2531456078507
1996-09-30,1061.4779927966333
1996-10-31,1001.6325440145268
1996-11-29,1010.0112351329
1996-12-31,951.7507732416458
1997-01-01,951.8352144572827
1997-01-02,952.4807001659772
1997-01-03,950.4205175633339
1997-01-06,959.3667376329009
1997-01-07,950.3865030583491
1997-01-08,940.7356341929966
1997-01-09,917.589482187347
1997-01-10,894.3462672879318
1997-01-13,910.8765219719402
1997-01-14,908.1180244961429
1997-01-15,910.5401846668709
1997-01-16,919.5557974425269
1997-01-17,913.6194493665386
1997-01-20,898.4514213264725
1997-01-21,891.6776273708982
1997-01-22,899.4680776930919
1997-01-23,891.0391567782339
1997-01-24,886.8200172542855
1997-01-27,870.1043353805388
1997-01-28,868.3059361873916
1997-01-29,873.0960375227089
1997-01-30,865.4235512295359
1997-01-31,878.0601230786023
1997-02-03,876.0010537644029
1997-02-04,877.6615497345077
1997-02-05,863.6501012433811
1997-02-06,860.5955300840881
1997-02-07,850.7750503193857
1997-02-10,865.1200570246377
1997-02-11,863.485528330527
1997-02-12,866.4816226628875
1997-02-13,870.1307182801701
1997-02-14,874.1963447105329
1997-02-17,874.5108338998325
1997-02-18,869.7831503475268
1997-02-19,870.9415193786768
1997-02-20,892.8365593560226
1997-02-21,903.6021323688342
1997-02-24,905.9298773527056
1997-02-25,907.7161583149938
1997-02-26,902.590377454084
1997-02-27,908.0637481653262
1997-02-28,896.8676226826074
1997-03-03,890.187543210231
1997-03-04,888.7792956258651
1997-03-05,883.6939963845504
1997-03-06,873.0720351328698
1997-03-07,874.4154992079193
1997-03-10,872.5698887537932
1997-03-11,876.6023533747687
1997-03-12,869.3040716255609
