Date,AC PACIFIC ex JAPAN IMI GROWTH
1994-05-31,554.3077178236427
1994-06-30,528.0120151355427
1994-07-29,552.8424856279684
1994-08-31,592.1462570483197
1994-09-30,585.7144001785675
1994-10-31,595.963058375581
1994-11-30,547.8859147778895
1994-12-30,535.7560134522712
1995-01-31,489.0618403067628
1995-02-28,519.804594944167
1995-03-31,522.8196978799042
1995-04-28,529.0710939162542
1995-05-31,571.0210795636345
1995-06-30,564.3170023233785
1995-07-31,584.7041944834274
1995-08-31,567.8221402008412
1995-09-29,573.3446949701884
1995-10-31,566.3410703493989
1995-11-30,560.9425029371982
1995-12-29,586.3393662182893
1996-01-31,630.0466767002266
1996-02-29,632.970746621119
1996-03-29,635.4479634682413
1996-04-30,655.2087050172792
1996-05-31,658.3583699301182
1996-06-28,644.4613849349724
1996-07-31,596.1028406054113
1996-08-30,619.4725100166381
1996-09-30,628.0411141517576
1996-10-31,625.1352406372304
1996-11-29,653.8979491943709
1996-12-31,651.6507961918047
1997-01-01,651.8254269537115
1997-01-02,647.2417061715975
1997-01-03,649.0285077434012
1997-01-06,652.379555964263
1997-01-07,654.078139965208
1997-01-08,657.452850783359
1997-01-09,654.7198629103234
1997-01-10,654.2273266402626
1997-01-13,653.2397119733106
1997-01-14,651.9375208891717
1997-01-15,660.7163531281907
1997-01-16,662.9918580389879
1997-01-17,665.1383109600773
1997-01-20,669.0473117615071
1997-01-21,664.8712106035445
1997-01-22,666.4271060936871
1997-01-23,665.778288811822
1997-01-24,663.7214301400509
1997-01-27,659.5114626112327
1997-01-28,657.9765278374481
1997-01-29,656.8303567659983
1997-01-30,656.6731433621104
1997-01-31,656.2201711739141
1997-02-03,657.6171518099717
1997-02-04,656.6351157327999
1997-02-05,658.918732661009
1997-02-06,659.9210183823518
1997-02-07,659.6778416648943
1997-02-10,657.9021221916195
1997-02-11,657.3507192125496
1997-02-12,659.3645342756103
1997-02-13,662.0407971937784
1997-02-14,659.7238271994445
1997-02-17,661.2312542938495
1997-02-18,656.8592329685191
1997-02-19,660.5761275005985
1997-02-20,666.4734518920909
1997-02-21,667.4291839871951
1997-02-24,665.2327123372258
1997-02-25,667.9333748265125
1997-02-26,665.9787614838909
1997-02-27,664.6533435083005
1997-02-28,663.2195641028696
1997-03-03,661.3483276401761
1997-03-04,661.4852207057542
1997-03-05,658.6546387041043
1997-03-06,657.7833476117029
1997-03-07,658.425734836129
1997-03-10,656.695865833302
1997-03-11,659.5537736475823
1997-03-12,656.974627498368
1997-03-13,651.2911776573034
1997-03-14,644.4537904502298
1997-03-17,645.9453106865141
1997-03-18,641.6019987356301
1997-03-19,639.8450564433334
1997-03-20,637.3388610844378
1997-03-21,631.015528795328
1997-03-24,632.5277496025496
1997-03-25,635.4545834793859
1997-03-26,636.5467620507701
1997-03-27,635.1811796014189
1997-03-28,635.6334786625902
1997-03-31,632.7533457625383
1997-04-01,624.7418356370232
1997-04-02,625.8376853530604
1997-04-03,620.1852287323238
1997-04-04,621.3126050774773
1997-04-07,621.5238619235033
