Date,MEXICO IMI HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,978.3809592977155
1999-01-05,963.9100875082988
1999-01-06,966.5904343476099
1999-01-07,960.7757538624595
1999-01-08,962.991475784861
1999-01-11,943.3495232456523
1999-01-12,891.6891547896544
1999-01-13,804.8646206460317
1999-01-14,805.061882192434
1999-01-15,896.4795207171924
1999-01-18,904.8179876067271
1999-01-19,893.3482073710495
1999-01-20,932.7007838266703
1999-01-21,919.5579022773335
1999-01-22,912.2876986771718
1999-01-25,913.77756099155
1999-01-26,931.2474809082497
1999-01-27,957.3439426650058
1999-01-28,1001.5770569196133
1999-01-29,1012.3105107005906
1999-02-01,1039.460753199843
1999-02-02,1033.0335072351197
1999-02-03,1035.8314556577889
1999-02-04,1047.2201618873655
1999-02-05,1049.3658225217391
1999-02-08,1053.6864719417383
1999-02-09,1037.3864691368406
1999-02-10,1036.5521736799633
1999-02-11,1079.200407000294
1999-02-12,1077.5601967634664
1999-02-15,1081.56439855955
1999-02-16,1097.2989108019626
1999-02-17,1080.7111440648437
1999-02-18,1083.802888870138
1999-02-19,1107.600791049143
1999-02-22,1129.8498293143077
1999-02-23,1133.8815314216727
1999-02-24,1150.5221652821765
1999-02-25,1145.989534828279
1999-02-26,1154.647866983223
1999-03-01,1151.5755371398102
1999-03-02,1144.9821083377894
1999-03-03,1131.1493877981666
1999-03-04,1161.5665438451008
1999-03-05,1183.123801782198
1999-03-08,1218.265687759482
1999-03-09,1246.1865423261488
1999-03-10,1288.8850384173477
1999-03-11,1300.3093771747133
1999-03-12,1289.9728173959786
1999-03-15,1315.4940129086372
1999-03-16,1349.5790300482417
1999-03-17,1329.9704182870275
1999-03-18,1338.8482124465534
1999-03-19,1314.3682947981374
1999-03-22,1303.2031544639522
1999-03-23,1283.323026836049
1999-03-24,1326.4545914921734
1999-03-25,1343.5685653375706
1999-03-26,1362.4705756629962
1999-03-29,1405.8197528141425
1999-03-30,1411.7640203676722
1999-03-31,1427.281619910205
1999-04-01,1423.5899624511203
1999-04-02,1430.2095985487506
1999-04-05,1505.7051300440025
1999-04-06,1506.6602717988771
1999-04-07,1497.6124404220434
1999-04-08,1505.425713161527
1999-04-09,1505.1957147151984
1999-04-12,1525.9827134204493
1999-04-13,1522.8175195401018
1999-04-14,1517.8773143013289
1999-04-15,1585.9550587774788
1999-04-16,1608.6909126723997
1999-04-19,1621.8070532001066
1999-04-20,1603.989566440876
1999-04-21,1614.2533478229427
1999-04-22,1665.669338061238
1999-04-23,1661.515571431053
1999-04-26,1633.3659820614482
1999-04-27,1612.6006951038453
1999-04-28,1642.4743772599325
1999-04-29,1658.6061647465087
1999-04-30,1637.9335790261443
1999-05-03,1674.5718357668377
1999-05-04,1636.4059486129954
1999-05-05,1625.678934856109
1999-05-06,1661.5209772837181
1999-05-07,1709.033638901333
1999-05-10,1722.670841726529
1999-05-11,1724.3672292008853
1999-05-12,1686.8018013947571
1999-05-13,1738.7923459139568
1999-05-14,1685.1852188112268
1999-05-17,1679.8798670896404
1999-05-18,1690.7698376628848
1999-05-19,1657.3388227740566
1999-05-20,1672.7323347459135
1999-05-21,1623.2680626712227
1999-05-24,1587.9300801242189
1999-05-25,1526.3548372853131
1999-05-26,1609.0880161791429
1999-05-27,1530.8039195012132
1999-05-28,1537.9069624598467
1999-05-31,1551.2146213172039
1999-06-01,1533.3652856139477
1999-06-02,1545.7143140506766
1999-06-03,1541.5488568096882
1999-06-04,1570.6003479662393
1999-06-07,1598.4871303457667
1999-06-08,1562.543623783821
1999-06-09,1545.6171726794225
1999-06-10,1522.2246461596549
1999-06-11,1486.8577703086148
1999-06-14,1471.2788730871905
1999-06-15,1516.575168060717
1999-06-16,1625.9385058884288
1999-06-17,1645.9411597965038
1999-06-18,1649.7340454785767
1999-06-21,1692.6959760009108
1999-06-22,1698.5377342362015
1999-06-23,1655.7309671644603
1999-06-24,1615.9972358429343
1999-06-25,1581.0213265467362
1999-06-28,1627.4758427206903
1999-06-29,1657.836012237539
1999-06-30,1724.6532707042402
1999-07-01,1751.760465436141
1999-07-02,1775.8377953880188
1999-07-05,1799.2615597962592
1999-07-06,1792.4036643971276
1999-07-07,1791.7160244352303
1999-07-08,1784.1516246470007
1999-07-09,1780.7855509644164
1999-07-12,1745.3243534353478
1999-07-13,1767.910788237677
1999-07-14,1780.3643076178328
1999-07-15,1776.8352248790115
1999-07-16,1778.8996655112044
1999-07-19,1815.592086404663
1999-07-20,1739.3221564256378
1999-07-21,1736.0834988295626
1999-07-22,1699.7841776345197
1999-07-23,1644.0450581096732
1999-07-26,1563.4750879430244
1999-07-27,1567.4664970271365
1999-07-28,1584.8652414487703
1999-07-29,1510.7496805017845
1999-07-30,1499.8260555968006
1999-08-02,1470.59633646465
1999-08-03,1480.949252879054
