Date,TAIWAN IMI HIGH DIVIDEND YIELD
2010-05-26,1000.0
2010-05-27,1008.6448513580802
2010-05-28,1019.5185044072553
2010-05-31,1034.3293799858207
2010-06-01,1017.6769097579974
2010-06-02,1009.458861968331
2010-06-03,1029.9300064138192
2010-06-04,1040.924105247674
2010-06-07,1019.4059363116866
2010-06-08,1018.8517439831461
2010-06-09,1001.8141617655195
2010-06-10,1009.0206224685519
2010-06-11,1025.0757113367579
2010-06-14,1021.809535768439
2010-06-15,1026.2365117508145
2010-06-16,1025.5282739925321
2010-06-17,1033.1106209889274
2010-06-18,1035.8628863275867
2010-06-21,1066.6664944387066
2010-06-22,1068.4757738251396
2010-06-23,1060.9390256824156
2010-06-24,1057.9324627509764
2010-06-25,1045.0864472413107
2010-06-28,1036.9172974491007
2010-06-29,1042.9180278345373
2010-06-30,1027.9806063046756
2010-07-01,1000.2775815232189
2010-07-02,995.9632533209053
2010-07-05,1021.1988679095604
2010-07-06,1030.0993724690525
2010-07-07,1036.6576442865849
2010-07-08,1056.0975577862914
2010-07-09,1068.860458300959
2010-07-12,1072.6399992961503
2010-07-13,1057.0784787108819
2010-07-14,1068.9920473066827
2010-07-15,1056.6870966153135
2010-07-16,1045.5255637359544
2010-07-19,1048.0303159948637
2010-07-20,1067.0045901255883
2010-07-21,1066.463186766018
2010-07-22,1047.6209710962469
2010-07-23,1065.1537402361616
2010-07-26,1065.167537089131
2010-07-27,1065.8534151853685
2010-07-28,1071.3943570007866
2010-07-29,1076.0829275963724
2010-07-30,1076.8170878140795
2010-08-02,1089.799258946412
2010-08-03,1083.1778851287224
2010-08-04,1087.6693339795631
2010-08-05,1079.75868064784
2010-08-06,1066.0534741800689
2010-08-09,1072.2781143223988
2010-08-10,1075.8397984364021
2010-08-11,1081.2636230544035
2010-08-12,1075.3503732117535
2010-08-13,1095.6759854880531
2010-08-16,1096.9912901608066
2010-08-17,1092.3489179997296
2010-08-18,1099.1230546874683
2010-08-19,1106.48151193325
2010-08-20,1119.9915167915913
2010-08-23,1132.3035107960673
2010-08-24,1125.3079476665757
2010-08-25,1104.4965204986502
2010-08-26,1089.2834539370924
2010-08-27,1093.3134836161694
2010-08-30,1093.1257987012186
2010-08-31,1070.784387888798
2010-09-01,1068.8305595752543
2010-09-02,1068.9639673782285
2010-09-03,1086.2972043160962
2010-09-06,1097.9733095513848
2010-09-07,1111.9312717727705
2010-09-08,1106.3372204367772
2010-09-09,1114.7367430458921
2010-09-10,1124.2892691479103
2010-09-13,1143.3808358940216
2010-09-14,1145.8685733859588
2010-09-15,1141.5090746581045
2010-09-16,1130.697479101761
2010-09-17,1144.62416353725
2010-09-20,1139.5268704929883
2010-09-21,1132.718614324536
2010-09-22,1109.1546212293158
2010-09-23,1120.8070519966693
2010-09-24,1103.2816262336496
2010-09-27,1104.2572195297962
2010-09-28,1100.3297691355413
2010-09-29,1111.2049503289284
2010-09-30,1108.8276096284999
2010-10-01,1108.4281421515404
2010-10-04,1112.152876856379
2010-10-05,1088.5945679967729
2010-10-06,1099.9459434582152
2010-10-07,1101.3670292974166
2010-10-08,1088.8591150996
2010-10-11,1093.498112275978
2010-10-12,1081.6136405068369
2010-10-13,1070.0043911250186
2010-10-14,1081.8069475438174
2010-10-15,1085.1317211261753
2010-10-18,1060.3453470501834
2010-10-19,1075.0358079818427
2010-10-20,1077.4094332886514
2010-10-21,1082.3285284204087
2010-10-22,1093.7845307862865
2010-10-25,1111.5775672321672
2010-10-26,1119.1510091144198
2010-10-27,1117.5657350746003
2010-10-28,1126.5067077359556
2010-10-29,1123.461077369828
2010-11-01,1150.0087087054824
2010-11-02,1132.7518671829266
2010-11-03,1132.105650614962
2010-11-04,1126.7767844127686
2010-11-05,1151.7933543377915
2010-11-08,1157.7587787528298
2010-11-09,1160.3961612003227
2010-11-10,1184.9204157900592
2010-11-11,1187.3338444775939
2010-11-12,1170.8066894071183
2010-11-15,1178.2030447679347
2010-11-16,1192.78132923833
2010-11-17,1180.6397419039704
2010-11-18,1181.078269982426
2010-11-19,1190.339301225015
2010-11-22,1217.1480819337398
2010-11-23,1214.6971913958073
2010-11-24,1208.1422505807454
2010-11-25,1225.8124123670218
2010-11-26,1240.1433782692213
2010-11-29,1258.1857229849302
2010-11-30,1259.0036038095704
2010-12-01,1267.6041517610747
2010-12-02,1270.5318663212051
2010-12-03,1264.4045732486898
2010-12-06,1290.2976007641353
2010-12-07,1285.9259166282773
2010-12-08,1298.1163962243327
2010-12-09,1316.106466146631
2010-12-10,1306.562557132922
2010-12-13,1294.04963126069
2010-12-14,1297.3207359965825
2010-12-15,1302.3910038450392
2010-12-16,1318.2646269583784
2010-12-17,1335.2454065470681
2010-12-20,1328.5538181274176
2010-12-21,1330.6559040989675
2010-12-22,1338.2880323474167
2010-12-23,1342.6588910576193
2010-12-24,1340.1768561931653
2010-12-27,1342.656772414082
