Date,KOREA IMI HIGH DIVIDEND YIELD
2010-05-26,1000.0
2010-05-27,1028.3150907359404
2010-05-28,1059.2050638097483
2010-05-31,1080.5696310809265
2010-06-01,1074.15305149953
2010-06-02,1081.724019202596
2010-06-03,1111.0090089821165
2010-06-04,1124.170383391172
2010-06-07,1087.3635443469436
2010-06-08,1092.1591945773098
2010-06-09,1072.1943354354723
2010-06-10,1067.0110790522842
2010-06-11,1083.733759014116
2010-06-14,1097.7931572235657
2010-06-15,1085.5972169833788
2010-06-16,1102.212488579912
2010-06-17,1097.7940049725287
2010-06-18,1111.8056665729432
2010-06-21,1154.1114688226191
2010-06-22,1143.6982889799308
2010-06-23,1142.1570106811655
2010-06-24,1137.5482358345294
2010-06-25,1108.842986577108
2010-06-28,1120.9009276392994
2010-06-29,1112.9991808548443
2010-06-30,1097.9120723145525
2010-07-01,1070.4894571809798
2010-07-02,1062.5309292552747
2010-07-05,1081.3949132159619
2010-07-06,1061.8100554033524
2010-07-07,1057.196122764526
2010-07-08,1077.1855567678192
2010-07-09,1097.402761221748
2010-07-12,1096.0545744373624
2010-07-13,1086.2584827425849
2010-07-14,1100.9341769005327
2010-07-15,1085.113093314646
2010-07-16,1079.5503818418922
2010-07-19,1061.0609045374806
2010-07-20,1082.657521313094
2010-07-21,1091.2818727572771
2010-07-22,1080.2343069649182
2010-07-23,1104.9380389771609
2010-07-26,1107.050630424192
2010-07-27,1110.8125545363512
2010-07-28,1106.1246208313105
2010-07-29,1102.291571214077
2010-07-30,1107.6919250306992
2010-08-02,1104.228179318121
2010-08-03,1102.1877622339202
2010-08-04,1113.271971657858
2010-08-05,1115.9719921115902
2010-08-06,1122.0242591590268
2010-08-09,1137.4671406571229
2010-08-10,1137.7030592237904
2010-08-11,1133.492754110715
2010-08-12,1113.113209952255
2010-08-13,1135.689088500527
2010-08-16,1122.710463107858
2010-08-17,1137.2431375017843
2010-08-18,1147.1668501450706
2010-08-19,1153.1818171631026
2010-08-20,1161.7300264305786
2010-08-23,1161.1465051828768
2010-08-24,1149.484505401949
2010-08-25,1138.2178666652362
2010-08-26,1135.5008844944193
2010-08-27,1132.827337930362
2010-08-30,1153.898604335867
2010-08-31,1133.9588675540322
2010-09-01,1152.2459517718742
2010-09-02,1162.763933710376
2010-09-03,1175.8702307815556
2010-09-06,1177.6789913995901
2010-09-07,1174.9264024172394
2010-09-08,1173.5160468752883
2010-09-09,1187.1766689121703
2010-09-10,1202.9130857164837
2010-09-13,1206.8308117023782
2010-09-14,1202.6929048881323
2010-09-15,1209.5688738764602
2010-09-16,1204.125590203454
2010-09-17,1216.8146656937533
2010-09-20,1209.866107086086
2010-09-21,1205.44398082375
2010-09-22,1180.3670788627594
2010-09-23,1187.3166637791867
2010-09-24,1197.4659484012943
2010-09-27,1222.2207607417256
2010-09-28,1216.3045162507608
2010-09-29,1215.8485484769053
2010-09-30,1215.2547336095306
2010-10-01,1219.399975016379
2010-10-04,1223.142121534777
2010-10-05,1212.1216729361133
2010-10-06,1236.3098043372515
2010-10-07,1248.131433630224
2010-10-08,1247.3430449488492
2010-10-11,1247.448541558147
2010-10-12,1220.8345736127883
2010-10-13,1233.5528107068114
2010-10-14,1241.730303208857
2010-10-15,1243.85718887865
2010-10-18,1218.4034700730972
2010-10-19,1213.2513248866376
2010-10-20,1209.9304646413884
2010-10-21,1211.2311003720836
2010-10-22,1241.0908030359653
2010-10-25,1254.5498505783391
2010-10-26,1271.5614028145214
2010-10-27,1261.4021527594773
2010-10-28,1259.5753697787457
2010-10-29,1248.7740964457223
2010-11-01,1277.8757513250248
2010-11-02,1275.7319529690942
2010-11-03,1293.7620440933986
2010-11-04,1269.6249510158464
2010-11-05,1271.4954756389623
2010-11-08,1273.2160808989313
2010-11-09,1277.2175304665486
